"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80"
"g1",1097986,834594,266001,862203,492811,397714,237151,387006,1363107,140853,712807,296514,442120,281293,229426,850591,543780,354869,429684,309107,445550,320805,586753,424837,209157,253453,638453,493239,240585,217408,678787,76244,368386,692600,406766,319151,710025,267989,639849,481052,256068,438207,317971,482456,246330,819997,635594,1302856,589012,375646,637111,540219,1875146,1164057,649534,735900,766104,437809,607550,908136,606958,451686,686957,840163,729392,468788,737131,533168,894041,328047,469326,1657786,1372683,1800529,821389,358773,532522,1741248,401783,984632
"g2",11965,84921,58038,50926,8200,46467,6569,103948,714,11377,19715,17248,72092,50573,5416,48027,76051,4631,88672,68170,25918,7771,24610,10756,64695,8600,25569,18575,18756,34628,47180,44202,34166,31858,17347,36733,112332,63449,50553,50263,44161,21868,16862,8970,36297,20299,35492,34988,177567,33294,78164,50454,33829,90340,52972,102990,56042,69801,26874,5105,41414,51802,38660,74583,55811,209565,21178,68887,52471,74656,17232,31627,88891,42051,17020,48742,53405,217681,40415,221492
"g3",35977,34800,31873,25584,50368,31607,24009,25130,12118,27423,48892,29306,31173,43895,32853,75668,51991,51823,32099,41158,29528,71496,45650,21017,42145,20752,39158,18509,43782,39719,44762,20079,35547,13586,33154,32595,44739,27990,44369,21054,63391,48659,97766,63699,96212,56488,147474,128091,69008,50730,95732,84303,130018,115019,54971,86261,67946,112844,59056,33905,45459,45829,86894,120937,85644,31218,51650,90389,28145,70977,25802,68507,80488,88151,49353,61190,79122,116218,57663,111441
"g4",18870,57794,14932,50658,25769,26441,28938,25700,23720,27420,26796,21629,27385,39207,10728,44689,25037,46106,23115,47576,10621,11153,75833,27374,47914,12511,22804,27217,37454,18434,19373,12167,19046,44905,35046,12033,14108,23005,46187,17881,54477,80884,46835,94333,88867,52750,78607,132593,91307,142532,123331,104073,76639,66218,80841,226320,83117,165556,90195,73885,123532,41510,177701,201236,123163,61483,61836,109337,140130,131089,51019,59756,169866,162620,132301,80931,54979,95823,90814,65654
"g5",43184,82172,36127,82331,67383,41783,64612,128059,37570,31077,59290,43815,35403,28871,56190,41118,57056,62971,62315,41213,37158,80197,85257,50880,34465,39126,38496,81574,68868,60745,69330,13481,40649,35137,58823,40254,40537,30497,25709,54097,53222,49894,41728,79002,116314,105335,166381,96676,68484,38272,79627,68496,78046,83793,34619,109749,49994,81420,75130,81020,215788,64968,156975,124270,118452,59429,95033,57659,208673,122093,91412,112155,103288,121475,110597,36369,76014,78762,63384,170217
"g6",64578,135063,53014,157405,62094,131545,178154,236681,41279,51598,75341,41483,72298,127657,33031,128263,28709,122407,126814,101196,20864,142721,86392,58622,42548,97732,75597,48445,139662,49344,165975,30128,91618,114215,39237,38955,116681,38866,44718,123354,142052,218104,230510,301978,128210,215339,179001,236635,175832,90893,81811,128235,233061,166640,53863,142466,223297,157997,110368,37883,110486,63226,150206,261182,63585,229322,144542,194736,107999,68367,51246,152936,136809,126389,82760,75631,69631,174266,66375,177406
"g7",33526,42098,26639,20127,18053,17788,26108,72330,16090,16597,23399,9671,30582,15417,15389,59602,12653,15168,22567,10700,12916,16575,20373,14933,17850,21518,24641,32667,27187,17022,38744,53220,37373,29036,17365,11311,32185,17735,18763,18844,15037,20507,108515,87066,19349,22758,27339,52578,23917,30649,76395,20853,45381,36844,23786,55002,18041,20493,34741,30789,35475,17439,59664,38941,25777,15882,44989,18871,30947,42853,16952,32898,38583,51307,27414,29231,15353,48223,17467,29716
"g8",27513,50190,31224,44684,4761,124983,16108,28837,48182,19149,2177,15718,7126,5477,24619,5138,36987,10682,40546,4534,8137,15515,35252,15585,13750,20165,44433,112384,54365,15304,22427,18922,18660,11509,11351,9,1161,32628,48045,31517,8015,3932,90748,25644,19897,42738,49294,66979,72339,62249,129075,30980,99670,87697,2412,109465,35386,61625,19115,65779,45125,91718,3776,24210,9193,35353,32501,21712,52103,29916,47957,43258,23360,29965,34432,121445,38995,56873,20424,153898
"g9",50936,40748,19680,46962,18517,30828,44818,81640,133756,17617,41419,68066,1914,28528,38282,18745,96747,37573,50883,40832,43399,40855,117291,21883,15623,34915,35713,18228,20834,975,94752,46579,22655,48510,18064,24901,37525,28252,31345,55823,8920,51363,159838,24498,46039,3499,60851,65386,25777,2835,167164,160085,130453,149138,13092,74034,31563,73344,13215,18251,47379,30730,34551,111708,22164,34909,13852,48537,46841,49878,55054,90622,12155,48506,5908,57756,77464,79259,33279,77490
"g10",38023,70912,44367,35176,20936,25548,53459,67075,22776,24108,32499,13756,54284,57194,42027,53495,59545,49152,19733,26179,23131,64442,52501,38452,20450,8382,65035,56577,21395,32209,51859,32365,23723,39074,44220,47194,29624,14238,7627,21618,23153,47544,63411,104415,31604,28758,47893,130787,38899,58093,46885,58139,109878,36650,62965,8500,83987,83630,56293,28420,86594,34529,40769,47086,38591,87840,47505,113285,57450,44201,16178,44429,86060,17407,76846,39969,42155,15910,28780,55877
"g11",64280,20172,20601,33177,78834,25001,16681,49919,66673,13133,10197,43703,37375,38634,38496,13514,26905,27875,31902,12142,36947,109450,46810,27371,25748,15184,40330,56453,89129,51439,69188,24362,22664,11247,11570,21424,125749,49878,5183,30136,15998,68398,18046,102804,22987,108545,44586,43506,6829,17195,35707,138225,77992,10300,5393,22954,97097,44744,10329,18472,66649,66885,37811,38514,77725,51845,60805,69278,58135,23294,29765,9921,70577,71550,46512,26145,11661,37179,31527,45942
