"","sample78","sample45","sample37","sample105","sample103","sample84","sample48","sample7","sample14","sample47","sample99","sample77","sample75","sample36","sample91","sample3","sample56","sample33","sample58","sample89","sample31","sample85","sample5","sample104","sample70","sample42","sample52","sample86","sample95","sample16","sample81","sample24","sample65","sample41","sample21","sample83","sample62","sample67","sample23","sample44","sample188","sample155","sample147","sample215","sample213","sample194","sample158","sample117","sample124","sample157","sample209","sample187","sample185","sample146","sample201","sample113","sample166","sample143","sample168","sample199","sample141","sample195","sample115","sample214","sample180","sample152","sample162","sample196","sample205","sample126","sample191","sample134","sample175","sample151","sample131","sample193","sample172","sample177","sample133","sample154"
"DNAJB12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,3,4,6,4,2,4,2,6,2,3,3,3,2,2,0,3,2,4,2,2,4,2,2,3,4,3,1,2,2,3,2,2,3
"PPCS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,5,3,2,6,4,2,4,3,2,4,2,3,2,3,2,2,2,2,2,2,3,2,4,2,2,2,4,3,2,2,4,3,2,6,5
"LINC02302",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,4,3,4,2,4,3,4,2,2,2,3,2,3,2,2,2,5,4,4,2,2,4,2,2,2,6,5,1,2,2,3,2,3,3
"ZNF366",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,6,4,4,2,3,2,4,2,4,2,2,2,4,2,2,1,2,2,3,2,4,1,2,4,2,3,2,6,4,1,2,2,4,2,2,3
"SIK2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,2,2,3,4,2,2,2,2,1,1,2,2,3,2,2,2,2,3,2,3,2,2,1,1,1,4,3,2,2,3,2,2,3,2
"NDUFAF6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,3,3,3,3,6,5,6,6,2,6,2,3,2,6,3,3,6,2,4,6,6,4,5,2,4,4,2,2,4,3,2,2,3,6,2,3,5
"AL445931.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,4,2,5,3,4,6,4,5,4,2,3,2,2,2,3,2,2,2,2,1,4,2,2,2,2,4,1,2,3,5,3,1,2,2,3,2,3,3
"IL32",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,3,3,3,4,5,3,4,6,6,4,6,3,3,2,3,3,3,5,2,4,4,3,3,3,3,6,4,2,3,6,4,2,2,3,4,2,2,3
"NARS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,2,1,3,2,3,2,1,4,2,2,2,2,3,1,2,2,2,2,2,2,3,2,4,2,2,1,4,6,1,2,2,2,2,2,4
"LZTS2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,3,4,3,4,3,4,2,4,1,1,2,3,3,2,1,4,2,3,2,4,2,2,4,2,2,2,4,3,2,0,2,3,2,2,3
"UGT2B15",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,1,3,4,3,2,4,4,2,4,2,1,2,3,2,4,2,2,2,3,2,3,2,2,4,2,2,2,4,3,2,2,3,2,2,2,3
"MIR9-1HG",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,6,4,6,6,6,5,5,6,4,2,3,5,2,6,6,4,4,2,2,2,4,6,5,6,2,4,4,3,2,6,5,4,6,4,5,2,5,4
"AC022167.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,4,4,3,4,6,6,4,6,3,3,2,3,3,3,5,2,2,3,3,3,3,3,6,4,2,3,6,4,2,2,3,4,2,2,3
