"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",5102,11876,8723,20072,9868,20592,14451,40501,11038,6599,25911,11687,6534,15757,18763,25666,14574,7009,9872,19855
"g2",7507566,14481380,2125334,36942242,19658155,23136648,23321368,24654363,11456628,2982204,25165061,15239839,8964936,5673024,8018304,14409107,10420473,6522480,4266618,5906717
"g3",19417,16590,7598,37307,13959,11199,15883,40736,45665,6052,48748,46452,22064,25244,19975,33168,108423,63001,29942,38359
"g4",14304,82295,28842,1610,32541,73012,114203,6270,76374,16895,172275,43974,37704,7576,237821,515682,180696,28949,8308,145326
"g5",529,7001,543,3222,5242,12913,5894,8076,1701,5165,11357,5206,18463,3882,7470,29064,3611,14369,2225,2115
"g6",149379,177515,96328,177037,369933,191679,463846,322095,153951,244632,407408,305298,32779,46251,152748,161018,206523,118642,359264,80226
"g7",593851,167243,297382,505717,437254,854413,429185,931030,610141,522802,405218,429161,178416,342028,531636,397842,445903,215959,300351,207340
"g8",173621,1010295,208059,674780,1004844,745635,895889,862297,1133765,829558,605478,1520259,2789411,428895,208055,322756,2956520,938216,589237,1050500
"g9",634,5489,1030,46,9694,230297,58504,21776,53660,0,50458,17509,32024,15,908,12,6236,8929,62379,748
"g10",1089,632,90,2278,177,1550,2432,1211,585,1072,11562,8611,4915,291,21260,271,9894,9019,3101,2932
"g11",18738,62072,130396,113207,11408,211418,54495,89648,17577,42039,19884,54936,67106,91835,10595,32450,28946,46890,72834,195270
"g12",294452,379208,311081,427633,831134,466329,600787,934329,536556,791025,399618,550623,1063629,687581,766540,424707,542094,575247,588340,869523
"g13",742939,744635,616766,1495818,454480,509299,825735,918375,413041,561286,1167831,764964,590029,686901,455994,755856,882653,246667,295854,646338
"g14",22077,156199,30277,111302,57106,148367,164586,108677,49955,65271,311198,265640,137274,84755,146466,170351,83429,199005,119640,182327
"g15",672096,994004,908132,1568588,877768,1273459,1057843,1911391,999827,1192781,1464057,1043286,1559174,759903,628253,1779054,2262823,1702092,1586935,1322938
"g16",800807,470902,589962,273485,393025,876340,468026,962686,758012,395821,820469,1408747,784637,732196,675001,972791,860031,707448,503414,583800
"g17",28134,86157,149160,59384,2521,448541,394774,273067,22769,14741,352729,6601,1091314,201659,1343594,26126,763992,310486,797145,632518
"g18",2333310,443276,894277,1233401,2444151,1500002,4117696,1176695,985000,1034753,2405851,2147924,2459070,1377997,1794591,1208858,1116684,2204144,1550698,636667
"g19",273139,187943,90828,296904,208199,356507,116447,404250,119268,106493,312745,127504,65976,104581,79474,240675,103272,197698,165105,142525
"g20",5001,6315,1246,24592,3946,33975,9791,19223,30194,7050,7914,21419,4256,4674,5820,22059,11893,4973,5721,16777
"g21",309730,100206,145536,232130,261242,271749,176334,316641,237463,166169,183422,258994,249769,125132,271771,470265,183745,269015,270353,173152
"g22",356563,330789,331142,472494,560862,544954,272633,152633,701575,460109,497820,361281,269146,266658,385300,406389,540026,388217,280275,216895
"g23",179273,59722,172295,486333,430682,322405,567948,509282,103329,130045,201194,661904,140484,306406,790869,609466,825620,669988,921969,416794
"g24",14145,26363,185201,112614,21271,111988,12224,19038,4752,12937,43588,207631,3139,30630,50776,131435,88783,79929,52153,26101
"g25",884879,548280,884232,779726,408386,575561,464377,769924,356011,560332,565136,1395139,705936,425141,229317,566605,887096,808793,743142,397373
"g26",54383,12122,23923,178175,34331,23122,10071,34729,104368,18532,51682,160893,43310,36911,61121,154952,77141,71292,8788,14412
"g27",284767,66166,133120,434228,11789,560180,427626,1303999,501416,159515,421672,517400,415755,566050,1144419,30818,300886,258885,527708,821270
"g28",711155,174553,1242046,1157113,489022,1402046,4890036,1272772,544860,346169,787600,651423,2323642,195506,1922627,643322,2914475,505430,1473096,808398
"g29",58455,177129,57673,38434,54198,564758,48261,9605,260271,60826,365475,240439,45707,90085,32139,49608,88977,67106,17144,312249
"g30",10809,4353,3158,8778,11513,28978,19261,28716,18977,6613,17864,23856,22230,9741,43820,20203,67162,25519,22361,15433
"g31",17318,72644,296537,62764,39064,86536,31171,1161976,179712,19133,99994,65774,779095,330737,204789,13833,150,854714,611407,330617
"g32",23335,647,22789,108391,33418,70617,162579,511,217,780,6,2218,2044,3250,1428,38409,1770,30212,720,255
"g33",6127,4267,3346,4188,12497,18999,6107,38235,10597,8414,11608,5279,5331,3988,1995,13951,9475,16338,12784,1312
"g34",328584,791490,1353084,934423,1566708,1286800,875218,511432,707880,1258471,1276202,2707830,954211,1119557,1167369,2809295,2104756,1244502,579290,1263514
"g35",1786374,459322,962288,730005,861991,1008502,577042,973840,785104,639347,2174161,1621386,977041,164080,315699,1069003,1091940,472929,1457436,474567
"g36",126583,10614,14328,114263,56633,87988,12310,58754,6454,18337,78608,110425,7872,2865,15894,98956,10872,29157,102830,8512
"g37",165878,328487,741148,601862,309874,255494,558226,764820,242008,189053,231278,362133,304246,212858,653889,944045,558253,575954,422782,304310
