"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",1985,855,4209,1153,920,577,4390,735,582,1186,2709,4617,4672,2895,3920,7994,1737,2083,2778,5876
"g2",802920,1093730,3178790,596081,1974309,1323204,655800,675201,1700836,2595739,7053378,6229938,1598142,6275411,2161397,9843232,6886373,1343815,5939779,1550292
"g3",399,2105,1382,2158,2308,6650,3352,6367,6302,3203,2046,3298,3961,4851,4571,8591,3235,1286,11757,4662
"g4",2517,111,3045,2208,14900,11123,427,1728,220,3728,0,6536,1198,51114,24161,16353,20729,7548,2577,4793
"g5",837,268,396,54,938,396,1152,284,144,95,3703,1329,1363,777,2389,7521,1245,5010,4445,809
"g6",27216,58040,57832,60357,20356,2718,25543,30482,12250,45760,115617,18251,71632,31300,50047,57864,33177,17973,41334,27841
"g7",20391,55500,55943,35892,62803,45256,78410,59462,65144,41612,46623,64298,46576,51608,71104,73260,69346,39568,74404,96940
"g8",56267,59980,46347,59029,77038,98711,164767,129176,51370,34906,63587,87883,179780,821621,101317,156243,161705,244106,300755,227467
"g9",6299,16,13542,27,213,52,100,2420,2177,202,1714,5880,24551,1869,8180,84,2227,308,603,19793
"g10",390,503,57,89,186,253,317,139,357,45,843,993,40,7,29,383,215,49,701,87
"g11",9643,1281,18393,3567,3732,6243,19486,1554,3705,14224,5156,12299,15037,4345,6093,44368,24765,3058,10999,9088
"g12",36176,62488,112463,88968,144083,115362,109606,101900,113355,46819,326086,439780,150697,557345,462703,330899,837485,391366,318209,158801
"g13",107121,62632,78989,94037,94024,37341,88757,61666,36701,84929,186790,84434,93986,102407,165429,155292,115179,51687,264650,224535
"g14",5547,5365,9483,5192,15635,4072,4667,7182,15387,4892,5236,12305,2950,12775,19474,27218,4706,6719,15907,6935
"g15",69999,124455,103488,153333,200266,86384,117480,120860,177674,180206,203124,93054,56480,194160,124256,339114,313819,190592,152341,259796
"g16",68396,53220,59950,52628,55086,51420,84727,59305,35789,111337,112194,81879,68171,142919,157411,188484,67126,86711,187171,235936
"g17",3637,26556,45703,40700,529,44538,34438,10597,17863,3253,180789,4220,9609,251776,219675,56074,183174,623,449368,64853
"g18",113602,250241,408896,95826,492958,124039,242091,84607,368391,209363,109620,237627,67233,203256,676134,392031,556699,133243,411415,334275
"g19",6042,23500,16442,14630,16386,16270,32468,22014,22334,12673,30443,19266,35150,46643,23181,75329,63839,21686,39355,50645
"g20",835,42,663,1012,246,320,1197,781,2140,795,496,1105,2255,360,5928,2959,10129,2203,4042,1443
"g21",24526,21941,31726,29472,24822,15505,58479,12480,25477,50249,23855,25693,36602,26933,37994,38883,38072,36420,32026,28377
"g22",42814,37918,51101,69692,88145,49834,124127,56860,58026,32830,47469,33503,68024,165690,160184,100712,161599,68864,171856,74072
"g23",12379,54648,129459,13344,44456,17104,32226,23082,30662,27823,54017,87886,53725,103023,47134,143856,44510,30540,41268,41127
"g24",1493,3105,319,4150,2612,6208,1474,147,471,4073,3492,4684,9166,35876,1614,5316,7597,3223,6578,6766
"g25",50773,62965,39139,36856,80115,54351,75101,67311,94334,50907,54409,98365,69253,106431,152523,171392,100926,74316,76187,156146
"g26",11708,2473,8340,10043,13480,8991,10297,6522,2012,4857,16508,4825,9077,7371,11163,22826,11996,2473,4157,7673
"g27",51417,61587,153077,19348,85165,979,64035,138137,68763,256552,195439,131640,197660,125954,74321,145821,228464,155234,374701,48607
"g28",99335,127532,79217,28685,141670,76813,162158,92390,46811,198480,79756,68333,164195,96068,187707,205680,326654,48065,205744,525747
"g29",1741,30975,52199,2651,27623,26694,53063,19075,14634,7394,51605,66777,34664,28217,128132,4984,3432,28295,10630,42417
"g30",1481,1650,828,1611,4151,833,2630,488,2627,1068,2804,5468,4191,5343,5964,6673,5657,1130,5151,8027
"g31",11491,108868,3081,28216,28,1961,567,80253,11804,58199,62765,161758,28111,72046,115341,20884,53863,103698,2531,2685
"g32",3291,61609,18545,5660,9593,1625,11,19862,5901,30,0,1531,14487,3427,21895,2436,19253,147,0,615
"g33",414,1064,1837,1006,3870,920,311,506,1276,1160,1712,1632,596,3825,3956,3420,2204,1824,1556,747
"g34",117695,152746,46322,110071,59512,68140,56842,23249,99452,108009,251281,150281,219421,116312,399751,307247,280875,183484,146255,213802
"g35",171737,54998,172588,104565,95896,46526,124175,22057,111931,155044,88777,193086,112143,626157,400014,276428,266635,209283,38059,10266
"g36",7780,5391,2454,6469,8552,13125,2481,4637,3969,1480,12857,3123,4299,2746,8429,36121,10025,4161,11172,14466
"g37",38213,53958,76437,22945,25746,55846,51321,32679,27034,30026,72802,152533,88176,174394,566274,93330,258098,131531,103198,368451
"g38",61107,4926,22680,29199,40603,33364,62396,52555,21154,38129,58287,27502,57875,9096,117337,26555,96468,60641,39531,53724
"g39",24598,15351,31347,17175,14720,13950,11070,17306,15661,25668,43728,10082,47119,69239,20508,20994,31627,30505,40577,27038
"g40",417,246178,9214,174328,111783,724071,426,10199,223553,4119,116847,184325,29619,145158,129599,92230,497399,53652,567016,395
"g41",3045,39006,5425,30769,92100,52911,237124,26036,8274,4569,77616,40463,36456,26362,25327,53663,67120,45040,46494,62542
"g42",11549,54692,27862,19395,7272,26459,11354,13512,7466,5642,18853,31396,31198,31942,12431,20388,4813,31478,142892,53711
"g43",51550,14840,32763,19812,35478,38261,44895,20458,23361,33580,70069,56736,45119,259984,31025,68380,39147,24713,94264,111934
"g44",1047,1499,89,6836,45,2139,6,1096,1296,1028,33,2868,1254,296,169,1019,112,5985,5943,4581
"g45",1693,2082,1932,648,2506,1261,2152,1746,3554,1036,3946,725,1736,1835,5727,2394,1421,1496,7741,5520
"g46",6686,9247,5264,1824,806,2240,8411,269,1278,3807,6068,2847,555,1628,3509,532,8024,2120,4550,236
"g47",477,938,1314,400,1173,707,161,419,320,263,1320,1247,1943,1125,1886,1829,2230,1542,1420,4645
"g48",58704,50005,49368,35002,51377,25846,61832,35278,30411,55046,25453,56724,37722,65788,65217,59797,87082,79670,54417,70719
"g49",46654,53598,44107,26806,29881,30326,27993,24206,37374,32886,130050,76270,74459,120997,101043,204273,134688,115618,91417,60689
"g50",14828,25069,15007,19463,16608,30331,5035,7782,9107,10827,9735,6194,12064,12229,13181,4654,14548,38062,20209,14070
"g51",71961,57216,157538,28682,176588,133448,102750,58248,39401,58733,151392,219712,129291,172039,306047,355478,115352,73363,335736,192406
"g52",41613,43842,27376,15913,39655,15422,39369,14186,22341,6612,34786,45210,30494,71343,95247,119271,51490,43893,39228,19624
"g53",89098,68500,80320,2960,0,61,189316,25562,241187,12359,2753,453706,4915,127617,237380,107050,0,134177,198274,5591
"g54",2161,17,284,137,2111,0,1171,1360,11955,0,12,234,1311,34409,378,3969,0,0,149,997
"g55",14,82,2404,705,7,3725,26637,10002,5532,3073,1324,19149,342,49513,180,5324,133,12458,46815,23400
"g56",41438,5128,37661,36078,41506,10127,28232,20380,1089,18144,131395,18732,26280,256801,67668,172687,55365,27814,246201,62961
"g57",122022,22489,44106,5897,80,8804,17105,53746,9540,9677,15839,29879,1204,11522,40653,32629,26356,51307,43433,15822
"g58",77187,102440,32160,99092,81692,49659,158811,37456,33781,72887,65359,87513,55505,250223,69891,206677,105255,125746,53178,50046
"g59",7902,15650,23000,5115,12762,13015,6558,2085,13671,54800,7121,4661,27421,8808,71532,76242,4676,47814,53760,17993
"g60",75,377,1350,51,479,9,622,27,710,276,1189,657,15,2489,1109,315,6639,800,27,29
"g61",162657,7379,11003,56,5454,8281,40699,13659,1608,15638,7624,18505,34703,10892,1278,76492,11094,53959,59997,30577
"g62",35660,101236,58241,11020,53949,39164,47412,5048,20822,42280,91997,46052,63075,132122,45218,15266,13090,18508,95189,132312
"g63",16249,28741,26139,26082,22467,35705,57058,10539,5753,14577,30822,34548,47856,93835,173705,51689,257461,47938,272311,41788
"g64",25871,7203,25031,3231,26545,10434,27299,6573,23206,27247,9821,18071,261,89266,11055,2231,689,28515,2017,17812
"g65",253963,140153,320099,136438,86170,86689,194283,192805,105967,172077,131155,289153,129850,201611,129969,179980,193475,139760,256421,139714
"g66",49893,71754,41401,32792,69490,37448,48525,22959,52039,32039,59747,81452,52654,46281,43399,63500,81056,30366,107445,57866
"g67",58916,107330,129306,82717,92922,127056,87608,55300,84278,82814,104653,193559,103189,161662,201743,131740,209871,98969,261214,175246
"g68",85311,108322,147813,71074,153046,120590,142061,127282,82342,128331,130519,126419,143046,175801,385255,286265,182281,120546,286256,140152
"g69",13524,24498,30955,15508,18638,11798,18741,16442,19461,21749,7265,14312,21848,33869,24227,32516,19360,26387,34968,20759
"g70",54235,70385,125671,42082,174648,70969,109585,31244,51626,65093,50246,147061,38748,62464,163379,154181,163287,56846,106020,168071
"g71",68414,9623,111355,18936,102461,66519,126001,29546,32180,86161,56920,41580,97558,122375,119292,68470,41228,82559,65611,153197
"g72",4740,7078,2236,15552,13022,7835,25775,6592,8756,41676,5937,617,11331,13296,1237,29875,16394,3065,14238,16077
"g73",78,26,0,884,265,387,0,91,516,396,289,95,370,1845,383,788,7,671,471,1637
"g74",671,3514,1761,1823,2556,2416,1300,4649,849,3324,4498,2825,1458,3885,2435,8197,6065,2163,11341,2958
"g75",44575,43990,71416,58995,41475,37558,47778,28065,67907,48517,61042,84576,41612,127010,90078,148777,69783,30462,52863,80911
"g76",12393,44255,41543,24287,72341,54469,18630,51371,40874,21711,56589,56650,45635,262907,19993,8754,98332,38091,54174,68185
"g77",238,883,336,1124,2203,433,1153,2367,0,264,1357,692,1316,2225,7362,1291,8012,349,6723,1617
"g78",72936,124089,115482,37095,91002,97520,156433,65952,57263,123048,102623,99469,110662,137361,114943,275867,233313,134329,204908,284528
"g79",194,2509,961,6739,1927,1964,11382,558,527,990,486,2393,1506,27427,17025,1110,2725,16268,8459,14444
"g80",28661,36350,56440,28866,44294,22404,23605,24867,31795,39898,47606,40489,47724,106062,92932,76939,50264,36406,92165,45257
"g81",1723,2849,4007,3506,5025,2540,8545,2104,4483,4823,9036,6633,3530,9746,8289,3588,6324,9481,8102,17192
"g82",41897,169099,162731,106359,93116,63153,95178,230500,97894,83500,211122,165563,48955,256474,236823,249946,197177,77308,266025,261460
"g83",18063,31957,48109,39720,73455,51288,77826,44002,25221,12627,50423,9922,181144,317031,27981,187900,130369,20915,199254,218621
"g84",1043,1134,1282,624,1451,726,674,1055,1388,745,2036,1292,2943,1889,4884,2590,3180,1487,3141,4463
"g85",31264,42215,64107,17582,36295,28542,15324,8936,26852,15714,63389,43842,48226,31962,26048,65282,44461,11940,45965,50797
"g86",13563,27112,6469,9750,35612,26468,7667,25762,31549,22988,106341,81999,44609,283448,215775,75847,94700,31796,90891,128228
"g87",12478,15252,27104,8920,50220,3166,30094,28867,27640,31724,36919,9828,33813,16654,20516,78809,110471,102150,25352,74561
