"","sample20","sample41","sample2","sample67","sample110","sample45","sample69","sample18","sample27","sample6","sample130","sample151","sample112","sample177","sample220","sample155","sample179","sample128","sample137","sample116"
"MEOX2",773,2565,1145,405,693,644,746,2325,730,1688,300,970,440,314,1935,140,26,24,225,384
"NDUFS5",3082,7374,3439,2835,4791,5119,6993,3897,6153,7919,4722,10623,8591,12410,7490,7445,4046,14968,9091,8113
"AC011352.3",29,26,43,9,26,51,69,5,34,21,29,47,28,14,31,47,45,86,42,5
"RNU6-322P",19,6,11,1,7,12,2,5,5,2,7,7,18,2,0,3,2,5,32,2
"EXOC6",1229,831,2197,771,1354,1537,1146,1206,1033,1353,2916,2812,9109,1721,3024,1728,1018,2850,1868,1353
"ABHD11",1243,1106,1201,777,1675,2432,1923,596,1224,1714,1710,6449,2754,2504,1745,6565,3075,2521,2951,2844
"NDUFAF2P1",13,13,12,6,20,25,5,6,8,11,15,23,12,14,18,13,4,18,25,15
"AC087521.1",11,110,9,2,2,43,102,9,0,5,2,19,9,1,31,4,0,7,7,9
"G2E3",1262,366,2552,789,1548,1362,697,752,1065,635,1279,2804,2442,633,1136,1388,1002,1351,1423,812
"ITGB3",379,680,480,352,148,529,1393,1044,437,840,299,1586,505,296,1022,602,220,251,332,501
"LAMC2",7838,11840,8967,6332,9424,15120,25843,5029,37823,7864,2112,16468,2933,1911,5070,4599,60056,3377,8996,3352
"NUDCD2",1356,1120,2046,866,1458,1906,1426,1021,1506,1599,1740,2249,3425,1198,1530,1801,1277,1838,2032,858
"IRF2BPL",4010,4615,7594,1746,5171,7349,8621,2629,8543,4654,5627,4015,6392,5165,3877,2852,2216,5580,3705,3942
"C15orf61",173,174,328,82,272,295,197,142,217,180,122,217,329,126,156,207,132,112,132,152
"TMEM218",1100,867,1644,475,1063,1268,1130,1213,981,1448,555,1576,2848,753,1173,1256,1107,600,609,576
"IGKV3D-20",225,41,286,130,104,728,187,73,67,284,218,933,248,65,216,16,242,1,444,185
"TRIB3",1520,858,748,631,792,1623,1045,580,1353,900,1967,1397,2562,1950,1857,11387,1600,2621,4403,1944
"AC112206.2",86,5,22,5,19,31,15,9,10,1,27,7,18,2,6,0,48,7,31,24
"LINC00205",1367,426,1051,656,995,883,585,423,878,545,1268,1119,939,627,644,659,802,2044,728,452
"WDFY3",5968,1802,8685,3323,4873,7766,3875,4714,3861,3008,4755,9186,11056,2163,4982,6863,14627,2588,4310,3111
"Z74021.1",25,94,51,20,31,40,26,18,27,34,4,62,13,17,24,15,6,9,51,11
"LMTK2",2586,908,2917,1318,2419,3272,1966,1413,1638,1396,1545,4047,3089,1028,1999,4921,4218,2565,1547,1362
"PCSK1",23,18,36,6,13,19,16,13,28,20,32,998,59,12,65,22,109,8,18,38
"LINC00963",2418,2087,2693,1374,2000,3631,3219,1841,1765,3430,1966,3110,4710,2583,1961,3696,1649,3160,3836,1302
"UBE2E2",905,1513,1540,734,1433,1408,1518,1804,1287,1929,1299,2256,866,1002,2056,1396,1608,821,2608,873
"ANXA9",1237,570,562,395,892,1459,988,300,920,879,2409,316,3610,2839,2485,1348,486,1266,1349,2620
"TTF2",1339,500,1991,1089,1513,1937,865,981,1009,865,1390,4053,2864,731,1042,2055,2927,1500,1605,952
"PTOV1-AS1",105,25,105,43,96,123,62,66,52,43,63,93,174,30,20,24,111,70,102,28
"TYROBP",718,5081,599,794,537,858,2205,2988,1093,4880,1532,12439,2148,3313,3874,1261,3301,2486,3760,3721
"TEAD1",6254,2771,11777,4684,6729,10306,4719,9099,6091,5904,7427,6391,5234,2510,5921,3750,5373,5735,4070,2791
"CCR10",14,72,15,22,14,47,75,21,21,52,12,27,15,30,26,7,28,18,13,29
"LINC00942",29,10,10,2,16,15,3,23,15,471,51,5,4,27,8,8,11,114,13,26
"LMO4",3635,3227,4400,3452,3263,4519,2986,2757,3573,3796,2704,17621,1531,3853,4490,3316,5757,4104,4927,2205
"SCYL2",3427,1274,6881,2509,4019,4960,2679,2808,2783,2342,4654,9808,11078,2206,3508,9851,7154,5455,4035,2388
"IKZF5",2267,807,3750,874,2563,2363,1362,1215,1850,1366,1727,2560,4231,1455,1631,1075,1083,1189,1132,920
"LMOD1",5507,9154,4415,1796,7259,10709,9705,3337,11747,6356,1919,2789,1464,1211,4108,577,280,1393,1203,1612
"RPL26",1672,3012,2515,1208,2278,2780,4884,689,4788,3762,1568,3321,2651,1054,1486,1169,367,848,1765,763
"ARHGAP5",4514,558,10216,2903,5775,7856,2860,2586,3122,1134,3656,5277,6940,580,3361,3404,4851,2269,2168,1095
"PRX",1667,1347,389,823,1356,2121,995,365,1439,864,441,624,342,261,631,351,161,710,332,316
"PENK",14,266,12,12350,8,135,314,234,27,223,34,257,30,15,627,10,7,2,6,16
"CEP19",182,126,138,112,123,140,150,184,230,213,311,231,603,192,262,250,386,210,188,147
"DYNC1H1",26017,14057,24013,20410,21561,34890,25460,27691,18445,22691,30140,37385,39600,11336,31369,22927,25629,20249,25614,16368
"DUBR",792,355,1199,311,1080,1029,759,525,855,567,619,337,1241,428,1121,1374,321,659,654,497
"CPNE5",131,235,231,71,89,335,252,245,203,486,155,1869,396,209,562,138,347,132,176,539
"MLST8",1751,2019,1016,1528,1730,1984,1821,1174,1481,2019,2634,2983,3231,2024,3263,2870,1324,4364,2260,1783
"ATP5F1C",5720,5954,8794,4305,6535,9639,6940,5844,6098,7954,7965,25501,15129,9879,8987,10454,10572,8652,12776,7739
"AC009120.1",83,12,49,22,77,62,22,21,18,33,22,38,42,19,22,40,38,16,57,12
"FLYWCH2",899,1641,296,552,667,809,950,552,919,1200,1398,860,2717,1616,1741,2566,665,2435,1594,1242
"AC097065.1",23,3,13,1,22,32,7,4,2,14,8,3,1,0,3,2,2,1,3,2
"NPIPB5",161,375,128,34,138,88,61,84,532,110,94,154,206,61,43,73,156,35,96,58
"AC073073.2",78,40,146,48,115,68,73,56,75,52,146,184,314,119,74,69,164,146,81,43
"GRAMD2B",5572,2448,9145,1674,8441,6884,3265,1025,5456,1637,1857,1825,1593,905,1651,1278,2058,1451,963,758
"PRSS35",24,28,45,42,32,30,5,36,15,7,28,64,48,40,85,24,11,5,32,105
"SERPINA10",81,3,2,3,3,30,6,10,8,10,45,0,53,5,0,0,2,3,23,5
