"","condition"
"sample102","A"
"sample42","A"
"sample104","A"
"sample27","A"
"sample90","A"
"sample38","A"
"sample50","A"
"sample30","A"
"sample44","A"
"sample66","A"
"sample9","A"
"sample75","A"
"sample25","A"
"sample107","A"
"sample57","A"
"sample37","A"
"sample84","A"
"sample100","A"
"sample36","A"
"sample60","A"
"sample103","A"
"sample24","A"
"sample16","A"
"sample74","A"
"sample97","A"
"sample51","A"
"sample55","A"
"sample86","A"
"sample43","A"
"sample13","A"
"sample101","A"
"sample3","A"
"sample56","A"
"sample6","A"
"sample33","A"
"sample106","A"
"sample62","A"
"sample5","A"
"sample87","A"
"sample105","A"
"sample212","B"
"sample152","B"
"sample214","B"
"sample137","B"
"sample200","B"
"sample148","B"
"sample160","B"
"sample140","B"
"sample154","B"
"sample176","B"
"sample119","B"
"sample185","B"
"sample135","B"
"sample217","B"
"sample167","B"
"sample147","B"
"sample194","B"
"sample210","B"
"sample146","B"
"sample170","B"
"sample213","B"
"sample134","B"
"sample126","B"
"sample184","B"
"sample207","B"
"sample161","B"
"sample165","B"
"sample196","B"
"sample153","B"
"sample123","B"
"sample211","B"
"sample113","B"
"sample166","B"
"sample116","B"
"sample143","B"
"sample216","B"
"sample172","B"
"sample115","B"
"sample197","B"
"sample215","B"
