"","condition"
"sample83","A"
"sample61","A"
"sample25","A"
"sample16","A"
"sample1","A"
"sample96","A"
"sample106","A"
"sample18","A"
"sample44","A"
"sample29","A"
"sample101","A"
"sample13","A"
"sample92","A"
"sample88","A"
"sample81","A"
"sample98","A"
"sample8","A"
"sample40","A"
"sample73","A"
"sample93","A"
"sample78","A"
"sample42","A"
"sample47","A"
"sample41","A"
"sample27","A"
"sample55","A"
"sample52","A"
"sample110","A"
"sample70","A"
"sample67","A"
"sample19","A"
"sample76","A"
"sample37","A"
"sample10","A"
"sample86","A"
"sample38","A"
"sample54","A"
"sample75","A"
"sample102","A"
"sample89","A"
"sample50","A"
"sample57","A"
"sample94","A"
"sample28","A"
"sample97","A"
"sample72","A"
"sample51","A"
"sample68","A"
"sample56","A"
"sample22","A"
"sample107","A"
"sample30","A"
"sample23","A"
"sample53","A"
"sample46","A"
"sample31","A"
"sample65","A"
"sample26","A"
"sample95","A"
"sample48","A"
"sample193","B"
"sample171","B"
"sample135","B"
"sample126","B"
"sample111","B"
"sample206","B"
"sample216","B"
"sample128","B"
"sample154","B"
"sample139","B"
"sample211","B"
"sample123","B"
"sample202","B"
"sample198","B"
"sample191","B"
"sample208","B"
"sample118","B"
"sample150","B"
"sample183","B"
"sample203","B"
"sample188","B"
"sample152","B"
"sample157","B"
"sample151","B"
"sample137","B"
"sample165","B"
"sample162","B"
"sample220","B"
"sample180","B"
"sample177","B"
"sample129","B"
"sample186","B"
"sample147","B"
"sample120","B"
"sample196","B"
"sample148","B"
"sample164","B"
"sample185","B"
"sample212","B"
"sample199","B"
"sample160","B"
"sample167","B"
"sample204","B"
"sample138","B"
"sample207","B"
"sample182","B"
"sample161","B"
"sample178","B"
"sample166","B"
"sample132","B"
"sample217","B"
"sample140","B"
"sample133","B"
"sample163","B"
"sample156","B"
"sample141","B"
"sample175","B"
"sample136","B"
"sample205","B"
"sample158","B"
