"","sample75","sample81","sample84","sample1","sample30","sample108","sample24","sample17","sample12","sample77","sample43","sample97","sample47","sample87","sample10","sample80","sample28","sample2","sample63","sample94","sample13","sample104","sample14","sample15","sample8","sample44","sample61","sample35","sample68","sample106","sample79","sample45","sample54","sample51","sample40","sample59","sample90","sample73","sample55","sample70","sample185","sample191","sample194","sample111","sample140","sample218","sample134","sample127","sample122","sample187","sample153","sample207","sample157","sample197","sample120","sample190","sample138","sample112","sample173","sample204","sample123","sample214","sample124","sample125","sample118","sample154","sample171","sample145","sample178","sample216","sample189","sample155","sample164","sample161","sample150","sample169","sample200","sample183","sample165","sample180"
"TP53TG5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,4,6,3,6,6,4,2,2,2,1,4,4,6,2,5,2,2,6,2,4,4,2,5,4,4,6,6,4,4,6,2,6,3,2,4,3,2,4
"ZNF638",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,5,2,3,4,2,2,2,1,2,3,3,4,1,4,2,2,6,2,3,4,2,4,3,4,3,3,4,4,5,1,4,4,2,3,2,2,5
"LYSMD2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,5,2,2,2,2,2,3,4,3,2,4,2,2,6,2,2,2,2,2,4,5,2,2,4,4,4,1,4,1,2,2,1,2,3
"CLDN3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,4,6,4,2,2,2,2,6,4,3,2,4,2,2,6,2,3,2,2,6,4,4,3,3,3,4,5,1,6,3,2,2,3,2,5
"LANCL1-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,2,2,2,2,1,2,4,3,1,4,2,1,6,3,3,3,2,3,2,2,4,4,4,3,5,1,4,2,0,2,2,2,4
"DLGAP3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,4,2,2,2,0,2,4,4,2,2,4,2,2,6,1,2,2,2,5,3,3,3,3,4,3,3,1,2,3,2,3,1,2,2
"IGHV3-23",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,1,4,6,4,2,3,1,3,2,4,4,0,4,2,2,6,1,2,4,2,4,3,6,3,4,4,3,3,0,2,2,2,2,2,2,4
"AC073896.3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,2,4,4,4,2,2,2,2,4,4,3,2,4,2,2,4,2,2,4,2,2,3,4,3,4,4,5,5,1,4,2,2,3,1,2,3
"RRAGD",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,3,2,3,4,2,1,2,0,2,2,4,2,1,3,2,1,4,2,4,2,2,6,3,3,2,3,2,2,4,1,4,4,1,4,2,2,2
"DCTPP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,4,6,2,6,6,6,3,3,2,2,6,6,6,2,6,4,4,6,1,2,4,2,4,3,4,5,5,4,6,3,2,4,2,3,4,3,2,3
