"","sample20","sample41","sample2","sample67","sample110","sample45","sample69","sample18","sample27","sample6","sample130","sample151","sample112","sample177","sample220","sample155","sample179","sample128","sample137","sample116"
"MEOX2",2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,3,1,2,5,2
"NDUFS5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,3
"AC011352.3",2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,4,1,2,3,2
"RNU6-322P",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,6,2
"EXOC6",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
"ABHD11",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,1,2
"NDUFAF2P1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,2
"AC087521.1",2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,5,2,2,3,1
"G2E3",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,3,2
"ITGB3",2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,6,2,1,2,1
"LAMC2",2,2,2,2,2,2,2,2,2,2,2,6,2,2,3,6,3,1,6,3
"NUDCD2",2,2,2,2,2,2,2,2,2,2,3,1,0,2,3,4,0,2,5,2
"IRF2BPL",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,4,2
"C15orf61",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,1,4,2
"TMEM218",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,1,1,1
"IGKV3D-20",2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,5,2,2,4,2
"TRIB3",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,2,3,6,2
"AC112206.2",2,2,2,2,2,2,2,2,2,2,3,1,2,3,4,4,1,2,3,2
"LINC00205",2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,1,2,3,2
"WDFY3",2,2,2,2,2,2,2,2,2,2,2,3,2,0,2,4,4,1,3,2
"Z74021.1",2,2,2,2,2,2,2,2,2,2,3,2,1,0,2,6,0,1,4,2
"LMTK2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,0,2,4
"PCSK1",2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,6,1,2,3,2
"LINC00963",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,0,2,5,2
"UBE2E2",2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,1,2,4,2
"ANXA9",2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,4,3,2,5,3
"TTF2",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,2
"PTOV1-AS1",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,4,0
"TYROBP",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2
