"","condition"
"sample38","A"
"sample108","A"
"sample50","A"
"sample92","A"
"sample83","A"
"sample29","A"
"sample73","A"
"sample89","A"
"sample106","A"
"sample110","A"
"sample66","A"
"sample36","A"
"sample3","A"
"sample23","A"
"sample102","A"
"sample80","A"
"sample91","A"
"sample87","A"
"sample97","A"
"sample71","A"
"sample21","A"
"sample53","A"
"sample2","A"
"sample99","A"
"sample81","A"
"sample60","A"
"sample11","A"
"sample15","A"
"sample43","A"
"sample40","A"
"sample17","A"
"sample64","A"
"sample54","A"
"sample6","A"
"sample58","A"
"sample84","A"
"sample12","A"
"sample82","A"
"sample42","A"
"sample93","A"
"sample148","B"
"sample218","B"
"sample160","B"
"sample202","B"
"sample193","B"
"sample139","B"
"sample183","B"
"sample199","B"
"sample216","B"
"sample220","B"
"sample176","B"
"sample146","B"
"sample113","B"
"sample133","B"
"sample212","B"
"sample190","B"
"sample201","B"
"sample197","B"
"sample207","B"
"sample181","B"
"sample131","B"
"sample163","B"
"sample112","B"
"sample209","B"
"sample191","B"
"sample170","B"
"sample121","B"
"sample125","B"
"sample153","B"
"sample150","B"
"sample127","B"
"sample174","B"
"sample164","B"
"sample116","B"
"sample168","B"
"sample194","B"
"sample122","B"
"sample192","B"
"sample152","B"
"sample203","B"
