"","sample5","sample20","sample95","sample67","sample27","sample110","sample49","sample85","sample33","sample87","sample21","sample25","sample74","sample75","sample61","sample76","sample23","sample88","sample41","sample22","sample83","sample92","sample79","sample3","sample91","sample30","sample8","sample52","sample65","sample58","sample39","sample66","sample18","sample69","sample63","sample36","sample64","sample35","sample96","sample46","sample51","sample10","sample105","sample77","sample102","sample2","sample45","sample103","sample15","sample98","sample24","sample12","sample48","sample1","sample37","sample14","sample99","sample106","sample72","sample19","sample115","sample130","sample205","sample177","sample137","sample220","sample159","sample195","sample143","sample197","sample131","sample135","sample184","sample185","sample171","sample186","sample133","sample198","sample151","sample132","sample193","sample202","sample189","sample113","sample201","sample140","sample118","sample162","sample175","sample168","sample149","sample176","sample128","sample179","sample173","sample146","sample174","sample145","sample206","sample156","sample161","sample120","sample215","sample187","sample212","sample112","sample155","sample213","sample125","sample208","sample134","sample122","sample158","sample111","sample147","sample124","sample209","sample216","sample182","sample129"
"HK1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,4,2,2,3,4,2,4,2,2,1,2,2,2,3,2,2,2,5,2,3,3,3,4,2,2,2,2,2,3,2,4,2,4,2,3,1,2,2,3,2,4,4,2,5,6,2,4,4,4,3,4
"IBA57",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,4,3,2,2,5,6,6,1,6,3,6,4,2,2,3,4,4,4,3,6,6,3,6,2,5,5,6,4,5,2,2,5,5,6,6,5,4,6,4,2,2,2,5,6,2,6,6,4,6,3,4,2,4,6,5,5
"DUSP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,5,2,2,0,2,6,2,1,4,5,3,4,4,0,1,2,4,2,5,2,2,3,5,2,4,2,5,2,2,3,0,1,5,5,2,3,4,6,2,2,2,2,4,5,2,5,6,2,5,3,2,3,4,4,4,3
"NUDT21",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,1,2,1,2,2,3,2,2,3,4,4,1,1,2,2,2,2,1,3,1,4,3,2,5,3,0,1,3,1,1,4,2,3,2,4,2,1,1,2,5,2,3,2,2,1,1,4,3,4,2,2,4,3,2
"SYT7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,2,2,2,6,2,1,4,2,4,4,2,2,2,1,2,2,3,3,0,1,5,2,3,3,3,3,3,2,2,2,4,3,2,4,2,4,2,2,1,2,5,2,2,3,3,0,4,3,4,3,4,6,2,2
"TMEM37",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,4,2,2,2,2,5,2,2,3,3,3,4,3,2,2,2,2,2,3,2,2,2,3,2,3,2,3,1,2,2,2,2,3,4,2,3,4,3,2,2,1,2,5,3,2,4,4,2,6,3,3,1,4,4,2,3
"VWA8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,4,2,1,2,2,6,1,3,2,2,4,4,3,3,2,2,2,2,4,2,2,1,3,2,2,3,2,2,2,0,1,2,3,3,2,1,2,3,2,2,1,2,3,2,2,4,4,2,1,3,4,2,4,2,4,4
"TFAP2A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,4,2,2,3,4,3,4,2,2,2,3,3,2,3,2,2,6,5,2,3,1,4,3,2,2,3,2,2,4,3,4,4,6,1,2,2,2,4,3,2,1,4,2,6,3,2,4,4,4,2,4
"CNKSR2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,2,4,2,4,1,4,2,3,4,2,2,2,2,6,3,1,2,2,3,2,4,1,5,0,2,2,2,2,4,4,1,4,4,3,2,2,2,6,5,4,2,4,4,4,4,4,0,4,4,4,4,3
"AC005829.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,4,2,2,2,1,3,2,4,2,1,4,4,6,2,3,2,1,1,1,1,4,2,3,4,4,4,2,3,6,4,1,2,2,2,4,3,3,2,4,6,2,2,1,2,6,3,2,3,4,2,2,3,3,2,4,6,3,1
"HEPH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,1,2,0,4,2,2,5,4,3,4,4,2,2,2,2,2,2,2,1,2,3,2,4,4,4,2,2,2,2,2,4,3,1,4,4,3,2,2,2,1,4,4,2,4,4,2,4,5,2,3,2,4,2,4
"UGT2B4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,4,2,2,3,4,4,4,2,1,3,2,3,2,4,2,1,2,4,2,3,4,3,4,5,3,4,2,4,4,3,4,2,4,2,0,3,2,4,2,2,3,4,3,4,3,2,2,4,4,3,6
"RPL35",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,3,2,1,1,2,4,0,2,5,3,6,4,3,1,1,2,2,2,3,2,0,2,2,0,3,2,3,4,2,2,2,2,2,5,2,4,2,4,2,2,2,2,5,3,2,3,5,2,2,3,4,4,2,4,4,5
"CRB2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,3,3,2,1,1,2,2,2,2,3,3,5,4,6,1,1,2,2,2,3,2,0,2,5,2,3,2,1,5,2,2,2,4,2,5,4,4,2,4,2,2,2,2,5,3,2,1,5,2,2,3,4,4,4,2,4,4
"GREB1L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,2,2,4,4,2,4,2,4,1,2,2,2,4,2,2,4,4,2,4,4,2,4,2,3,0,1,3,4,6,3,2,5,2,2,2,2,2,3,2,5,4,2,4,5,2,2,2,4,2,6
"SPATA6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,2,3,2,2,3,3,2,4,5,0,2,2,3,2,3,1,1,2,4,2,3,3,4,2,2,2,2,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,4,2,3,2,3,3,2,4,3,3
"ATP6V0E2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,2,2,2,2,2,3,3,6,3,3,5,3,4,2,3,1,2,2,2,2,3,2,0,3,4,2,3,4,4,3,2,1,2,1,5,3,4,3,4,3,2,3,2,2,5,2,2,4,6,2,3,2,2,3,6,4,4,3
