"","sample38","sample69","sample78","sample86","sample100","sample10","sample47","sample63","sample22","sample75","sample7","sample26","sample52","sample45","sample80","sample30","sample59","sample42","sample57","sample96","sample148","sample179","sample188","sample196","sample210","sample120","sample157","sample173","sample132","sample185","sample117","sample136","sample162","sample155","sample190","sample140","sample169","sample152","sample167","sample206"
"PWWP3A",2177,2190,2237,1872,1814,1739,2699,2404,2606,1534,3385,1932,600,2401,2092,1232,1628,1249,3346,2884,1512,1039,1457,1911,1114,1341,2038,1243,2368,1310,1082,1323,1042,1330,1873,1437,816,1289,1291,396
"ZNF764",372,308,425,306,312,308,543,360,572,433,510,305,361,541,549,308,361,318,369,597,439,578,474,727,388,2231,1831,940,808,274,541,642,881,683,829,542,408,500,740,101
"AL022328.2",32,19,28,5,26,12,34,30,10,10,36,20,0,33,37,8,17,7,18,44,31,17,16,18,23,9,20,15,21,38,5,18,11,11,16,13,7,12,18,0
"PHOSPHO1",43,47,37,10,38,33,42,95,75,31,61,36,7,47,32,17,20,25,33,59,17,11,20,17,9,7,17,21,27,66,9,27,12,111,24,19,4,12,37,33
"GSTM2",1869,542,2404,392,960,854,887,1145,1656,1185,2455,727,648,1715,728,686,532,1054,1187,2961,267,46,385,330,289,175,361,449,158,449,319,108,1060,34,493,476,487,203,41,59
"TRIP10",2053,3465,3694,3564,3144,3123,5513,2792,2728,2001,4577,2405,575,2561,2391,2304,2130,1510,6139,3190,1774,2201,1127,2576,1547,788,3423,1218,2091,494,4511,1514,1978,1371,2468,1687,1057,2871,882,178
"MYH13",8,17,12,5,6,20,24,12,25,40,21,10,11,8,11,11,22,13,24,27,22,8,30,53,52,1,27,9,28,129,2,26,93,10,31,16,24,34,20,136
"AL034548.2",34,47,16,15,24,35,49,35,61,42,53,19,19,36,45,24,13,20,55,54,33,35,57,32,30,59,115,14,38,63,20,14,57,38,50,91,24,20,120,19
"VCAM1",1270,1781,1656,1545,1392,1307,3610,2548,3736,3558,2731,1196,1990,3107,1320,1971,2420,763,2511,2531,3646,17520,2439,18739,2141,1149,3524,1033,1219,133,3396,2589,3143,1508,5980,2366,535,2106,2993,1030
"COL11A1",103,126,116,12,40,56,95,341,54,265,110,79,70,533,266,54,223,82,59,281,37,4748,17662,168953,32749,194,15360,4119,3196,1193,5285,14827,51633,34264,21291,25075,17068,8943,24756,2305
"CD1A",1,10,1,10,9,0,6,6,69,38,29,3,10,10,10,6,0,10,10,12,17,16,41,739,25,3,279,115,105,2,8,24,9,169,24,19,118,34,13,7
"CAV3",6,19,4,11,4,9,10,12,17,8,18,14,16,16,10,18,19,5,8,15,1,0,1,1,1,0,1,2,4,19,2,0,3,0,2,1,0,0,0,18
"SCG2",16,30,11,1,11,20,128,259,203,77,19,20,7,50,6,7,19,16,27,27,103,46,37,714,107,257,67,27,28,61,21,136,173,52,281,202,85,74,83,28
"TMEM229B",607,717,400,116,436,943,679,729,1094,809,460,433,403,1048,813,139,560,366,513,775,3306,959,1102,630,400,2904,1840,5085,350,286,405,306,1645,658,1177,3382,215,332,881,91
"SLITRK2",38,32,34,36,13,36,89,17,122,71,31,38,33,131,12,71,4,6,210,69,7,4,4,16,7,5,0,0,5,11,0,27,2,4,15,7,2,12,11,60
"POLQ",42,28,159,0,38,55,51,111,403,123,92,57,21,62,59,23,93,36,90,132,214,1100,296,220,119,764,2122,230,2967,262,1320,330,354,980,617,318,26,515,1520,480
"AWAT2",0,0,169,0,1,0,3,0,1,1,5,2,0,1,2,0,0,4,2,11,8,0,0,1,3,0,0,15,1,2,8,96,1,27,2,0,0,2,12,2
"HERC4",3020,2209,3374,1008,2524,2287,3482,2319,6409,5920,3858,1963,3383,4036,3183,2518,2055,2217,3637,3915,2896,4240,2101,4066,1940,3363,4310,2105,3687,2129,3209,3533,5034,2432,5674,2488,2174,1486,2419,7824
"FAM234A",5277,5366,5394,7338,4882,6274,8601,5697,4477,3231,7635,7096,1624,4843,5677,4761,4537,2122,6720,4740,8078,7350,7245,8350,5423,15875,14294,12248,8148,2165,5309,4968,7707,7380,5618,7423,3468,6613,6906,259
"FITM1",14,21,12,13,26,8,23,18,11,20,11,12,14,9,28,9,19,8,10,19,22,2,13,0,5,6,7,15,11,8,8,1,7,3,20,15,0,3,3,0
"YKT6",3155,5521,4956,4084,3608,3509,6272,4005,5085,4070,5177,3465,1691,4701,5103,1904,3104,2203,6182,4879,6426,6791,5520,6850,4481,8296,9598,6404,7226,1292,6019,5857,4793,8496,8189,5225,2643,8718,4994,1102
"AP000356.2",19,38,32,7,8,24,4,8,69,19,26,10,8,1,6,2,3,7,24,16,20,13,8,4,7,14,1,3,2,5,35,1,15,9,6,8,4,6,7,1
"C21orf58",300,94,251,71,129,186,142,163,303,119,265,123,51,236,197,98,152,117,153,324,256,354,297,202,235,469,905,363,405,419,1156,362,1042,291,438,578,56,477,1032,197
"SYK",1114,1746,1045,389,2262,1271,1871,1230,3475,2723,1443,892,747,1567,1752,454,1446,1164,2059,2074,4623,2748,1752,3449,2269,1804,1172,862,1989,449,3803,1376,2323,4275,4957,583,235,3391,1700,700
"C6orf52",41,47,168,34,17,26,44,40,65,85,51,15,86,71,84,21,32,21,47,49,35,26,19,51,38,19,49,47,24,9,291,26,86,161,64,256,14,25,49,40
"RNF130",2555,5552,3118,6582,4332,5405,8188,3504,7467,9694,6851,4107,7513,4349,4183,7061,3400,2841,10508,4335,3600,3901,3824,5546,4192,4231,6588,1735,2980,995,5992,5448,3766,2592,6196,1948,1232,4403,3160,937
"WDR19",2629,1849,2522,942,1824,1986,3127,2250,5079,4263,3663,1674,1587,4178,2415,2853,1876,2029,3627,3548,1473,1062,2331,2515,1330,2430,1865,1388,1904,1428,1103,602,3147,1417,4128,2899,1109,661,1350,739
"AL049796.1",36,29,42,20,14,32,50,52,59,40,45,39,46,64,38,37,32,25,61,57,19,29,32,16,13,37,30,74,10,5,63,28,51,20,35,29,10,27,18,21
"AL133467.1",19,41,26,209,23,109,143,30,33,67,73,103,60,13,14,80,32,25,221,40,26,26,2,3,6,6,5,11,2,7,46,12,6,6,9,5,7,34,17,3
"PLEKHA3",965,1471,1122,1034,1121,971,2012,1210,3020,3404,1908,919,3669,1352,1396,1326,1074,1130,1924,1761,1688,1946,1155,1888,1078,1775,1365,1507,1631,1241,1225,814,2238,2292,2170,1473,926,1057,1667,2965
"FO393419.3",12,13,4,6,4,10,12,15,17,17,18,5,22,15,18,4,7,8,12,23,7,1,3,3,3,0,20,0,5,6,2,2,13,1,7,17,7,5,2,19
