"","sample26","sample43","sample77","sample90","sample33","sample109","sample38","sample80","sample40","sample101","sample41","sample37","sample3","sample16","sample20","sample25","sample82","sample95","sample54","sample29","sample99","sample21","sample73","sample30","sample58","sample86","sample70","sample4","sample56","sample63","sample103","sample10","sample12","sample75","sample28","sample79","sample49","sample87","sample66","sample6","sample136","sample153","sample187","sample200","sample143","sample219","sample148","sample190","sample150","sample211","sample151","sample147","sample113","sample126","sample130","sample135","sample192","sample205","sample164","sample139","sample209","sample131","sample183","sample140","sample168","sample196","sample180","sample114","sample166","sample173","sample213","sample120","sample122","sample185","sample138","sample189","sample159","sample197","sample176","sample116"
"HAGHL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,6,2,2,1,2,2,3,2,2,3,1,6,4,2,3,6,2,3,2,3,6,3,2,3,3,2,6,3,6,6,6,2,6,4,3
"GALNT10",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,4,2,2,2,2,2,2,4,1,2,2,2,5,3,3,1,2,2,4,3,2,4,2,4,6,2,4,4,5,2,4,2,2
"KCNIP4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,2,1,2,3,1,2,2,2,2,1,3,2,1,6,4,2,2,2,2,4,4,2,1,1,2,4,2,4,4,4,2,4,1,2
"LSM8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,4,2,2,4,2,2,2,2,5,2,1,2,6,2,2,2,2,5,5,2,3,2,4,3,2,3,4,2,2,6,3,2
"NPNT",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,4,2,2,2,1,2,6,2,1,2,2,3,2,1,2,4,1,2,2,3,4,3,2,3,2,3,4,2,4,4,4,1,4,3,2
"ADSS2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,6,4,4,2,2,3,4,3,2,6,4,4,2,5,3,6,2,4,6,4,3,5,4,6,2,5,2,6,6,4,3,3,3,0,6,4,3
"THADA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,4,2,1,4,2,1,2,2,2,2,3,3,2,1,6,4,2,2,2,3,4,5,2,4,2,3,4,2,3,4,3,1,4,4,1
"CPA4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,4,2,2,4,2,2,2,3,4,2,1,2,6,2,2,2,3,4,5,2,3,2,4,4,2,3,4,3,2,6,3,2
"WDR54",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,4,2,1,6,2,3,5,2,2,2,3,3,2,1,6,4,2,3,2,3,4,5,2,4,2,3,4,2,3,4,3,2,4,3,2
"YJEFN3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,2,2,2,2,1,4,2,2,2,2,3,2,1,6,3,2,2,2,3,4,4,2,2,2,4,2,2,4,4,5,2,6,4,3
"NOL12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,5,1,4,2,1,2,2,2,2,2,2,1,2,2,1,1,5,2,2,1,2,2,2,4,2,4,1,2,3,2,4,3,3,2,4,3,0
"TNFSF12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,3,2,2,2,2,1,1,2,1,2,1,1,3,4,2,2,1,2,4,3,2,2,2,3,2,1,4,3,4,1,4,2,1
"MEMO1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,4,2,1,5,2,2,4,2,2,2,5,3,2,1,6,4,2,2,2,3,4,5,2,4,2,3,4,2,3,4,3,2,4,5,2
"AL009179.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,4,2,4,2,2,3,2,2,5,2,2,2,2,6,2,1,5,4,2,2,2,4,4,4,2,4,3,3,6,2,4,4,3,2,4,2,2
"AC145285.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,3,5,2,2,2,4,2,4,2,2,4,2,6,4,2,4,6,2,0,2,2,6,3,2,4,3,3,6,3,6,6,6,2,6,4,2
"CD8B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,4,2,1,4,2,3,5,2,2,2,4,3,2,1,6,4,2,2,2,2,3,5,2,3,2,3,2,2,2,4,3,2,4,3,3
"RASA2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,2,2,3,3,2,5,2,2,1,3,4,2,2,6,4,2,2,2,3,4,2,2,4,1,3,3,2,2,4,4,1,4,6,2
"RAP2C-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,2,2,3,1,1,2,2,1,2,3,4,3,1,6,4,2,2,2,2,4,4,2,2,2,4,3,2,4,3,2,1,4,2,1
"ZNF843",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,3,5,2,2,2,4,2,6,2,2,3,3,6,4,2,3,5,2,3,2,2,6,3,2,4,2,3,6,3,6,6,6,2,6,4,2
"SIT1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,2,4,2,2,3,2,3,4,2,2,2,2,4,1,2,6,4,2,1,2,3,2,3,2,2,2,3,1,2,3,4,3,1,4,3,2
"ARPC5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,5,4,4,2,2,6,3,4,4,5,3,2,2,5,4,2,6,4,6,4,2,4,3,5,2,5,2,6,6,4,4,4,3,2,6,5,3
"PFKFB1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,4,2,2,4,3,2,1,2,2,2,2,4,2,1,6,4,2,2,2,4,4,4,2,2,2,4,3,2,6,3,2,2,4,3,1
"AC009245.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,2,2,4,2,2,4,2,2,3,3,4,2,1,2,6,2,2,2,4,4,5,2,3,2,4,3,2,3,4,3,2,6,2,2
