"","condition"
"sample106","A"
"sample56","A"
"sample39","A"
"sample108","A"
"sample24","A"
"sample101","A"
"sample36","A"
"sample103","A"
"sample43","A"
"sample90","A"
"sample81","A"
"sample66","A"
"sample69","A"
"sample85","A"
"sample93","A"
"sample73","A"
"sample29","A"
"sample58","A"
"sample105","A"
"sample87","A"
"sample92","A"
"sample8","A"
"sample64","A"
"sample94","A"
"sample95","A"
"sample47","A"
"sample44","A"
"sample14","A"
"sample99","A"
"sample31","A"
"sample59","A"
"sample35","A"
"sample4","A"
"sample27","A"
"sample45","A"
"sample67","A"
"sample38","A"
"sample51","A"
"sample48","A"
"sample97","A"
"sample54","A"
"sample76","A"
"sample17","A"
"sample21","A"
"sample34","A"
"sample74","A"
"sample88","A"
"sample11","A"
"sample25","A"
"sample46","A"
"sample86","A"
"sample53","A"
"sample19","A"
"sample104","A"
"sample33","A"
"sample16","A"
"sample55","A"
"sample91","A"
"sample80","A"
"sample84","A"
"sample216","B"
"sample166","B"
"sample149","B"
"sample218","B"
"sample134","B"
"sample211","B"
"sample146","B"
"sample213","B"
"sample153","B"
"sample200","B"
"sample191","B"
"sample176","B"
"sample179","B"
"sample195","B"
"sample203","B"
"sample183","B"
"sample139","B"
"sample168","B"
"sample215","B"
"sample197","B"
"sample202","B"
"sample118","B"
"sample174","B"
"sample204","B"
"sample205","B"
"sample157","B"
"sample154","B"
"sample124","B"
"sample209","B"
"sample141","B"
"sample169","B"
"sample145","B"
"sample114","B"
"sample137","B"
"sample155","B"
"sample177","B"
"sample148","B"
"sample161","B"
"sample158","B"
"sample207","B"
"sample164","B"
"sample186","B"
"sample127","B"
"sample131","B"
"sample144","B"
"sample184","B"
"sample198","B"
"sample121","B"
"sample135","B"
"sample156","B"
"sample196","B"
"sample163","B"
"sample129","B"
"sample214","B"
"sample143","B"
"sample126","B"
"sample165","B"
"sample201","B"
"sample190","B"
"sample194","B"
