"","sample106","sample56","sample39","sample108","sample24","sample101","sample36","sample103","sample43","sample90","sample81","sample66","sample69","sample85","sample93","sample73","sample29","sample58","sample105","sample87","sample92","sample8","sample64","sample94","sample95","sample47","sample44","sample14","sample99","sample31","sample59","sample35","sample4","sample27","sample45","sample67","sample38","sample51","sample48","sample97","sample54","sample76","sample17","sample21","sample34","sample74","sample88","sample11","sample25","sample46","sample86","sample53","sample19","sample104","sample33","sample16","sample55","sample91","sample80","sample84","sample216","sample166","sample149","sample218","sample134","sample211","sample146","sample213","sample153","sample200","sample191","sample176","sample179","sample195","sample203","sample183","sample139","sample168","sample215","sample197","sample202","sample118","sample174","sample204","sample205","sample157","sample154","sample124","sample209","sample141","sample169","sample145","sample114","sample137","sample155","sample177","sample148","sample161","sample158","sample207","sample164","sample186","sample127","sample131","sample144","sample184","sample198","sample121","sample135","sample156","sample196","sample163","sample129","sample214","sample143","sample126","sample165","sample201","sample190","sample194"
"TRMT13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,5,2,4,2,2,2,1,3,2,2,2,3,3,1,6,3,2,4,2,4,3,6,2,3,2,2,4,2,2,6,2,3,3,2,2,1,3,3,1,4,2,2,3,3,1,3,3,2,5,3,2,2,2,0,2,1,2,2
"SALL4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,5,6,2,2,3,0,4,3,3,2,6,4,6,6,3,3,2,3,5,6,6,2,4,4,4,4,3,2,6,3,6,6,2,2,6,3,2,2,3,4,2,3,3,3,4,2,4,4,5,3,6,2,2,2,2,2,4
"ZNF619",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,5,6,2,2,2,2,2,2,2,1,2,2,2,6,2,2,4,2,6,2,3,2,5,3,3,4,2,2,4,2,4,5,1,2,2,2,2,2,4,3,2,2,3,1,5,1,3,4,3,4,2,2,2,2,1,2,3
"KCNJ13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,4,2,2,3,1,1,2,2,2,2,2,2,5,2,2,4,2,3,3,6,2,2,3,3,4,2,2,4,2,3,5,2,2,4,4,2,0,4,3,2,2,3,2,4,2,1,4,2,4,3,2,2,2,2,1,2
"GRAMD1C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,4,6,2,2,1,2,5,2,0,2,2,3,2,5,2,2,6,2,4,4,6,2,4,3,6,2,2,4,4,2,6,5,2,2,4,4,2,2,4,3,2,2,3,1,4,2,2,4,3,4,5,2,2,2,2,2,3
"CYP11A1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,6,0,4,2,2,3,2,3,3,2,2,4,2,1,6,3,2,4,2,4,4,6,3,3,4,3,4,3,2,4,2,2,4,2,2,4,5,2,1,3,2,2,3,2,0,4,1,2,4,4,3,4,2,2,2,2,2,2
"SMARCC2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,2,2,3,2,3,3,3,1,2,1,1,5,4,2,4,1,3,4,4,2,4,3,4,4,2,2,3,2,3,5,2,1,4,4,3,2,4,4,2,2,3,3,4,1,3,4,3,3,2,2,2,2,2,2,4
"IRF5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,5,4,6,1,1,4,2,2,2,3,1,3,3,2,2,3,2,6,2,4,4,5,1,4,4,2,6,2,1,3,2,4,3,2,2,4,4,2,1,2,4,2,4,5,2,4,3,3,4,5,3,3,3,2,2,2,2,4
"ACAN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,1,4,2,2,1,2,3,2,4,2,3,6,1,6,3,2,4,2,3,5,6,2,3,3,3,4,3,2,4,2,6,4,2,2,4,4,2,0,4,2,2,3,1,0,4,2,3,4,4,4,5,2,2,2,2,2,2
"THAP10",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,6,4,4,2,2,6,2,2,2,2,2,6,2,1,6,3,3,4,2,3,3,6,3,3,3,3,5,2,2,4,2,2,4,2,2,4,6,2,1,4,2,2,3,2,1,4,0,2,4,4,3,2,2,2,2,1,2,2
"LINC02615",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,3,2,2,1,2,2,2,3,2,2,3,3,2,2,4,2,4,5,6,2,1,3,2,4,2,2,3,2,3,3,2,2,2,5,2,1,4,2,2,4,3,1,4,2,4,4,1,2,1,2,1,2,2,2,3
"IGKV3D-11",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,4,2,2,3,1,3,2,3,2,2,3,2,6,2,2,4,2,5,4,5,2,3,3,4,4,2,2,3,0,3,4,2,2,4,4,2,2,5,2,2,3,3,1,4,2,3,3,5,4,3,2,2,2,2,2,3
