"","sample91","sample104","sample3","sample21","sample60","sample109","sample101","sample110","sample36","sample99","sample38","sample64","sample39","sample72","sample95","sample27","sample62","sample88","sample11","sample67","sample54","sample81","sample12","sample26","sample9","sample93","sample103","sample69","sample40","sample78","sample74","sample29","sample15","sample80","sample75","sample56","sample71","sample14","sample4","sample51","sample201","sample214","sample113","sample131","sample170","sample219","sample211","sample220","sample146","sample209","sample148","sample174","sample149","sample182","sample205","sample137","sample172","sample198","sample121","sample177","sample164","sample191","sample122","sample136","sample119","sample203","sample213","sample179","sample150","sample188","sample184","sample139","sample125","sample190","sample185","sample166","sample181","sample124","sample114","sample161"
"TM4SF4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,0,6,4,2,2,2,4,2,5,5,6,2,3,5,4,4,2,2,3,2,2,4,2,3,1,1,4,3,6,4,2,4,4,0,5,2,4
"CEP128",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,4,3,2,2,2,3,2,3,6,2,4,2,2,6,2,1,2,2,5,3,1,2,1,2,4,3,2,2,2,4,1,2,5,2,2
"SNORD14A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,0,4,0,4,3,2,1,2,4,2,4,2,2,2,2,4,2,4,4,3,3,4,4,6,2,2,5,4,2,4,2,4
"IGLV2-14",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,3,4,2,2,2,4,1,6,4,3,1,2,4,2,4,1,1,1,2,3,1,5,2,2,2,2,3,6,2,2,4,3,2,4,2,1
"SLC25A33",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,2,2,2,2,3,2,3,4,3,3,1,4,2,1,2,2,3,2,3,3,2,3,3,3,5,2,2,3,3,2,6,2,2
"PIBF1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,6,4,2,2,2,4,2,3,2,4,2,5,2,1,4,2,1,1,2,2,3,4,2,1,2,2,2,6,2,2,2,3,2,2,2,6
"AIDAP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,2,2,0,4,2,4,3,3,2,2,4,1,3,2,1,2,2,5,2,2,2,2,2,3,3,0,2,2,4,3,2,2,0,2
"OSMR-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,4,4,2,3,2,4,2,5,5,4,2,3,6,2,4,2,2,1,4,6,3,5,4,2,2,4,5,6,2,2,4,3,2,4,2,4
"TCHP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,4,2,4,4,4,2,4,3,2,4,2,2,3,3,1,2,2,3,2,0,4,3,6,2,0,4,6,2,3,2,4
"EDIL3-DT",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,2,2,4,3,2,5,3,2,3,4,2,4,2,2,2,2,2,3,2,4,1,0,4,4,5,2,2,4,4,0,5,2,4
"MIR27B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,2,2,4,2,2,3,3,1,4,2,1,4,2,3,3,2,2,4,3,3,2,2,1,3,6,2,1,3,3,2,3,2,2
"UPP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,2,3,4,6,2,3,4,6,2,3,3,3,5,2,3,2,3,3,3,3,3,2,2,3,3,6,2,1,3,3,2,1,2,4
"DGUOK-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,2,2,2,4,2,2,3,4,2,4,2,2,4,2,3,2,2,3,3,2,3,2,4,1,3,6,2,1,3,2,2,4,2,5
