"","condition"
"sample39","A"
"sample8","A"
"sample2","A"
"sample34","A"
"sample59","A"
"sample67","A"
"sample71","A"
"sample44","A"
"sample61","A"
"sample15","A"
"sample106","A"
"sample50","A"
"sample89","A"
"sample1","A"
"sample17","A"
"sample110","A"
"sample41","A"
"sample73","A"
"sample10","A"
"sample82","A"
"sample149","B"
"sample118","B"
"sample112","B"
"sample144","B"
"sample169","B"
"sample177","B"
"sample181","B"
"sample154","B"
"sample171","B"
"sample125","B"
"sample216","B"
"sample160","B"
"sample199","B"
"sample111","B"
"sample127","B"
"sample220","B"
"sample151","B"
"sample183","B"
"sample120","B"
"sample192","B"
