"","condition"
"sample8","A"
"sample73","A"
"sample72","A"
"sample23","A"
"sample102","A"
"sample25","A"
"sample2","A"
"sample69","A"
"sample46","A"
"sample31","A"
"sample106","A"
"sample43","A"
"sample105","A"
"sample97","A"
"sample32","A"
"sample86","A"
"sample95","A"
"sample99","A"
"sample83","A"
"sample108","A"
"sample6","A"
"sample49","A"
"sample9","A"
"sample54","A"
"sample21","A"
"sample41","A"
"sample20","A"
"sample51","A"
"sample40","A"
"sample98","A"
"sample27","A"
"sample92","A"
"sample7","A"
"sample24","A"
"sample67","A"
"sample47","A"
"sample55","A"
"sample74","A"
"sample28","A"
"sample22","A"
"sample36","A"
"sample48","A"
"sample5","A"
"sample109","A"
"sample13","A"
"sample77","A"
"sample35","A"
"sample15","A"
"sample29","A"
"sample88","A"
"sample3","A"
"sample44","A"
"sample100","A"
"sample62","A"
"sample110","A"
"sample19","A"
"sample94","A"
"sample76","A"
"sample85","A"
"sample50","A"
"sample118","B"
"sample183","B"
"sample182","B"
"sample133","B"
"sample212","B"
"sample135","B"
"sample112","B"
"sample179","B"
"sample156","B"
"sample141","B"
"sample216","B"
"sample153","B"
"sample215","B"
"sample207","B"
"sample142","B"
"sample196","B"
"sample205","B"
"sample209","B"
"sample193","B"
"sample218","B"
"sample116","B"
"sample159","B"
"sample119","B"
"sample164","B"
"sample131","B"
"sample151","B"
"sample130","B"
"sample161","B"
"sample150","B"
"sample208","B"
"sample137","B"
"sample202","B"
"sample117","B"
"sample134","B"
"sample177","B"
"sample157","B"
"sample165","B"
"sample184","B"
"sample138","B"
"sample132","B"
"sample146","B"
"sample158","B"
"sample115","B"
"sample219","B"
"sample123","B"
"sample187","B"
"sample145","B"
"sample125","B"
"sample139","B"
"sample198","B"
"sample113","B"
"sample154","B"
"sample210","B"
"sample172","B"
"sample220","B"
"sample129","B"
"sample204","B"
"sample186","B"
"sample195","B"
"sample160","B"
