"","condition"
"sample77","A"
"sample51","A"
"sample86","A"
"sample57","A"
"sample25","A"
"sample43","A"
"sample75","A"
"sample82","A"
"sample107","A"
"sample54","A"
"sample50","A"
"sample73","A"
"sample96","A"
"sample90","A"
"sample66","A"
"sample37","A"
"sample56","A"
"sample70","A"
"sample42","A"
"sample78","A"
"sample18","A"
"sample40","A"
"sample9","A"
"sample47","A"
"sample71","A"
"sample97","A"
"sample76","A"
"sample68","A"
"sample22","A"
"sample45","A"
"sample10","A"
"sample95","A"
"sample7","A"
"sample60","A"
"sample83","A"
"sample101","A"
"sample110","A"
"sample106","A"
"sample29","A"
"sample89","A"
"sample23","A"
"sample92","A"
"sample31","A"
"sample1","A"
"sample65","A"
"sample24","A"
"sample13","A"
"sample30","A"
"sample79","A"
"sample69","A"
"sample63","A"
"sample58","A"
"sample27","A"
"sample11","A"
"sample88","A"
"sample35","A"
"sample100","A"
"sample102","A"
"sample3","A"
"sample105","A"
"sample187","B"
"sample161","B"
"sample196","B"
"sample167","B"
"sample135","B"
"sample153","B"
"sample185","B"
"sample192","B"
"sample217","B"
"sample164","B"
"sample160","B"
"sample183","B"
"sample206","B"
"sample200","B"
"sample176","B"
"sample147","B"
"sample166","B"
"sample180","B"
"sample152","B"
"sample188","B"
"sample128","B"
"sample150","B"
"sample119","B"
"sample157","B"
"sample181","B"
"sample207","B"
"sample186","B"
"sample178","B"
"sample132","B"
"sample155","B"
"sample120","B"
"sample205","B"
"sample117","B"
"sample170","B"
"sample193","B"
"sample211","B"
"sample220","B"
"sample216","B"
"sample139","B"
"sample199","B"
"sample133","B"
"sample202","B"
"sample141","B"
"sample111","B"
"sample175","B"
"sample134","B"
"sample123","B"
"sample140","B"
"sample189","B"
"sample179","B"
"sample173","B"
"sample168","B"
"sample137","B"
"sample121","B"
"sample198","B"
"sample145","B"
"sample210","B"
"sample212","B"
"sample113","B"
"sample215","B"
