"","condition"
"sample37","A"
"sample108","A"
"sample38","A"
"sample14","A"
"sample104","A"
"sample107","A"
"sample100","A"
"sample24","A"
"sample12","A"
"sample15","A"
"sample56","A"
"sample78","A"
"sample1","A"
"sample43","A"
"sample31","A"
"sample52","A"
"sample8","A"
"sample10","A"
"sample26","A"
"sample23","A"
"sample147","B"
"sample218","B"
"sample148","B"
"sample124","B"
"sample214","B"
"sample217","B"
"sample210","B"
"sample134","B"
"sample122","B"
"sample125","B"
"sample166","B"
"sample188","B"
"sample111","B"
"sample153","B"
"sample141","B"
"sample162","B"
"sample118","B"
"sample120","B"
"sample136","B"
"sample133","B"
