"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",283,316,208,314,303,439,163,314,605,470,303,347,1074,476,363,850,201,295,734,226,996,289,146,275,1239,290,282,155,1002,178,1152,250,106,60,119,572,540,321,1044,343
"g2",749,1705,1526,1675,1901,2194,2041,3605,1995,2224,1664,659,4208,1671,3669,1773,1474,2615,2651,994,5700,978,1970,682,7924,1661,2788,3060,1766,3620,2570,369,335,5192,2189,1414,1676,3325,3560,1358
"g3",1189980,1710459,556907,1204104,628526,2261933,366799,1542176,2306577,1739035,3643147,3375422,2606102,1058352,3283937,2429817,3776843,1167584,2510081,1398536,1615906,674610,436646,1289796,385142,1187975,873724,4119238,1210236,1968370,1289946,1368683,985338,1267556,739349,1767655,1646234,1622165,3585395,878215
"g4",4952,4402,2717,3240,2826,3159,2336,1072,3619,1363,1682,6334,13085,1727,6481,8081,2332,2253,2483,2197,211,3581,3526,1191,4714,2091,7520,8974,5885,13172,7896,2023,4417,2997,1754,3518,11222,1129,3680,2404
"g5",13895,248,9818,141,1256,16295,21967,28825,4598,3729,38929,1,547,511,7933,76,897,8755,3,26565,2782,38805,47919,188192,31518,61995,3026,13447,23858,682,1198,3246,5624,27407,4052,26020,30466,5195,330875,46382
"g6",125,872,606,405,81,833,542,935,1981,268,539,465,1667,605,26,255,874,820,355,70,253,1543,503,1008,1442,684,1786,945,240,818,2478,49,2279,1157,1571,520,2438,810,4470,414
"g7",2078,33402,5966,38462,63430,27710,24455,4759,25099,35713,61881,15399,43375,33362,17674,28137,17608,15539,31906,26141,63255,6147,51500,83754,26204,28511,8135,44630,1542,23234,11216,38402,14347,22532,12429,22976,30716,15229,219115,9655
"g8",51493,64611,70494,91564,53454,42751,36423,54896,73170,74896,119403,50623,41993,58346,75538,64263,74057,31616,68985,36071,62211,44927,123966,80791,109714,75093,117854,75070,94627,129854,269382,81528,72627,218455,123552,62608,106634,96274,244064,123836
"g9",174105,55392,77282,43645,47368,123872,76677,92488,84470,47828,78455,24539,497907,119976,156122,72090,441297,51448,205015,49778,245807,60493,258603,246557,178856,45159,292482,63219,63074,239676,536058,92812,65712,251369,19308,64271,545470,58123,356655,27692
"g10",1491,35,620,327,3822,57,265,1,21920,246,244,871,16452,57,2488,70,13319,8780,0,22857,53013,10525,11991,2128,2748,2717,26,36050,6,13790,0,10,2,0,897,539,20,2,0,741
