"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",291,776,491,327,352,251,129,624,362,454,1098,958,491,486,1705,722,540,393,725,382
"g2",1504,4737,2688,1446,2976,2880,2877,5021,2370,631,6081,2355,2402,2068,7147,2989,2244,1596,6272,2946
"g3",761759,4431883,4273415,2262017,3307712,2505532,2114768,1938592,2068058,831514,458819,970632,1045810,1671506,2240512,1006229,3735582,5885467,2224668,1742542
"g4",2518,778,1926,2021,2143,2560,3098,6157,9054,2044,2967,2173,5089,1882,8510,1537,5410,5863,7782,5552
"g5",60,55,816,8787,16,25638,61165,1804,2640,7658,13155,5465,127,26153,1442,257,21442,350,23696,86588
"g6",52,1341,1148,920,202,726,346,1657,792,496,208,273,690,202,1886,78,330,4795,156,330
"g7",25487,28494,20360,54915,21037,14166,5469,27907,12158,14978,63963,7300,19024,22874,8803,14533,23540,14108,22494,13060
"g8",54943,75906,78823,56257,51762,70630,63513,100773,86160,25579,92424,26278,35508,33256,61076,61492,56542,32122,51843,38760
"g9",101241,243058,187704,262344,58978,132961,34344,109268,95815,75813,54347,15810,37969,58902,150330,76304,80300,184839,74325,23824
"g10",4721,198,451,276,7705,145,43,11228,13,3296,2256,146,4300,56,3818,160,8338,6360,4,2331
"g11",1914,0,0,0,0,1083,1730,151,0,199,6537,0,291,153,156,0,100,1838,1670,1433
"g12",1071,618,456,705,414,432,2,86,243,129,1317,164,1788,328,112,230,786,156,782,1091
"g13",44,273,84,61,10,30,34,0,1418,84,3073,267,480,3,67,32,144,165,119,116
"g14",272,411,435,85,273,9,223,1211,661,840,816,463,56,348,60,123,906,150,274,74
"g15",4151,20718,1002,20418,12127,1465,5432,21524,7411,2878,1278,1806,6991,1410,8544,2488,10550,4868,2999,3084
"g16",82511,156594,133226,138229,122953,42054,76260,126365,183412,85906,123308,43286,29002,97779,223392,66496,115679,130545,109428,129915
"g17",133979,86654,105950,27955,149519,76783,119368,118918,182642,85884,242138,96005,127544,85752,73642,119228,180895,112378,104459,128568
"g18",42845,13911,3398,10013,14091,14731,6257,16351,9757,3709,60980,48526,47249,31100,13618,63718,180592,189974,49565,32920
"g19",140986,267721,166765,166624,131321,171170,135618,182805,294234,204307,469773,159473,139962,148235,150163,342189,249197,310961,201792,170130
"g20",137126,93790,169690,185280,113636,64547,78352,153031,144006,55140,402030,48347,72964,52659,125418,87576,70098,113693,127234,105969
"g21",11047,60294,153945,5670,238742,98910,53558,3290,31363,20237,2305730,58598,190339,279678,205618,22657,6734,342605,356492,405206
"g22",158545,278976,278175,285338,84353,116072,282267,467802,360097,142041,279620,99240,149380,293206,413937,99660,121052,277282,300143,167206
"g23",62978,49926,40585,39851,28760,29613,22094,39846,32015,14876,42540,13054,15598,17577,46719,36045,59979,67548,30893,25874
"g24",399,1637,883,1196,635,1391,1052,2801,2311,1674,782,695,1256,1488,1925,209,1850,1252,1454,1755
"g25",600,755,728,637,893,264,169,701,144,246,628,250,441,243,420,935,573,227,350,135
"g26",37587,28538,47557,41239,16851,25204,30179,44581,37374,18284,53638,20087,26585,23920,36552,29779,34974,27990,32136,53482
"g27",42879,140782,68649,104031,83539,57634,84990,131360,86939,41939,111521,14939,14221,87165,65507,59289,67474,78476,192203,76890
"g28",47074,75295,53499,100773,37570,48079,46970,41363,37898,26830,280275,221694,139891,107037,101694,118502,200242,144826,261090,96701
"g29",1967,4032,5041,5267,9664,6100,4857,22000,4004,2137,9670,9890,1930,3678,7420,4379,68503,3840,10844,10412
"g30",58447,104411,140535,77488,84326,117423,74861,140151,219996,90884,185476,49862,61971,104040,129220,36877,111500,215466,95152,273801
"g31",4311,4818,10925,2560,7168,5686,10114,18072,5877,9143,11631,9000,5552,11097,45280,13705,35877,20850,14162,20217
"g32",109057,26467,26804,22453,56378,245437,56918,39225,239091,169034,238030,40724,77418,105337,147468,38094,15351,209526,815217,72627
"g33",176078,115367,311965,72444,42022,292111,63231,182580,113946,66532,343310,32560,106519,70087,76796,223263,116574,266873,281272,136512
"g34",20237,79030,26462,9680,3661,43847,10480,27142,20993,15268,24948,11073,4554,19166,95870,12012,100074,11121,73200,6858
"g35",816,2823,3946,4488,944,1396,1300,1714,731,726,5391,2031,3902,1125,6216,4109,7946,1934,7640,3802
"g36",65810,17748,6363,1521,95219,19994,2055,34869,22812,2714,429191,91855,641428,13104,85395,118655,3626,78456,23246,1125
"g37",1,34678,10074,7264,126,9734,924,404,2384,44,9080,5,6414,342,3102,173,129,3303,41622,1453
"g38",974,945,4113,2220,1499,816,2022,2059,885,370,3950,861,1159,800,1150,973,1413,820,4869,956
"g39",51438,84672,88357,148869,78459,117391,105688,80709,135743,90133,183441,111838,149793,123572,266794,66054,159541,75066,562712,161856
"g40",42553,371386,115648,262778,39708,117940,113939,215704,70141,52576,1609285,724475,184305,279599,283568,115417,1974099,178922,752883,1050333
"g41",10659,18253,12096,6172,6890,7027,764,6742,1118,1863,49445,2949,7931,11374,17039,7537,2132,2648,6756,2384
"g42",68377,117746,107171,51481,78326,37509,123076,23819,22229,14357,177714,27240,19610,34516,112595,45494,153978,206814,97978,82158
"g43",58938,32452,23514,40525,48599,95043,10984,17743,30413,13895,166305,27156,32119,28435,55660,47194,12972,74700,102318,118485
"g44",41793,36530,34866,47832,25917,10666,34021,23986,29134,27038,27955,14059,24259,19056,16629,30705,23427,10664,22406,30587
"g45",187574,35882,24244,29630,53102,13269,101749,4630,136387,19146,510669,82758,96441,14090,10023,87078,33833,182106,262168,96210
"g46",6224,127387,12008,52160,32002,36226,18982,104389,91039,4799,383391,19126,92592,72123,137623,9984,84012,5025,121513,7650
"g47",8673,21529,68348,34002,29582,41055,37887,9140,16282,5853,74808,25298,42672,29494,84230,39804,59396,28230,113434,48314
"g48",47723,56961,57908,41692,38791,36162,66911,74391,39225,23644,161554,48864,135654,54520,116382,125783,40626,117222,213849,155159
"g49",1909,835,2712,649,3707,153,535,709,52,652,759,257,1046,1618,4351,99,3957,395,7383,210
"g50",1882,2395,7150,2982,6539,1367,1530,6320,2767,4063,1277,3507,11149,13148,21528,2571,15722,13080,18658,9435
"g51",707,15871,2288,708,96,3343,981,17485,10692,4529,2352,1715,3379,99,2210,11035,42644,54513,14142,688
"g52",1169,619,511,523,897,246,108,476,768,569,2462,485,923,1489,953,1940,678,2496,1913,2316
"g53",67547,67744,63606,81479,50247,58347,57570,75995,59920,40459,164318,23283,69857,43664,89740,35899,80933,31046,29431,76436
"g54",12640,130745,45998,40236,23322,36097,54498,55867,53735,18390,205887,24871,63874,27167,102972,52115,120736,124926,142834,50618
"g55",12731,31399,23596,28528,28634,10524,6166,19210,7127,8408,29987,17133,27271,10838,29548,9986,108810,9167,14828,15822
"g56",61565,131938,182212,197172,113188,108582,109972,203763,148218,21712,324173,117767,84757,88777,243324,167060,159677,122638,152094,511524
