"","condition"
"sample62","A"
"sample38","A"
"sample83","A"
"sample17","A"
"sample75","A"
"sample49","A"
"sample87","A"
"sample95","A"
"sample30","A"
"sample89","A"
"sample31","A"
"sample33","A"
"sample40","A"
"sample26","A"
"sample102","A"
"sample36","A"
"sample39","A"
"sample34","A"
"sample101","A"
"sample15","A"
"sample53","A"
"sample32","A"
"sample35","A"
"sample13","A"
"sample103","A"
"sample55","A"
"sample69","A"
"sample23","A"
"sample25","A"
"sample64","A"
"sample7","A"
"sample98","A"
"sample100","A"
"sample51","A"
"sample2","A"
"sample18","A"
"sample46","A"
"sample84","A"
"sample60","A"
"sample48","A"
"sample110","A"
"sample97","A"
"sample8","A"
"sample45","A"
"sample3","A"
"sample63","A"
"sample16","A"
"sample73","A"
"sample107","A"
"sample71","A"
"sample81","A"
"sample70","A"
"sample76","A"
"sample56","A"
"sample74","A"
"sample82","A"
"sample91","A"
"sample54","A"
"sample65","A"
"sample27","A"
"sample172","B"
"sample148","B"
"sample193","B"
"sample127","B"
"sample185","B"
"sample159","B"
"sample197","B"
"sample205","B"
"sample140","B"
"sample199","B"
"sample141","B"
"sample143","B"
"sample150","B"
"sample136","B"
"sample212","B"
"sample146","B"
"sample149","B"
"sample144","B"
"sample211","B"
"sample125","B"
"sample163","B"
"sample142","B"
"sample145","B"
"sample123","B"
"sample213","B"
"sample165","B"
"sample179","B"
"sample133","B"
"sample135","B"
"sample174","B"
"sample117","B"
"sample208","B"
"sample210","B"
"sample161","B"
"sample112","B"
"sample128","B"
"sample156","B"
"sample194","B"
"sample170","B"
"sample158","B"
"sample220","B"
"sample207","B"
"sample118","B"
"sample155","B"
"sample113","B"
"sample173","B"
"sample126","B"
"sample183","B"
"sample217","B"
"sample181","B"
"sample191","B"
"sample180","B"
"sample186","B"
"sample166","B"
"sample184","B"
"sample192","B"
"sample201","B"
"sample164","B"
"sample175","B"
"sample137","B"
