"","condition"
"sample87","A"
"sample58","A"
"sample76","A"
"sample4","A"
"sample85","A"
"sample20","A"
"sample101","A"
"sample65","A"
"sample12","A"
"sample72","A"
"sample40","A"
"sample11","A"
"sample75","A"
"sample109","A"
"sample74","A"
"sample7","A"
"sample88","A"
"sample92","A"
"sample53","A"
"sample35","A"
"sample197","B"
"sample168","B"
"sample186","B"
"sample114","B"
"sample195","B"
"sample130","B"
"sample211","B"
"sample175","B"
"sample122","B"
"sample182","B"
"sample150","B"
"sample121","B"
"sample185","B"
"sample219","B"
"sample184","B"
"sample117","B"
"sample198","B"
"sample202","B"
"sample163","B"
"sample145","B"
