"","condition"
"sample61","A"
"sample14","A"
"sample79","A"
"sample108","A"
"sample98","A"
"sample80","A"
"sample60","A"
"sample16","A"
"sample28","A"
"sample12","A"
"sample93","A"
"sample75","A"
"sample96","A"
"sample41","A"
"sample104","A"
"sample63","A"
"sample71","A"
"sample52","A"
"sample84","A"
"sample2","A"
"sample92","A"
"sample90","A"
"sample70","A"
"sample29","A"
"sample83","A"
"sample82","A"
"sample23","A"
"sample86","A"
"sample18","A"
"sample62","A"
"sample43","A"
"sample19","A"
"sample44","A"
"sample103","A"
"sample25","A"
"sample6","A"
"sample102","A"
"sample106","A"
"sample65","A"
"sample22","A"
"sample171","B"
"sample124","B"
"sample189","B"
"sample218","B"
"sample208","B"
"sample190","B"
"sample170","B"
"sample126","B"
"sample138","B"
"sample122","B"
"sample203","B"
"sample185","B"
"sample206","B"
"sample151","B"
"sample214","B"
"sample173","B"
"sample181","B"
"sample162","B"
"sample194","B"
"sample112","B"
"sample202","B"
"sample200","B"
"sample180","B"
"sample139","B"
"sample193","B"
"sample192","B"
"sample133","B"
"sample196","B"
"sample128","B"
"sample172","B"
"sample153","B"
"sample129","B"
"sample154","B"
"sample213","B"
"sample135","B"
"sample116","B"
"sample212","B"
"sample216","B"
"sample175","B"
"sample132","B"
