"","sample16","sample83","sample21","sample55","sample78","sample32","sample56","sample101","sample68","sample96","sample69","sample73","sample9","sample64","sample89","sample19","sample94","sample107","sample61","sample84","sample87","sample46","sample27","sample103","sample67","sample38","sample91","sample50","sample92","sample45","sample44","sample43","sample99","sample52","sample74","sample8","sample4","sample81","sample86","sample37","sample24","sample60","sample10","sample85","sample98","sample54","sample104","sample110","sample34","sample82","sample108","sample23","sample28","sample26","sample80","sample11","sample35","sample76","sample3","sample57","sample126","sample193","sample131","sample165","sample188","sample142","sample166","sample211","sample178","sample206","sample179","sample183","sample119","sample174","sample199","sample129","sample204","sample217","sample171","sample194","sample197","sample156","sample137","sample213","sample177","sample148","sample201","sample160","sample202","sample155","sample154","sample153","sample209","sample162","sample184","sample118","sample114","sample191","sample196","sample147","sample134","sample170","sample120","sample195","sample208","sample164","sample214","sample220","sample144","sample192","sample218","sample133","sample138","sample136","sample190","sample121","sample145","sample186","sample113","sample167"
"IGLV5-37",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,1,3,3,2,5,5,3,2,3,5,3,2,2,1,3,2,2,2,6,3,1,3,5,3,3,2,1,2,2,2,3,2,2,2,1,3,2,2,2,3,2,3,1,2,4,3,4,2,6
"FAM13A-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,1,2,3,3,2,2,4,2,2,3,3,4,3,4,4,3,2,2,2,2,2,2,4,3,2,4,2,3,4,2,2,4,6,5,4,4,2,3,1,2,2,3,2,4,2,3,3,2,5,5,4,2,3
"DCTN5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,3,4,4,2,2,1,6,4,5,2,6,4,4,2,6,4,3,3,2,2,3,2,0,3,3,2,6,3,6,5,2,2,6,6,6,2,6,2,5,2,3,2,4,6,6,2,6,1,1,4,4,3,2,6
"PELI1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,3,2,2,3,2,6,6,3,4,3,4,3,4,3,2,2,2,2,2,5,3,0,4,2,3,5,2,2,4,4,4,3,4,2,4,1,3,2,3,2,4,2,4,3,0,4,3,4,2,6
"LINC00639",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,4,2,3,5,4,2,1,2,3,2,2,3,6,3,6,4,3,3,4,2,2,2,1,2,3,3,3,2,4,2,3,3,2,2,4,2,6,4,4,2,4,1,4,2,2,6,2,3,4,3,2,4,5,4,2,5
"LRRFIP1P1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,4,2,4,2,3,3,2,2,2,4,2,6,6,3,4,2,4,3,3,3,3,2,2,0,2,5,3,2,4,2,3,3,1,3,4,6,6,6,3,2,4,2,2,2,3,5,4,3,3,2,2,4,4,4,2,6
"ADCY6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,3,1,6,2,1,2,2,4,0,4,4,2,4,4,4,4,3,3,2,2,2,2,3,5,2,2,5,2,3,6,2,3,4,2,4,3,3,2,5,2,2,2,3,4,6,3,4,2,2,4,3,4,2,5
"DOCK9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,1,3,2,2,3,1,2,3,3,2,3,3,3,3,1,4,1,5,2,2,2,2,2,2,5,1,1,4,1,2,3,2,1,4,6,6,6,3,2,4,1,6,3,4,4,3,3,4,2,2,4,3,4,2,3
"CHST7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,2,2,2,3,1,2,2,2,4,2,5,4,4,2,4,4,4,2,4,3,2,0,2,2,5,2,1,4,2,4,3,2,1,4,2,4,3,3,3,4,2,1,2,2,5,3,4,3,1,2,4,4,4,2,6
"AC009318.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,3,2,3,5,1,2,3,4,2,4,4,6,5,4,4,3,3,3,2,1,2,4,2,6,3,3,4,2,3,6,2,3,4,6,4,4,4,1,5,2,4,2,4,4,4,2,4,2,2,4,3,4,1,5
"IL33",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,3,5,1,1,4,2,0,1,3,3,2,3,4,4,2,3,2,2,1,2,2,6,3,2,3,2,3,3,2,0,4,3,5,5,2,1,3,2,2,2,3,4,3,3,4,2,2,4,0,2,2,1
"SLC7A13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,5,6,3,5,5,2,2,2,6,6,6,6,6,4,2,4,6,3,3,2,2,3,2,2,6,5,2,6,3,2,6,2,2,4,6,4,6,5,4,4,3,6,2,3,5,6,3,5,5,3,4,5,4,2,6
"MOK",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,6,1,3,3,2,2,1,2,3,2,2,3,6,3,6,4,4,3,4,2,2,2,1,2,2,3,3,2,2,2,3,6,2,0,4,4,6,4,4,3,3,4,4,2,3,6,4,3,3,2,3,4,5,5,2,5
"FOXP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,4,2,1,3,2,2,2,4,4,4,3,3,2,2,4,3,4,2,0,2,1,2,1,5,3,2,4,1,3,4,3,2,4,3,6,2,3,4,4,1,2,2,2,4,4,3,4,2,2,3,3,4,2,6
"AKT2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,1,4,2,4,2,2,2,3,4,2,4,4,4,5,3,6,3,5,4,2,1,1,1,2,3,4,2,3,3,3,4,2,2,6,3,6,4,4,3,4,1,2,1,3,3,3,3,4,2,2,4,3,4,2,6
"APOBEC3G",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,2,2,3,5,5,3,4,2,4,2,4,2,1,2,2,2,2,6,3,1,1,1,3,3,2,1,2,4,3,2,3,2,2,2,5,2,1,2,2,3,3,3,2,4,4,4,2,6
"LEMD2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,4,3,3,3,2,0,2,2,1,4,4,4,3,4,4,4,4,3,2,1,2,2,0,4,3,1,4,2,2,4,2,3,4,5,5,3,2,2,3,1,2,2,4,6,3,4,4,4,1,4,6,4,3,6
"BOD1L1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,4,2,1,6,3,4,3,4,4,3,2,3,2,1,2,2,5,3,0,4,2,3,5,2,2,3,2,5,2,6,2,3,1,2,2,2,3,2,2,4,2,1,4,6,4,2,3
"AP000787.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,1,2,2,2,3,2,2,5,4,5,4,3,6,3,2,4,1,2,1,2,1,3,3,2,3,1,4,3,2,1,2,5,3,4,6,2,3,2,3,3,3,4,2,3,2,3,2,4,2,4,1,6
"B3GALT5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,6,5,1,4,4,3,2,2,2,2,4,4,3,3,3,4,4,4,3,2,2,2,2,4,3,3,1,4,2,2,6,2,3,4,2,4,5,2,2,4,3,6,2,2,4,3,2,4,4,2,4,6,2,2,6
"AC025178.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,3,3,2,3,2,3,4,2,2,5,4,2,6,4,4,4,4,4,3,3,4,1,2,3,2,2,4,4,3,4,2,6,5,2,3,4,4,6,4,5,2,6,2,2,2,3,2,6,2,4,6,2,4,5,4,3,3
"TUBD1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,4,1,3,2,4,3,3,2,6,4,4,2,4,4,6,3,4,4,6,4,2,2,3,2,6,6,6,1,4,4,4,4,2,2,4,1,5,4,6,3,3,1,4,2,3,4,3,3,4,2,2,4,6,4,1,6
"CYBC1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,2,6,3,3,2,1,4,3,6,4,3,3,3,4,4,1,3,2,2,3,2,3,4,3,1,5,4,1,5,2,2,3,2,4,4,6,1,3,0,3,2,3,4,2,3,4,2,2,4,6,4,2,4
"SLC20A2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,6,1,5,2,5,5,1,3,5,3,6,3,6,6,6,1,4,6,5,2,2,2,1,2,2,2,3,2,6,2,5,6,2,4,5,2,4,4,1,1,4,3,2,2,5,5,5,2,5,1,2,4,5,2,2,4
"AC008464.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,4,1,5,2,3,2,1,2,4,5,2,3,6,3,4,4,5,3,5,4,2,2,2,2,2,4,3,1,3,2,4,5,2,2,5,2,6,4,6,2,5,2,4,2,1,2,4,2,4,2,2,4,2,3,2,6
"ACOXL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,2,4,2,2,2,3,1,2,4,6,3,2,3,3,3,3,1,2,2,2,2,2,5,3,1,4,2,3,4,0,2,4,5,4,3,3,2,4,2,2,2,3,3,5,3,4,3,1,4,3,4,2,5
"RABEP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,1,4,4,4,3,2,0,5,4,5,4,6,4,4,4,5,6,3,4,2,2,3,2,2,3,3,2,6,2,6,4,2,2,6,4,6,4,6,2,6,2,2,2,4,6,6,2,6,4,3,4,5,4,2,6
"LINC01060",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,1,4,2,0,3,2,2,2,5,2,3,6,3,4,3,4,4,2,2,2,2,2,2,2,4,3,2,4,2,3,5,2,2,4,2,4,2,4,2,3,0,1,1,2,3,4,2,4,3,0,4,3,4,2,4
"DFFB",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,2,1,2,3,2,2,6,4,2,2,4,3,5,3,2,2,3,2,1,3,2,1,2,1,3,4,2,2,5,5,4,4,4,2,3,0,5,2,4,2,3,2,4,3,2,4,1,2,2,4
