"","sample66","sample71","sample12","sample7","sample47","sample86","sample11","sample26","sample20","sample13","sample92","sample100","sample69","sample60","sample2","sample25","sample94","sample109","sample110","sample9","sample19","sample53","sample31","sample22","sample103","sample52","sample27","sample77","sample73","sample101","sample61","sample88","sample50","sample8","sample97","sample78","sample102","sample17","sample74","sample65","sample43","sample82","sample38","sample28","sample107","sample54","sample55","sample79","sample80","sample105","sample85","sample40","sample83","sample18","sample76","sample46","sample29","sample64","sample72","sample23","sample176","sample181","sample122","sample117","sample157","sample196","sample121","sample136","sample130","sample123","sample202","sample210","sample179","sample170","sample112","sample135","sample204","sample219","sample220","sample119","sample129","sample163","sample141","sample132","sample213","sample162","sample137","sample187","sample183","sample211","sample171","sample198","sample160","sample118","sample207","sample188","sample212","sample127","sample184","sample175","sample153","sample192","sample148","sample138","sample217","sample164","sample165","sample189","sample190","sample215","sample195","sample150","sample193","sample128","sample186","sample156","sample139","sample174","sample182","sample133"
"LINC00630",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,4,4,2,2,1,3,2,2,3,2,2,6,4,3,2,4,3,2,2,4,2,2,2,2,1,3,2,2,1,2,2,2,2,3,4,1,3,2,3,4,1,1,1,2,2,2,4,3,2,4,4,6,4,1,4
"ATG4A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,2,2,1,3,2,2,2,1,2,6,4,2,1,4,2,2,2,5,2,1,2,2,1,3,2,2,0,3,3,2,0,3,4,1,4,2,3,4,1,2,2,2,2,2,3,3,2,4,4,6,4,2,4
"RIN1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,2,3,3,2,4,2,2,5,4,2,3,5,3,3,3,5,2,3,4,2,6,4,2,2,4,0,2,2,2,3,3,3,4,2,6,4,1,2,3,2,2,2,3,2,3,4,4,4,4,4,5
"DOCK9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,1,2,2,1,6,3,3,3,4,3,3,3,2,2,2,2,2,5,4,0,2,3,1,2,3,2,3,1,2,2,3,1,2,2,5,3,1,2,4,1,2,2,4,2,2,4,2,6,2,4,4
"IGHV3-15",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,4,4,3,2,1,3,2,1,4,2,2,6,4,2,3,3,2,2,2,2,2,4,3,2,2,6,2,2,4,2,4,1,4,3,2,2,6,2,4,3,1,2,3,2,2,2,2,2,2,4,3,5,2,6,5
"H2AC6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,4,4,4,3,2,2,2,1,5,1,2,3,4,2,2,4,3,3,3,3,2,5,2,2,2,3,2,2,5,2,4,3,4,3,3,0,6,2,4,4,1,2,3,2,1,2,3,3,2,4,4,5,2,2,3
"YBX1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,4,4,3,3,2,2,2,2,6,2,3,6,2,2,2,2,6,2,2,3,2,1,2,0,2,3,1,2,6,2,3,2,3,3,3,2,4,2,4,3,1,2,3,2,2,2,3,3,6,3,3,6,3,3,5
"DSTNP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,5,4,4,5,3,1,2,2,3,1,5,2,2,4,4,2,4,4,3,2,2,3,2,3,2,2,1,3,2,2,6,2,4,2,3,2,4,2,4,2,4,3,2,3,3,2,2,2,3,4,2,4,4,6,2,4,2
"NTS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,6,4,2,2,2,3,2,2,2,1,1,4,4,2,2,3,2,2,6,3,2,4,2,1,2,4,2,2,3,2,4,2,4,3,3,2,4,2,4,2,2,2,4,1,2,2,2,2,3,4,3,2,4,3,1
"MRAP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,2,5,2,4,4,4,2,2,2,2,2,4,2,2,2,4,2,2,4,3,2,3,4,2,3,2,2,2,3,2,2,4,2,4,2,3,2,4,2,4,2,4,3,2,3,4,2,2,2,3,4,2,4,3,6,2,2,2
