"","sample2","sample27","sample79","sample76","sample31","sample34","sample39","sample44","sample43","sample69","sample36","sample74","sample1","sample50","sample108","sample58","sample80","sample85","sample3","sample35","sample112","sample137","sample189","sample186","sample141","sample144","sample149","sample154","sample153","sample179","sample146","sample184","sample111","sample160","sample218","sample168","sample190","sample195","sample113","sample145"
"NDC80",197,115,43,37,194,239,105,58,81,83,109,61,51,162,76,36,92,151,202,207,322,496,431,650,457,2415,923,2622,535,1794,330,359,2948,72,710,1342,854,246,228,1888
"CBFB",4631,2303,1734,987,3600,1765,2248,1235,2555,2394,1375,4289,1831,4077,1484,1920,2714,2680,3563,2244,5311,3094,1671,1876,2785,6649,2930,3986,6868,6625,2721,2273,4676,1786,1971,5453,6231,2419,1823,5685
"BDH1",1076,1332,946,276,2164,2030,445,201,1482,918,2402,1373,1217,2351,916,1437,1961,1078,891,1139,3729,807,4632,4335,1823,4396,2502,621,1803,468,1380,996,2466,1086,3779,1991,4142,2862,2171,1029
"HS6ST2",793,224,66,15,756,227,202,29,284,136,2149,327,74,658,93,417,563,992,351,122,63,30,23,248,140,1885,19,1000,78,16,35,895,37,297,97,1241,23,60,411,2067
"NPAS2",2358,973,426,499,1452,784,404,232,1905,847,490,1071,537,1901,348,1649,806,1078,926,522,1353,360,833,1503,506,756,1074,156,2863,1200,1755,576,392,1899,719,1120,283,1286,2634,1350
"LINC02605",54,16,13,2,8,3,16,1,42,7,5,46,3,91,18,13,13,81,21,15,5,20,1,9,8,18,0,7,32,176,24,47,44,7,22,25,20,1,7,2
"AL121929.3",38,22,16,7,26,49,30,8,53,30,17,50,42,67,42,24,24,16,21,16,44,6,36,7,19,48,35,6,93,2,20,17,3,15,23,11,22,93,8,18
"B3GLCT",1375,665,590,404,1116,618,714,804,933,847,779,1565,815,1641,633,943,853,1063,1398,808,1790,1072,1395,607,1253,116,836,680,1604,1187,1944,539,1215,358,1578,683,2376,870,1083,2143
"CLIP1",6139,6578,4973,5493,9480,6481,5588,8255,5784,9901,3053,11302,7307,10267,8730,3907,6437,7220,10195,6965,12044,6440,19182,6780,6412,6066,10733,6125,13938,14255,11146,3838,11992,2423,21327,6013,13942,7738,3721,6593
"RABL2A",1003,617,362,236,899,450,425,238,716,507,376,1085,544,1054,420,369,630,585,623,559,884,630,666,261,498,449,407,604,1004,338,331,679,222,303,1033,328,349,462,283,666
"AL096701.4",29,48,19,19,41,21,5,15,14,24,43,41,23,45,13,20,29,19,23,25,24,40,56,31,18,26,32,42,64,62,40,24,42,22,39,49,43,21,16,36
"JMJD7",28,17,6,4,18,2,3,6,12,2,0,26,6,23,5,4,9,7,15,15,22,11,11,2,15,0,3,8,39,8,45,3,7,1,19,4,6,8,2,4
"AL359762.1",19,13,24,9,18,44,22,23,26,20,35,34,26,19,10,25,26,11,22,32,87,24,26,108,50,12,46,15,53,31,11,11,17,18,8,43,29,16,14,101
"CNIH2",45,33,10,24,43,38,30,9,33,26,13,26,23,38,45,18,14,48,31,86,70,90,41,137,112,750,285,100,54,132,25,106,221,29,476,122,49,22,53,381
"ACAD9",1715,1867,1241,1863,2930,2416,1525,3483,1945,2291,2433,2651,2594,2852,2356,1968,2789,1876,2539,2029,3523,5411,2695,1903,1875,3097,3538,1686,3804,1965,1557,1632,4356,1088,5568,2856,3831,2693,1347,1717
"AC021491.4",8,14,10,3,9,5,6,8,6,6,20,18,11,16,7,4,11,0,12,5,29,15,18,396,30,43,29,44,21,0,14,21,38,29,60,12,30,14,4,106
"FGFRL1",1465,1420,1347,3527,2314,1495,1416,2939,1528,1608,1475,2107,2421,1631,2733,846,1535,1595,1516,1706,2943,1902,1277,708,1712,2852,1591,1662,1645,1449,749,1802,914,900,3488,3250,1466,1872,1827,3372
"AL158206.1",685,818,799,369,710,537,378,757,446,432,633,1179,701,622,534,290,676,392,1110,378,1056,268,345,1112,865,140,497,487,1635,63,649,838,669,703,506,312,1066,896,2364,941
"CPB2-AS1",82,36,14,22,63,14,21,16,49,10,77,109,29,83,17,54,78,21,49,22,8,13,11,361,66,127,4,8,24,7,59,12,6,8,5,46,24,177,7,8
"LINC01115",16,66,27,25,25,1,6,2,3,4,1,162,8,5,0,0,20,166,0,16,50,0,0,1,174,19,0,0,420,1,4,2,0,44,0,28,8,6,0,0
"AC018665.1",107,110,54,54,251,62,29,65,151,65,79,283,120,244,99,43,105,98,137,145,201,214,266,71,169,99,56,84,264,124,122,66,52,86,153,59,172,152,80,81
"AAK1",4291,2705,2026,2200,3651,1869,1896,2737,2983,2530,1689,6216,2894,3558,3041,1247,2403,3340,5235,2279,5376,3332,3822,2605,3704,2926,2007,3230,7533,6197,6538,2204,6474,1407,4965,3517,4289,1755,1719,3924
"DYRK1A",11096,5466,3064,3087,7775,6071,3672,3935,6477,5061,3090,11023,4774,11523,3622,5081,7190,5735,7511,4705,12216,4991,4881,3428,6432,6039,4197,6538,13671,4746,13431,3451,7646,3794,8641,4252,8001,5332,3204,9687
"CACNA1E",21,3,9,20,15,1,14,1,9,20,0,29,4,19,3,2,1,9,11,7,19,22,9,31,70,10,5,1,47,11,31,9,27,18,44,20,36,12,7,27
"MPP6",2277,738,306,703,1188,475,585,1385,1207,720,236,1433,771,1326,619,732,776,756,1218,720,373,140,86,185,572,1194,353,81,1073,545,1431,212,383,255,405,1152,572,450,137,414
"AC022893.2",18,3,3,6,34,2,25,1,6,25,3,30,36,6,26,3,0,10,14,4,6,0,0,6,4,695,0,0,9,0,2,5,6,3,3,8,3,1,0,6
"TBX1",147,67,255,331,291,1250,336,31,165,349,167,748,142,258,351,56,38,151,312,201,67,40,628,61,289,68,109,88,76,469,134,567,54,516,168,857,226,117,272,69
"IGKV2D-40",49,5,386,3,30,45,45,0,115,22,32,82,24,27,34,119,167,66,37,47,30,50,0,6,329,81,2,0,31,69,0,36,16,47,0,0,16,1,41,11
"LINC01550",176,79,78,72,98,93,74,131,157,47,139,193,101,168,65,65,175,78,187,83,23,31,38,192,141,9,7,15,178,35,12,64,286,21,18,12,29,19,41,25
"LINC02102",18,9,6,9,12,3,3,10,23,6,3,20,10,17,4,3,6,17,25,19,16,4,5,9,5,4,6,1,15,19,19,13,5,3,34,12,8,3,10,5
"USF3",5593,2109,1342,1746,3885,1695,1522,3323,3699,1726,1402,6405,2265,4751,2869,1711,2723,3333,4284,2542,5101,3848,3123,1555,3619,1198,1584,3681,8082,6568,7951,1833,5615,1288,5389,1589,5253,2365,1694,3129
"UBXN2A",3286,1688,1450,1300,2858,1535,1884,1814,2357,1759,1000,3153,1691,2568,1463,1238,1854,1885,2548,1834,2436,1331,1023,897,1582,3197,848,1718,2891,4805,1526,905,4869,609,1621,2910,1603,1181,911,2298
"FBXO17",460,593,408,599,759,648,641,928,679,686,530,877,807,390,692,338,596,502,661,454,230,125,503,123,728,426,682,51,609,124,63,214,806,252,215,1013,144,490,159,192
"POMZP3",362,502,211,368,627,466,324,348,168,306,61,666,376,306,593,177,216,202,549,213,1107,368,277,296,412,140,213,314,304,324,36,216,107,512,360,99,141,160,140,351
"LRRC58",8732,3051,2636,2444,5628,3752,2724,3312,5306,3115,1857,7730,2989,7887,3786,3072,4163,3860,6078,3416,10385,7018,4789,3069,6127,3080,3595,5644,11886,6673,10443,3159,17674,2633,8250,3449,10526,4048,2661,7396
"AL009179.1",513,451,61,62,418,120,95,11,528,66,220,533,126,623,70,201,282,250,187,207,31,12,377,81,80,253,100,4,55,144,206,154,2,105,1,420,18,11,15,5
"SLTM",7125,5027,3578,3335,7559,5587,4002,4906,6018,5919,4044,11938,5430,11333,5131,4149,6441,5404,7349,4885,12776,6812,9690,6193,7076,5931,6427,8540,13510,8505,7132,3671,6349,3688,11317,5942,11344,12918,5813,6418
"SYNJ2BP",5157,2347,2547,2444,4265,2408,2355,4022,3464,2718,1783,6381,3071,4847,3131,1848,2746,3123,5214,2409,8436,4190,2410,5519,3458,2273,1086,3200,7058,1645,9403,2306,2710,2065,4799,1584,6384,2898,2261,8357
"COX7C",10004,10099,5828,5405,9806,9685,6705,6118,8839,10505,12260,8655,6471,10854,6732,7930,10622,6304,10694,5599,19094,14090,14952,11732,14401,23233,11259,7328,15406,4112,6184,11428,6503,11451,21582,8192,19509,6428,9374,12093
