"","condition"
"sample2","A"
"sample27","A"
"sample79","A"
"sample76","A"
"sample31","A"
"sample34","A"
"sample39","A"
"sample44","A"
"sample43","A"
"sample69","A"
"sample36","A"
"sample74","A"
"sample1","A"
"sample50","A"
"sample108","A"
"sample58","A"
"sample80","A"
"sample85","A"
"sample3","A"
"sample35","A"
"sample112","B"
"sample137","B"
"sample189","B"
"sample186","B"
"sample141","B"
"sample144","B"
"sample149","B"
"sample154","B"
"sample153","B"
"sample179","B"
"sample146","B"
"sample184","B"
"sample111","B"
"sample160","B"
"sample218","B"
"sample168","B"
"sample190","B"
"sample195","B"
"sample113","B"
"sample145","B"
