"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",317,163,724,103,121,166,715,779,214,141,181,254,577,150,295,267,260,126,348,191,2088,297,350,334,1106,182,474,440,59,236,526,818,145,544,192,391,444,120,386,171
"g2",2355,2107,5031,2848,1148,2869,1572,3203,4014,2114,1083,1341,2236,3387,2080,2429,3162,1739,848,1653,3300,1046,3167,709,5334,1520,2492,1889,2927,7078,6674,574,1292,2832,3963,1322,1234,793,1488,1838
"g3",2843647,2430357,1923971,3553110,1113774,2148516,978196,1198909,1703962,1657059,2626750,914996,1913928,1078808,2425446,2511898,1406603,668653,1615640,4056632,3956578,1246994,3387165,1127199,3950516,1133631,3185164,9598267,2534063,4205300,6093578,2617710,1120012,4254050,3264165,2453690,3141704,1431051,27017665,2523615
"g4",2302,4575,4852,2317,3523,2855,4400,7110,2316,3994,4022,2669,738,3010,2000,3830,2624,2998,3554,3516,2041,3677,2595,4101,9310,1947,6004,3322,2540,1748,5246,596,2516,6923,7577,5093,3192,3532,7423,2824
"g5",11518,12617,3984,33524,17640,9474,18819,18,444,9540,128093,3058,25031,8147,18860,780,16450,7,2628,4837,5945,207,7114,523,15482,313,23434,52437,512,5934,0,1946,33863,73211,27718,3400,27600,85293,9825,48261
"g6",854,634,839,149,93,1067,1221,618,1605,78,611,202,863,648,237,232,438,883,471,483,210,535,94,970,2460,44,618,126,288,884,248,254,2077,4910,1347,1722,784,464,6750,21
"g7",20422,32232,26942,72536,27992,99367,48857,15839,27772,37220,26904,98147,12440,15581,23850,46325,25820,13640,8926,22701,88248,7601,10986,36023,1984,37744,22857,45935,18157,9926,35322,69995,2456,13354,17602,60503,25471,11867,68795,8791
"g8",55598,39717,86779,64426,55130,57594,46630,113520,75451,34603,67920,49099,80578,60932,52209,59245,22584,41011,60575,92417,92526,47200,55817,52193,119540,72295,82896,57488,40932,46342,110388,38399,63207,179385,26485,58100,84662,43790,129020,36474
"g9",117655,205427,85899,261632,77840,47802,79478,10607,115569,11593,103681,43860,123110,25247,149895,309409,31730,62401,190050,59080,92370,54092,87536,135856,147048,75015,147746,61620,67515,162674,131820,169661,63092,130109,198215,31050,203508,21663,296813,53448
"g10",76,1313,1407,13,1206,64872,0,2203,117,10631,4704,110,821,33240,180,992,1,1123,1332,1013,22293,2004,142,5032,128696,419,74760,6326,64,10595,5752,1967,44103,11910,8127,22248,966,843,1292,7334
"g11",52,0,3183,437,2645,624,56,78,2062,450,45,369,20,0,0,4,1232,637,11,0,3,890,22,2,284,10,774,24,688,32,0,133,1262,0,500,239,623,156,77,163
"g12",839,402,224,465,960,143,251,263,223,314,804,546,544,260,55,265,235,445,6,140,813,23,893,408,34,1122,1086,528,350,335,2142,586,594,1703,137,531,1194,215,13,17
"g13",364,962,1,1,0,83,2,1,67,22,78,209,407,70,1880,441,1,6,88,1,265,69,30,84,312,85,3,448,0,0,0,1192,88,9,54,0,32,0,0,0
"g14",349,74,519,43,501,477,336,234,474,109,540,71,1106,1484,398,684,292,306,394,492,6069,739,695,2012,336,3291,3376,1378,234,1497,1832,909,2240,5815,1208,1685,606,102,429,3086
"g15",3631,6635,24084,3913,7938,8493,31670,22583,21471,1922,3251,3174,13102,10220,17185,9804,5963,4162,9712,8724,4573,1887,12239,11011,34976,1022,11222,18102,7519,17248,24230,6577,4002,13907,2519,42048,17435,7964,8658,4835
"g16",137658,107220,139062,122877,109697,106740,128142,110881,165560,133146,64288,56114,110591,136038,76323,149301,99905,33041,76501,172527,91668,97202,119502,45418,179906,71181,110683,112569,119471,114677,351450,75330,99973,188912,53105,139866,52570,53272,91946,62338
"g17",89606,101273,71040,95071,192973,132830,110917,121964,59413,149858,162406,67443,88121,119912,35988,108819,47631,56073,97116,150775,329585,168477,103391,75589,152183,104303,210990,114946,126740,227062,388828,105262,246151,507236,110989,75689,87511,78194,439911,95009
"g18",9560,5441,29113,11347,19627,11472,16040,9629,4489,7849,19220,2486,9267,3167,12148,15582,5861,14523,6635,29523,26610,3759,10693,16165,15302,2892,13282,7182,10913,21252,15020,18781,11065,11894,34971,111041,6386,24009,48225,20426
"g19",263737,254253,115084,120469,81905,195502,155689,115455,119858,113692,114931,131376,174837,371066,182840,131631,178036,230927,262609,196460,436782,133069,217289,87719,244959,197091,178851,264588,281450,131076,267228,144316,319745,155783,57768,131923,178709,183441,558680,186256
"g20",118724,98535,146707,81727,76185,113718,203013,81055,71205,76054,107169,120785,172056,87667,160542,105821,70644,86202,90376,145948,466788,68007,152096,145022,524544,112782,201870,303503,224574,284178,264938,160902,138507,419406,161073,122580,167296,140529,221910,204227
"g21",51019,78,19193,35783,35485,49947,22706,34916,2424,13609,43863,11299,25025,12210,36146,141761,604,55193,34847,41681,174202,21288,92446,66600,168816,17433,591392,73833,5252,36523,56198,59,152964,363443,14582,18622,35726,60270,157938,123480
"g22",293372,164444,305340,338199,187290,210898,186165,292868,324932,175527,137150,169688,243188,126198,269438,122700,129385,122007,181307,688852,267026,147442,128613,199302,263630,125037,172945,594852,113812,129985,213295,118731,128551,154323,215074,78433,256161,112042,676605,77513
"g23",46730,24889,55702,61266,18234,13404,50753,43778,41770,29817,43050,25776,32249,38052,47557,29075,28791,32007,38696,65911,46845,16147,18044,29555,45351,37652,63021,143034,43185,18527,87754,47963,168207,64200,52189,68042,46710,55863,37648,48049
"g24",1267,361,880,2214,1562,572,1057,186,2167,1481,1212,1628,1021,2797,2390,1313,493,2506,1463,2055,2661,862,2955,717,3115,1035,506,3676,1671,5244,8696,2188,1089,7093,847,391,1120,1879,2076,919
"g25",507,387,965,565,260,275,529,286,539,136,511,452,424,778,531,745,390,476,440,393,695,70,524,309,1070,164,312,650,56,420,958,1083,60,716,582,451,228,290,576,275
"g26",34048,17726,53855,31158,25565,27205,40892,39600,18550,25690,23216,17347,30422,40174,40152,21286,16791,21216,23998,27832,61885,12398,29552,12556,57521,16779,39946,49746,14740,36080,62986,15130,17881,42575,23135,25810,21180,20173,61746,30666
"g27",88737,67270,77738,65514,66270,111174,44609,86773,60720,74946,89944,40630,54995,47535,64790,87172,27713,31477,47180,38579,178970,21490,79553,89357,116538,55647,88243,211523,131552,54248,291200,63885,109617,272282,123237,79483,99343,32779,389428,58249
"g28",45410,9566,67819,11802,23785,12158,39571,31608,78630,29502,37396,28812,76964,41730,30311,33900,45937,14998,36490,24552,83052,40105,22454,35101,29322,39228,21470,92740,65436,15182,28936,45460,41633,53551,15637,27400,61872,22527,59314,61289
"g29",3800,2401,241,9658,2104,881,8010,5132,2224,1497,13553,3569,4169,1488,5821,9202,1127,3104,2902,1866,7006,1656,12896,2290,17158,14258,44810,4077,10479,12417,75924,9915,9939,59824,631,10803,4454,3317,12594,9277
"g30",93718,58432,72914,79789,79559,72861,182102,84213,71991,99336,112042,60753,99847,157787,116758,76644,42651,130699,69500,75692,179700,47798,91031,80467,307468,67230,116224,389412,60537,286008,369980,88965,53160,126285,104874,61808,72696,57726,72157,65717
"g31",9619,7330,13679,7875,3753,6696,17182,13246,11291,2638,6828,3947,20508,9693,6206,8775,9328,3763,3721,5276,37572,2613,2950,14842,4213,8172,16845,12125,2566,9834,5270,12443,3346,7851,3427,5288,5517,4813,39742,5016
"g32",23667,145071,62716,92131,53144,71663,108669,63597,20036,136025,105019,84952,221202,15839,40123,107356,190134,95702,56172,170721,620805,23988,51480,26836,45954,3580,14720,97670,224898,102363,201848,110147,39675,298478,43575,77731,43890,32150,9964,40112
"g33",71328,118362,310476,151884,115736,105096,116668,168045,430937,91043,43709,44453,119838,54130,74998,52325,110312,131660,328887,107893,59729,188180,81647,112585,610166,99971,339048,12198,162200,275136,217992,249830,179100,296723,302926,99840,109806,28012,267908,296466
"g34",8774,17462,23686,17294,12088,9039,25837,32380,5746,14475,456,9075,2718,20105,8650,24788,18072,2050,54803,12491,25566,15885,19856,13408,12528,65364,30210,8214,38168,93273,174108,3495,10400,13559,46489,14838,22063,28553,44800,10786
"g35",1467,746,1110,1375,648,1879,2586,2975,2044,1543,1363,956,1046,962,953,2663,1427,1852,905,3339,2277,1018,1083,1204,882,1111,1821,2616,774,1532,2852,1649,687,2838,1160,1319,931,292,960,666
"g36",119941,6,223654,1806,2164,203508,130701,184472,18808,10426,15908,33938,48039,12095,27094,113332,26114,13368,415646,33616,79520,1387,182267,8,767,52990,8978,336194,16037,531,81262,156356,93165,28416,29331,44649,18257,35462,9736,62530
"g37",468,0,29,22,131,24,1421,7140,26480,0,185,0,161,1552,3126,1,49,1572,0,611,314,7724,25767,6285,8404,2978,239,545,6,36974,18626,6084,0,478,40039,168,1158,2935,2286,30493
