"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",147,384,263,145,528,344,250,199,22,106,231,68,500,782,292,114,185,731,450,216,501,477,536,133,893,92,988,527,147,986,284,877,217,644,338,765,264,401,1204,106
"g2",3006,1386,2629,947,3073,2434,3401,4957,3519,1256,3108,1571,3892,2610,1498,889,1285,2495,2444,939,8301,9329,13479,2572,8155,6270,6804,7847,4691,3460,26142,3954,2300,3038,4816,5433,9988,3475,7460,1860
"g3",1981950,522990,1301676,560785,3124229,1753799,1853825,1284474,1165841,1550433,678643,1165491,5419379,656380,2041915,6713879,1097887,2106826,1954396,941126,1935532,2253137,1499756,795963,1596966,603837,1706702,1681813,526562,3227708,2094940,2105955,2013568,1047890,998186,2703835,683106,2005557,4427098,857317
"g4",1574,3530,1423,3862,6130,2828,3147,940,1887,6047,2927,6271,4488,4023,435,7880,4603,4204,4430,2853,3311,1627,4100,949,7366,2398,9714,1509,8583,5586,3044,4979,13897,4155,5856,2980,6970,7869,8505,4770
"g5",46,178,964,48949,3596,6601,12760,10168,30423,2952,19,4,151,2763,17834,73,40072,95,87,2544,15641,20,4513,19,6958,29896,2150,56662,3180,4,6318,86798,6341,86,3553,4488,56504,1185,0,10778
"g6",526,1684,50,267,190,803,180,1271,769,162,1075,702,332,113,273,1127,78,1170,266,713,1532,1278,1915,1292,2400,679,1204,8677,1392,1520,268,2610,1222,74,1045,920,2202,1616,740,541
"g7",17545,71919,16271,27880,52068,39362,9896,43575,4383,61465,22361,21001,24311,71871,45407,42434,14415,24797,14830,6477,43845,3724,35312,33359,30023,17346,40153,53904,9777,17451,84048,50132,8464,50586,56178,18098,12995,6335,20655,5501
"g8",52057,50513,56152,62743,48170,51634,52960,92064,30591,55097,51841,80115,57143,39708,49199,77865,44540,59949,61581,54931,120411,48935,88508,40808,89362,78050,80890,60776,26252,98696,78906,56762,64372,131100,50568,31217,166324,41594,78152,50373
"g9",68487,91486,61509,269707,121334,100567,220501,156706,12342,37684,233743,39453,331706,111775,114603,102343,110827,50143,58559,112878,222528,87748,183194,14689,330402,273377,409564,448835,126641,331026,362360,51505,74422,116243,52513,30995,640578,118830,186225,188336
"g10",3,19300,1881,632,26015,626,38575,724,20372,156,7018,43,37,14337,7,844,17699,1268,1996,1064,114756,668,86,409,7352,1277,666,26,3446,107,2292,787,952,0,127,13742,8745,3851,99,6113
"g11",418,153,2,231,165,366,1,2909,32,4,24,515,1,56,31,112,287,0,115,672,1896,1467,1095,277,444,0,4,4,800,11,390,161,119,0,10,212,902,5,3059,0
"g12",331,148,3,11,190,167,428,414,294,13,198,28,306,163,207,89,324,1763,143,11,1791,56,521,0,918,1161,2126,2508,1240,122,2040,270,1561,5023,85,203,405,325,1110,364
"g13",0,12,110,1,475,16,182,796,464,27,19,0,0,78,98,920,21,4,7,22,664,87,1,299,538,3,366,1010,558,3,664,0,14,29,21,60,0,897,395,17
"g14",343,663,60,234,362,317,529,1640,22,380,322,958,440,993,450,36,29,147,168,108,303,33,462,30,564,113,306,788,1870,1680,192,93,733,845,421,942,537,562,37,83
