"","condition"
"sample84","A"
"sample23","A"
"sample6","A"
"sample85","A"
"sample49","A"
"sample10","A"
"sample81","A"
"sample103","A"
"sample11","A"
"sample4","A"
"sample71","A"
"sample67","A"
"sample48","A"
"sample35","A"
"sample87","A"
"sample104","A"
"sample47","A"
"sample88","A"
"sample44","A"
"sample25","A"
"sample194","B"
"sample133","B"
"sample116","B"
"sample195","B"
"sample159","B"
"sample120","B"
"sample191","B"
"sample213","B"
"sample121","B"
"sample114","B"
"sample181","B"
"sample177","B"
"sample158","B"
"sample145","B"
"sample197","B"
"sample214","B"
"sample157","B"
"sample198","B"
"sample154","B"
"sample135","B"
