"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",821083,348741,516477,387849,276188,357899,1321477,317468,329889,373468,574831,251139,196299,905629,257511,458162,289265,888980,371617,1130821,1039255,313998,2045799,585533,430299,1108428,818558,2069835,2849746,531773,145470,944492,696746,942341,524604,1515453,1244220,1211075,1831506,2217897
"g2",5092,10012,35633,25360,38732,10361,143139,9474,49728,43363,4063,90185,6584,55212,26365,29727,26826,70510,24030,33896,19022,13157,99936,12270,78540,33800,49408,81180,109605,8504,11409,82655,21824,4271,16444,10736,74990,96648,85987,1714
"g3",29908,20033,73560,62390,11945,54414,37752,35173,106763,12003,60048,31121,56080,67323,18072,47690,29227,26138,81752,31280,45149,38066,95718,57580,43283,37417,55245,154026,88541,97994,37812,69904,72529,82386,74026,68292,41623,78115,177075,47301
"g4",26087,20676,49831,41441,28628,62993,30108,22658,32164,42712,21447,14099,26073,24201,30101,12422,38208,27919,13058,26669,44396,64198,44333,53171,13372,23512,37249,86704,35251,31200,51523,33869,36219,34236,31098,40300,60688,59326,54913,93594
"g5",39159,30216,24672,40761,83946,38332,51754,41146,68416,45412,68709,19461,20662,106745,43961,81423,65043,138823,11903,79270,159722,144136,240069,199785,78656,99386,243510,139357,88535,102769,86459,77285,190386,109567,58064,153473,141489,142859,143348,91321
"g6",87695,51156,128401,110195,154157,56876,44724,63575,132179,41908,55054,57121,75055,57365,47992,93163,86457,125398,40470,62635,493816,292624,404204,180331,244522,88317,107102,164128,99454,56956,133991,217186,235515,251824,113268,155543,142095,94484,218969,337775
"g7",20067,31047,28005,41135,27193,25228,13876,11406,28484,20812,27638,34131,19009,11801,18317,49894,16944,30829,10873,24179,98244,14684,34443,46135,19726,23594,25583,79334,21351,46021,67396,31482,72109,53985,29093,53252,30334,25479,44676,64222
"g8",7798,15087,27486,49701,13189,16861,50874,1702,71499,5976,11576,40574,10895,6716,31801,12665,75402,5981,20352,62398,11541,3161,2445,20962,895,15759,27896,218363,100044,21990,15047,43109,10720,52838,65965,74449,12698,27546,66005,112241
"g9",20765,4378,119371,108049,61715,25817,38077,10516,46396,32648,80410,20061,87045,50420,30959,25383,91491,124630,27894,34821,48303,46008,49361,222109,78442,58619,22832,348961,134459,150407,89299,30683,68246,62305,11349,106700,303181,132056,36252,65448
"g10",27310,7630,10442,35343,14690,7945,28005,28360,14091,11177,28545,54065,56147,62910,14165,25656,114712,44275,5895,44504,36822,66390,69526,13044,5030,45690,36437,51741,47004,50502,43155,41104,66930,25510,41072,92276,28601,62893,109022,97582
"g11",39197,34498,42134,16228,9420,26410,27314,9343,30454,24791,116039,29107,56117,83093,127078,133019,23783,59973,5623,40053,302989,136824,89929,189705,46674,201718,374008,60317,106979,13868,44976,89087,509302,529736,319792,9987,59201,384562,565912,96228
"g12",10133,5171,17600,16648,13249,15014,19678,12133,19102,16984,24473,7451,7716,35529,12559,18219,6001,31427,15061,4326,27409,9715,23902,57006,15211,13089,30729,28547,55500,11213,8402,15589,84805,74277,8219,7665,12927,45786,26247,28251
"g13",8903,6144,11009,4555,19409,17136,8861,5655,10540,2312,16821,15871,19611,12483,2133,18140,3092,24822,16877,6810,26773,111203,47298,142229,130291,81580,111885,325446,49823,23302,70367,33188,39286,9894,35707,216568,60510,82814,43763,261289
"g14",8970,43253,39062,22220,2113,195,27091,63628,50871,58692,571,77743,5475,72010,5545,19719,2564,94518,1756,23653,47458,155685,79548,1332,24123,5825,8721,10212,97043,4520,23442,8312,78542,53848,16088,7782,91288,15622,27438,47856
"g15",6055,14572,21311,5112,35824,2557,8139,922,93226,31161,27455,2962,3328,3619,19714,25806,12177,16539,5082,12719,54079,21339,4928,11990,33405,7776,12228,18733,43603,11939,39189,25651,12130,26490,47127,14878,76324,39854,17405,20439
"g16",28824,14935,33831,20259,39950,37020,39463,29847,21176,18478,34018,34933,13877,45456,15373,24349,40736,18853,28897,47043,40518,39824,83392,36632,49635,29791,81682,44864,67488,24673,78444,33815,61988,66251,40952,22420,44633,33573,64409,86082
"g17",2003,21834,259,819,8179,10548,28495,64991,5397,9358,4484,1406,40275,9979,21164,14411,267,2726,16701,29210,140052,0,12895,32142,90,16537,21904,105433,183141,56213,274,22751,852,3159,1747,536613,54107,249,84346,114564
"g18",71310,42063,73005,31862,36060,16734,12071,18107,53010,47096,15987,30424,48464,41421,21973,40663,4627,36477,37935,111172,69860,39881,36071,25870,8962,38830,34580,10952,15533,59738,61674,14941,68272,103783,14059,15185,118809,72172,40081,60780
"g19",31112,33016,11751,9189,18904,19741,17053,23816,18014,16540,67013,8191,2010,22509,39762,87395,6384,8327,27989,5176,12761,5631,19154,5664,25600,4028,8936,6397,42807,3826,18312,20124,22410,21070,3039,7122,12660,28561,107334,16541
"g20",24105,36391,77726,39884,23662,40019,30097,54583,65855,39991,25163,27066,29292,49795,39571,66243,71599,71155,37221,28373,136888,53866,114954,101763,31078,50601,87325,102749,46445,89581,32969,18723,143125,168747,93440,106317,77339,220745,115871,101425
"g21",22753,19236,25932,31199,41426,28177,26244,15760,31605,24287,53741,60787,9538,29422,46554,33950,32443,32448,43410,54479,95273,65539,59960,90469,33664,66633,44537,74290,71066,52662,109143,67396,96667,100937,35231,83347,126459,46510,39374,61349
"g22",43856,18866,69597,41577,41217,34746,74174,21067,48073,55820,32519,34384,19954,38371,49258,26560,28268,69353,28735,47667,74882,98854,83797,133484,99780,80730,108992,109895,97221,39415,54501,133168,91125,79632,72158,89511,80105,112536,142596,159109
"g23",49842,24041,14970,13444,21570,22641,15760,5785,40277,15078,38306,34093,8060,18686,16558,35156,45032,12040,8474,17566,60641,16943,10957,7266,71506,40188,28094,80973,101136,52668,16152,13749,58339,51099,28523,74703,19175,47824,47930,59480
"g24",13150,11936,51964,9602,8604,10338,39406,11031,6875,18867,4980,27535,18483,10365,13934,12846,12069,19223,9826,23542,18178,65460,7296,22434,19910,46897,34281,25086,32730,39100,24986,51508,58866,18941,15660,16697,56926,91881,54145,5946
"g25",23651,20371,39596,24603,27741,20475,28234,43457,28552,22027,31433,23287,34415,63990,58424,59337,38039,40865,24485,37394,247178,72166,87826,154716,106759,50351,98345,114865,50964,45160,234697,132063,188656,143943,61204,98074,71883,201140,286225,157783
"g26",17283,22527,70917,33929,33593,69513,63486,16497,42093,27031,49643,28430,22232,30693,24418,41541,38950,35327,36082,92711,69410,50555,87758,93627,23859,51131,31636,80973,52314,50000,86048,24709,67916,33842,49654,44368,82146,68054,40547,47240
