"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",1278,5148,929,1427,521,5816,682,1430,2831,603,2108,3122,9053,1698,1672,14098,3228,1208,15709,2412
"g2",993084,3482318,3523292,2278705,1093373,1185479,524228,352919,3244623,397635,868312,3905049,1918733,2053701,3166038,1428277,667517,2488522,6069171,1817548
"g3",757,6746,2441,4024,2032,2885,1096,2240,3445,1603,2962,21083,9836,4638,12413,6326,5774,3864,2200,3301
"g4",16800,1174,86711,12734,703,20508,1118,15877,11097,136,97,675,1270,52,11723,72955,15012,22448,14457,52794
"g5",363,71,280,241,306,214,252,165,305,206,2710,3278,5746,186,527,23,349,774,858,432
"g6",5076,19703,9903,27773,10998,60357,12871,4517,10972,75872,113952,114050,16486,52936,71831,115539,77739,47448,152660,63162
"g7",34541,34946,75848,34663,34071,52615,15681,28843,49075,32242,75026,122018,53038,69151,96468,37971,39284,72500,84822,54280
"g8",46223,119119,407089,120112,18004,74556,9517,82246,51873,106277,119471,20717,134411,158177,270272,109861,37129,291885,70977,151141
"g9",786,1941,2629,7510,18,362,204,3174,1754,1960,722,1896,481,10,244,10310,0,3433,50,4626
"g10",502,73,154,223,142,635,148,232,617,109,149,1020,1515,431,616,698,548,356,853,2136
"g11",12502,901,5764,24715,366,9565,3686,8666,4988,2962,2151,15239,12396,4989,5003,1737,54436,1785,4647,21927
"g12",48226,131686,74501,90449,60412,133760,71876,53103,65336,146456,364068,131019,275325,306968,265959,289248,185615,174367,219730,162688
"g13",112219,58434,95084,55814,29578,55143,61658,33820,48350,31612,127255,207457,85461,89826,149605,33669,36306,137241,108403,98306
"g14",11915,13194,28411,4974,5082,14437,2287,1119,14521,1494,12144,42139,31458,17781,11001,10873,13040,10019,10889,10557
"g15",148858,235838,158629,191418,125770,141210,79185,109735,89101,88807,149835,620535,460467,222300,180717,153560,158586,221356,475153,230495
"g16",100073,70826,99237,74553,122756,100072,42004,43684,81191,42058,173860,249493,153507,122246,274409,201275,98975,130697,272486,111692
"g17",3519,127535,38951,36110,13704,69221,23870,16191,8768,36413,19248,58080,19104,5022,29795,64049,77472,66382,31886,81919
"g18",187204,176289,177637,628540,97179,324334,201095,46991,335144,131588,302925,193143,239374,468213,264517,116598,225427,271886,440487,254817
"g19",9821,38239,36402,22257,30199,27791,8048,20556,24200,11382,11213,73066,66904,49897,84720,81491,26842,45805,139477,41299
"g20",535,1189,1399,456,324,933,475,959,1279,1520,2237,501,6374,2338,2903,944,441,687,4104,1377
"g21",23381,26144,41796,17164,19104,28348,24630,24580,25581,25099,37264,40699,43001,31519,45130,38278,22690,14549,76018,30112
"g22",29880,63725,67224,70127,62274,61855,29255,19685,41511,74086,106539,113270,53243,46139,136673,113010,72469,70874,45123,41406
"g23",6872,43199,89090,19788,33564,31307,46109,25469,29238,3308,53388,58406,77546,70795,83219,107205,18644,90254,107234,39871
"g24",4483,7606,6916,4783,754,1927,2850,713,2878,1178,13653,13453,18852,36698,2384,10746,2908,603,13776,4351
"g25",94062,119409,72949,104935,86589,128196,78207,49542,56316,35045,105566,105088,87231,58318,90634,75137,48243,53294,139160,53519
"g26",10032,2769,4125,6015,8156,14176,1154,794,741,2607,7101,15023,28060,47964,36183,7939,2081,33880,9487,11458
"g27",31978,94390,11818,14537,71204,26149,9575,35608,99901,6199,43158,818069,243216,62556,68667,77826,418069,283510,1046909,262968
"g28",14890,27635,94034,327188,46484,213185,25797,30247,84598,68737,94204,128182,332866,256258,233585,145547,58008,116707,514710,97818
"g29",29808,81672,31359,13692,437,14490,5385,9497,7969,1640,1701,14318,4084,3823,22589,8154,16869,21485,31190,13482
"g30",1190,2281,1842,679,275,505,1162,556,1800,479,1678,4911,2554,1899,4523,1799,650,1627,1458,802
"g31",7743,616,76,23104,32437,10819,1873,33034,6741,13175,4466,124334,42802,10799,7275,20441,2107,925,140702,43417
"g32",5555,5455,65,4129,245,1651,10860,0,501,51,2488,8274,1530,138,8628,18070,48890,8,761,9055
"g33",2213,1480,752,935,533,616,441,556,1596,477,4158,2148,1048,1383,3012,1449,1604,2103,1600,788
"g34",41085,127936,99765,133355,39215,142921,29858,38370,83516,88717,58327,241036,172258,211316,99151,160809,92661,160764,274416,86924
"g35",60366,169323,33325,98835,82764,117329,51333,51514,115486,20291,64048,214192,110991,262092,225662,22963,61280,208432,140865,46067
"g36",13136,3626,2306,8626,1044,5529,5339,1786,3526,3205,14748,4268,7887,10759,20631,7901,7051,11973,6968,1093
"g37",61202,25825,41957,64601,22377,154233,11891,23070,22538,75766,55888,63362,33142,90443,136971,58383,125724,97440,78291,68219
"g38",64933,140629,22768,38795,11825,56255,27993,5404,7903,8562,78989,146874,70120,36178,398454,158567,35206,38362,388459,80301
"g39",55930,33571,42507,12303,24535,38753,13140,5653,21353,39717,35116,82939,27411,53065,54273,47379,16552,25151,109876,40481
"g40",131941,19921,9416,39650,4104,82522,51058,33880,9543,24766,21276,208023,1128764,117676,327967,43351,132454,6888,230218,55740
"g41",17275,45284,23313,4889,4390,240923,86866,28367,4905,3119,71040,39152,7740,86522,12486,29776,39936,67147,45681,63522
"g42",5753,17078,14331,11657,23860,13205,6445,7087,11670,9693,49682,6283,19352,29684,5805,38788,18483,17622,22895,13909
"g43",15168,36745,44133,65148,17917,39706,19526,11090,27385,52262,47704,42780,38191,22556,52277,37678,33731,62362,122087,62429
"g44",7,1585,42,602,915,191,412,776,0,96,200,294,3507,252,32,43,1452,76,858,710
"g45",3182,1471,7277,6446,1424,2586,1333,651,5835,761,1950,2041,2813,3906,4214,1106,1239,3214,5839,1360
"g46",2211,546,5626,10420,239,5462,581,3009,22829,3274,9,15379,4624,12908,18399,8699,7274,629,12628,13910
"g47",207,398,1227,97,377,306,252,259,1246,474,2197,4985,1024,577,623,1584,1955,829,1801,1535
"g48",37483,38626,49434,49768,13609,68494,25032,14248,52722,26133,52225,134100,98400,57775,85405,54946,41037,144835,136036,26009
"g49",36091,23156,72911,44080,61466,44071,20307,10871,27516,24149,66568,90607,73892,41767,61503,63565,47236,23976,99862,32976
"g50",10935,4101,7481,6732,10721,7999,8099,8685,16587,7800,41827,33736,40581,10051,24590,22838,11115,18694,68900,17786
