"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",1476,772,1056,775,1267,900,166,829,717,990,675,283,704,433,761,379,562,1027,450,563,1207,335,1463,1270,1394,381,716,2192,1182,1185,3320,1212,1839,1032,1456,517,1924,2309,1628,1480
"g2",467055,425958,678816,249611,655504,864532,545342,464394,946839,266998,691245,353456,1083685,385911,1029842,380938,1012898,417144,532702,264544,1585626,2650253,481405,408162,1810626,1992509,1030936,499534,700303,257185,2283184,329305,1562345,352537,226313,536314,1117010,2704470,1091473,1337898
"g3",681,856,316,970,1169,1299,2509,548,1072,1264,313,799,639,764,491,1092,1163,1732,975,901,3443,1817,866,3177,2727,4285,4770,2115,1949,591,7985,2615,1246,3920,3142,2109,1083,2908,1835,372
"g4",83,0,932,1827,8,24836,3643,6,5957,1460,3212,69,7,532,601,1686,152,3560,501,3482,627,19558,722,3639,10151,453,1303,4663,467,16438,2861,260,27,17876,118,515,116,5438,8488,44007
"g5",47,34,348,56,191,0,294,78,83,197,283,91,81,90,65,280,329,253,271,389,260,571,0,1187,443,308,630,405,451,207,427,285,626,210,438,68,470,289,120,669
"g6",12099,4295,7520,6561,6101,16222,5565,6113,4780,19573,4837,3603,3652,5333,7443,4150,11820,27664,5945,5276,24358,39616,6791,14134,25607,25998,67691,29704,15499,8053,36704,10679,11781,11806,10922,21837,22015,5049,18264,1259
"g7",6034,17238,11471,11185,20338,12277,33904,20199,21498,21478,22747,10467,15538,9571,29021,20976,15572,17337,11693,15603,43841,19127,26406,19441,60686,39751,23516,31230,29298,38522,63160,39788,20645,27077,53132,24298,36127,28051,15839,29047
"g8",20831,11078,24574,66394,10386,92736,56882,12142,44368,39947,12709,13009,32454,14408,64441,5873,13508,31443,31729,17164,36544,45157,87199,106691,80753,179383,78988,27932,80487,120356,141955,72989,236797,49644,35244,34222,89053,85402,25256,72392
"g9",281,418,3956,56,0,504,3770,5333,367,1789,944,5377,8,4635,323,16,34,206,1723,10,5191,0,0,195,4088,41,25001,0,2302,317,13168,758,2635,449,28,5909,1885,81,8164,105
"g10",57,145,88,79,61,133,129,727,178,252,170,10,42,308,318,166,61,116,16,61,57,196,20,317,258,29,135,19,11,268,120,32,694,332,72,129,114,49,89,103
"g11",5169,1101,749,5009,5199,303,879,1218,1980,876,839,407,743,2009,2997,4567,14570,3093,1831,139,7551,1227,3209,8001,3503,4146,17313,410,9426,1607,4209,7890,6536,2185,889,5188,2085,10290,1560,4841
"g12",18969,20217,25152,25230,25370,43541,23912,21712,30686,68958,38904,19050,33695,21300,20033,23832,37871,30899,27904,19998,89815,79578,75759,71517,86922,156269,72653,58267,57677,60874,128205,183583,99192,73219,64641,99569,91637,155780,75571,142834
"g13",30122,31961,52491,18196,47480,26440,7306,29904,50049,41827,34959,12886,33315,21008,26792,16507,36529,33314,27003,10966,20988,42994,28624,25088,38395,70607,12908,22774,58489,26476,54587,21478,26598,35969,49204,51052,41232,51915,54814,30570
