"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",822,473,332,309,886,730,1193,789,274,496,362,646,231,559,2062,390,822,1438,576,364,2686,1124,2413,736,1646,905,1468,1761,3117,1551,2205,982,1127,1503,1312,2095,2293,1738,1269,1285
"g2",1385321,632345,384439,667206,899009,444104,1818780,243585,791730,319048,220674,986547,382982,251246,526036,265445,999275,549797,445736,767482,728885,359617,506847,546366,2056240,143259,2113392,934008,159855,1258900,1723948,500690,138040,222398,158346,687401,310120,504485,303883,437471
"g3",342,929,1187,873,1551,340,2986,1651,971,838,1106,1057,759,1571,1896,1264,1046,622,274,1706,5567,2584,2652,1274,8730,624,10046,9252,5261,4017,6819,7294,3757,5516,2044,3923,4043,2796,2072,3730
"g4",1818,4010,10294,202,1470,977,3134,518,348,2417,369,222,9242,4027,2432,6789,1440,915,5601,1418,32088,6395,6744,7455,35541,15062,178,4095,29089,2501,41657,4360,1298,15386,8194,5618,0,260,7644,3045
"g5",269,95,241,394,340,78,154,230,48,93,21,54,0,135,436,214,766,139,73,79,353,459,814,1116,1120,286,62,2101,472,254,159,191,759,357,987,629,67,329,1206,756
"g6",9727,6239,14004,6741,3892,8088,12779,10211,5618,14594,9327,4231,12956,9169,4125,12072,7622,17246,7166,31138,27239,24755,14924,7068,72040,22555,72366,60654,96638,35632,63452,10471,21248,61814,25412,40483,21398,28890,70181,9980
"g7",23875,14324,39808,29531,34187,18266,13798,16134,20313,16299,19733,15645,26389,19924,25082,15938,25252,23632,9445,22009,76494,12017,24311,24014,31709,25041,21339,33461,45319,22426,41981,41166,29564,30865,40267,57441,24942,32577,17209,46540
"g8",19412,22909,54297,6411,73716,24924,94281,12805,115282,47922,55856,99963,25028,60280,8858,11231,19640,40992,14813,48335,11284,44023,27759,31984,13495,33746,75033,197800,209074,9779,9610,9771,22818,31131,36506,70634,16659,17564,45498,88352
"g9",834,903,93,1932,185,395,2291,155,0,4671,0,21,2580,15,85,122,921,0,1762,0,17,977,9725,3848,1598,5184,1779,36,57,2499,30,33,2297,4036,5818,0,0,444,365,2788
"g10",335,49,124,8,33,125,82,208,8,80,77,27,119,43,486,535,83,188,11,246,328,18,98,62,667,249,139,307,193,60,266,308,1116,16,191,259,34,254,73,134
"g11",1043,3284,6484,2283,8209,604,445,4986,2182,414,608,900,1618,922,2748,214,1696,5543,1323,1957,5403,4826,306,1296,8063,6330,1312,2433,9539,10777,3330,1191,10271,2651,3024,5856,3371,3993,5069,3304
"g12",16256,25232,56318,59392,58719,26339,22070,22550,81061,41487,52345,44749,44958,38979,26877,25617,23743,37653,27550,45312,66116,35521,57628,32456,70501,23733,62302,84871,89968,53668,32860,39143,50406,32359,41491,95873,33472,25700,107478,42319
"g13",29398,19479,18494,34267,22340,40668,39910,23204,32615,21096,20952,20397,26193,55660,29638,16492,36662,91623,39288,19611,42681,34038,53059,44578,45761,27230,34774,44935,47818,64889,16419,43342,34353,19503,28406,101716,31856,21858,36314,59623
"g14",10370,1209,1262,7415,4276,3326,2374,1057,2011,3808,5030,2077,1028,2164,3994,3250,6290,4131,3475,8264,4618,3815,2532,20314,4927,4829,11406,2381,18179,21655,32013,6953,12677,9172,2117,7257,19569,6925,23570,5241
"g15",44822,12088,84324,60955,60891,35784,55777,93284,57713,82265,61837,62014,37961,50629,51135,25119,33658,97849,29748,100433,135463,113924,81195,119669,64264,62653,178090,130545,120360,104918,213799,63529,58929,69863,96522,89795,68075,20497,147298,73617
"g16",12732,18051,15470,42958,40411,48907,22365,28899,36466,14414,15011,13277,32891,20703,34772,35011,34178,18798,37807,29220,104882,34496,77942,56647,73249,52557,89094,91598,69265,143515,58641,65026,81098,57023,26673,90791,79623,41465,152342,93221
"g17",645,7728,313,15075,28936,1210,8541,26182,18599,29854,4151,7412,70249,7515,45178,2097,11881,129379,24360,2182,11227,16989,145394,99558,807347,40874,103679,5825,337035,18039,34522,69159,134513,156436,89818,3480,171049,25082,12619,10621
"g18",128245,27391,48056,85687,71200,58763,71541,87256,96683,32225,41277,61104,47160,69917,91820,81522,22448,79403,80384,63982,131772,101008,101671,74811,130083,71226,239062,132554,90498,193389,175576,107994,164443,102502,90592,278765,151706,111839,134512,59298
"g19",7784,6149,20351,11949,9038,10679,32110,11213,7165,15341,7025,5095,13200,20726,12674,3606,13777,8378,8777,8956,38462,12316,19688,9219,28744,7869,25933,15395,30587,30518,22668,17061,14881,22619,24776,21177,22340,21612,26636,26380
"g20",358,175,1115,1120,390,76,1021,618,179,57,319,501,461,558,1033,533,422,752,313,46,485,650,445,953,1514,343,779,1810,771,1215,220,317,783,829,417,457,696,658,394,1734
"g21",8885,5435,3837,8386,8717,12739,6837,7899,9500,11058,9185,8110,11677,6705,4256,8648,5535,17054,4795,14231,19275,17983,17174,7655,22194,14847,20223,30217,20155,25912,20939,10112,14421,22730,27616,20562,13543,12728,5994,17021
"g22",20825,20841,39224,23925,30421,31175,17392,14093,15413,28902,10233,21540,36050,9671,25633,14924,19109,26977,7715,27516,37274,46659,39885,25229,73025,24640,26026,58407,53665,54735,67702,53160,76503,40795,15279,89285,43366,14200,57713,33927
"g23",6141,16254,6476,29843,17348,10849,6970,9069,7382,11722,13050,4866,20719,13759,8097,5034,12281,11466,7048,21863,11297,13392,18338,6494,32223,14279,10095,20842,31371,46851,16156,14216,14405,29801,9322,28476,29857,4789,30320,25417
"g24",1282,2188,539,969,153,513,823,1532,500,2538,1497,0,191,409,1171,519,307,4217,963,2232,2969,2482,322,1152,2817,394,5096,10058,1313,2286,2566,107,5564,1243,2618,1567,4708,1601,3755,5792
"g25",13583,14879,14154,30672,17480,32222,30203,24550,59382,20004,32660,45777,20159,13318,23508,10063,12623,47787,24749,32864,61004,57747,32287,66489,149064,140175,66376,92715,114414,90504,106668,42971,110189,24142,20387,103388,102671,47317,93380,88379
"g26",3247,1340,3090,2029,2627,2751,1549,1301,387,2198,2095,2145,2984,1822,971,2323,677,2631,965,2465,7427,11790,10906,7648,3283,6933,5748,7915,8596,7864,23018,9076,19263,4006,7990,10568,5344,10139,13376,11291
