"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",672,3588,2559,1771,4571,553,1071,1077,1536,2113,3807,322,1645,1441,1346,2554,1185,1699,2465,2521,5397,3257,1521,7364,7405,6919,3611,1389,3880,6139,1524,5272,1954,8328,5622,2126,2539,4766,2863,6703
"g2",2916587,1332234,826421,1169264,414661,371667,1163385,894275,999517,1503181,1251256,747516,2645048,551910,2126568,1315368,751596,2695110,1114112,1833161,1277036,3012471,1094032,2327750,2565698,3593218,3840895,1320395,1773045,6484533,6834337,2246174,5486593,5590680,1178849,4192387,5604648,456151,1487979,8019477
"g3",3483,5499,3408,5737,2800,2006,2939,1435,840,2063,1737,2272,842,2469,969,2141,1052,1982,2557,3134,1749,4393,9007,8281,13458,20529,6000,6392,2323,7604,9643,8500,1477,1984,11091,6815,2331,5085,1703,2102
"g4",1045,0,3703,5981,8,98,3601,369,1082,7053,0,1624,5669,1482,10,8307,0,2688,149,28422,2132,14673,10209,42002,6061,64888,29432,1158,32187,957,42509,288,3268,5226,528,100,9807,54720,1179,52920
"g5",475,268,586,17,251,179,238,869,338,180,332,1208,716,636,235,1118,603,1731,169,802,61,965,1212,504,794,376,893,64,228,121,1328,329,42,860,1072,1731,3983,45,18,184
"g6",11748,28244,18988,39562,7362,16501,3630,11228,10926,26227,44991,4162,26062,44036,20906,6263,42257,10298,21792,27615,48814,189779,82425,43939,47715,69379,163768,32218,50719,89148,48152,72490,65337,84655,82692,113756,35725,65495,95967,140947
"g7",50004,55695,42504,43573,73111,36456,27136,67185,36892,63561,47425,24718,40245,32711,47026,50428,23789,29118,35747,64826,152436,117307,159872,143142,113230,214261,150038,134141,77334,168148,147640,203661,136078,255071,93143,127576,167014,95647,84670,252327
"g8",80198,265538,78950,101167,92138,39565,132552,19766,96790,5137,28936,29117,65473,39692,43163,56400,64660,75942,322193,75609,230835,338797,95690,102600,128507,343648,136067,67357,94135,48905,237744,132672,142507,285272,228515,77832,51253,140566,50184,281405
"g9",5338,2131,1863,1578,3677,38,1671,6781,2176,5125,5,4179,85,8,651,282,27,6611,1504,21950,1617,12846,175,1440,256,222,498,3919,1724,171,1917,47986,969,0,260,173,7232,2365,2901,11264
"g10",62,326,503,148,395,98,672,213,269,407,133,1026,135,128,78,84,290,27,186,103,29,490,217,230,10,230,1018,851,85,439,1423,390,762,317,571,29,554,262,1042,464
"g11",11329,16544,1639,2912,25362,1663,791,6922,7931,2177,1072,5096,10364,1301,5664,7569,7165,2401,1130,3801,11023,36767,3276,9026,5063,11162,21224,5377,13882,4097,20822,17556,9328,29391,21996,1350,17671,4857,29759,10109
"g12",181101,70867,31797,164004,78909,35430,92609,40048,72738,108614,125406,51242,138844,52882,89827,49455,68815,87667,44593,188680,114082,125813,96197,153985,286233,179193,187553,103958,203377,262437,176158,157982,183360,352310,106696,48155,166790,111668,114409,204206
