"","condition"
"sample55","A"
"sample21","A"
"sample57","A"
"sample43","A"
"sample34","A"
"sample83","A"
"sample106","A"
"sample79","A"
"sample37","A"
"sample69","A"
"sample98","A"
"sample65","A"
"sample64","A"
"sample5","A"
"sample82","A"
"sample45","A"
"sample22","A"
"sample11","A"
"sample50","A"
"sample100","A"
"sample165","B"
"sample131","B"
"sample167","B"
"sample153","B"
"sample144","B"
"sample193","B"
"sample216","B"
"sample189","B"
"sample147","B"
"sample179","B"
"sample208","B"
"sample175","B"
"sample174","B"
"sample115","B"
"sample192","B"
"sample155","B"
"sample132","B"
"sample121","B"
"sample160","B"
"sample210","B"
