"","sample38","sample108","sample50","sample92","sample83","sample29","sample73","sample89","sample106","sample110","sample66","sample36","sample3","sample23","sample102","sample80","sample91","sample87","sample97","sample71","sample21","sample53","sample2","sample99","sample81","sample60","sample11","sample15","sample43","sample40","sample17","sample64","sample54","sample6","sample58","sample84","sample12","sample82","sample42","sample93","sample148","sample218","sample160","sample202","sample193","sample139","sample183","sample199","sample216","sample220","sample176","sample146","sample113","sample133","sample212","sample190","sample201","sample197","sample207","sample181","sample131","sample163","sample112","sample209","sample191","sample170","sample121","sample125","sample153","sample150","sample127","sample174","sample164","sample116","sample168","sample194","sample122","sample192","sample152","sample203"
"AC026271.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,1,2,2,2,2,1,2,1,2,1,4,2,2,2,2,2,4,2,3,4,2,1,2,2,4,1,1,2,3,1,4,4,2
"CLN8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,0,1,3,2,1,3,2,2,2,1,2,1,2,1,4,2,2,2,1,2,2,2,2,4,2,2,3,4,5,1,2,2,1,2,1,2,1
"SLC8B1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6,1,2,4,2,4,2,2,3,2,2,2,4,2,2,2,2,2,4,3,2,4,2,2,2,4,4,2,3,2,4,2,4,3,2
"AC018475.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,1,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,3,2,4,2,2,2,4,4,2,2,1,4,2,4,3,2
"CD99",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,5,2,2,4,2,2,2,2,4,2,2,1,4,2,2,2,2,6,4,1,3,4,2,1,4,2,4,1,1,2,4,2,4,2,4
"ALX1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,3,2,4,2,2,2,4,4,2,2,3,4,2,4,3,2
"AC090616.6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,4,2,4,2,2,2,2,2,3,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,1,2,3,2,4,3,2
"ITGB1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,6,1,2,4,2,4,2,2,2,2,2,2,4,2,2,2,5,2,4,2,3,4,2,1,3,2,2,2,2,4,3,2,3,2,2
"GMNN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,2,2,4,2,1,2,2,4,2,2,2,4,2,2,2,3,2,4,3,5,4,2,1,3,4,2,1,2,4,4,2,6,4,6
"AC104964.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,1,1,6,2,1,3,2,2,2,1,2,1,2,1,4,2,2,2,3,2,2,2,2,4,2,2,3,4,5,1,2,3,1,2,1,2,1
"CCL13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,4,2,2,2,2,2,2,2,3,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,1,2,3,2,4,3,2
"AL357054.4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,6,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,3,2,4,3,2,4,2,1,3,4,2,1,2,1,4,2,6,4,2
"ITGA4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,6,2,2,4,2,3,2,2,6,1,1,2,4,2,2,2,2,2,4,2,5,4,2,2,2,2,3,1,2,4,3,2,3,3,3
"HAUS7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,6,2,2,4,2,2,2,2,6,2,2,1,4,2,2,2,2,1,4,3,4,4,2,1,4,2,4,1,1,2,4,2,4,2,4
"PCDHGA3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,3,5,2,2,4,2,2,2,2,2,1,2,2,4,2,2,2,2,2,4,2,4,4,2,3,2,4,2,2,2,2,4,2,2,2,2
"DLGAP1-AS5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,6,2,2,4,2,2,2,2,2,2,1,2,4,2,2,2,4,2,2,3,4,4,2,1,4,2,3,2,2,4,2,2,3,2,4
"DYNC2I1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,1,2,3,2,2,2,6,2,2,2,4,2,6,2,3,4,2,2,4,4,4,1,2,2,4,2,4,2,3
"AC055811.4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,1,2,2,2,2,1,2,1,2,1,4,2,2,2,2,2,4,2,3,4,2,1,2,2,4,1,1,2,3,1,4,4,2
"TANC1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,2,2,4,2,3,2,2,3,2,1,2,4,2,2,2,2,2,2,2,6,4,2,2,2,2,3,1,2,4,3,2,3,3,3
"UGP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,2,2,4,2,4,2,2,3,2,1,2,4,2,2,2,6,2,4,2,3,4,2,1,4,2,2,1,2,3,3,2,3,3,3
"NIPAL3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,5,1,2,4,2,2,2,2,2,2,2,1,4,2,2,2,3,2,2,2,4,4,2,1,3,2,3,1,1,3,2,2,2,2,3
"PRORP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,6,2,2,4,2,3,2,2,3,2,2,2,4,2,2,2,2,2,6,2,4,4,2,2,2,4,2,3,2,2,4,2,6,2,6
"ERLIN2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,1,1,2,2,1,6,2,2,2,2,2,6,2,1,4,2,2,2,3,2,6,2,2,4,2,2,3,4,5,4,2,2,1,2,6,2,6
"CNGA4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4,2,2,2,2,2,1,2,2,6,2,2,2,4,2,4,2,4,4,2,2,3,2,4,2,1,2,3,2,4,2,4
"HOXB6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,6,2,3,6,2,6,2,2,3,1,2,3,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,2,3,3,2,4,3,2
"BNIP3P11",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6,2,2,4,2,4,5,2,3,2,2,2,6,2,2,2,4,2,4,2,5,4,2,2,4,4,4,1,2,3,4,2,4,3,3
"SDHAF4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,6,2,2,2,2,4,2,2,3,2,1,2,4,2,2,2,4,2,4,1,6,4,2,1,3,2,2,1,2,4,2,2,2,3,4
"FAM110D",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,1,2,4,2,2,2,2,2,2,2,1,4,2,2,2,3,2,2,2,4,4,2,1,3,2,3,1,1,3,2,2,2,2,3
"AL590723.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,4,4,6,4,2,6,3,5,5,6,5,2,2,5,6,4,2,6,4,2,4,2,6,6,2,2,6,6,5,2,3,4,6,4,5,4,3
"ZNF20",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,4,2,3,2,2,3,2,2,3,6,2,2,2,3,2,3,2,3,4,2,2,2,4,2,1,2,4,3,2,4,2,6
"DPY19L2P2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,1,2,6,2,2,2,6,2,2,2,5,2,4,2,3,4,2,2,4,4,4,1,2,2,4,2,4,3,3
"MAP2K4P1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,6,2,2,4,2,2,2,2,4,2,2,1,4,2,2,2,2,1,4,2,3,4,2,1,4,2,4,1,1,4,4,2,6,2,4
"ZNF224",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,2,2,4,2,2,2,2,3,2,2,1,6,2,2,2,3,2,3,2,4,4,2,2,4,4,4,1,2,3,3,2,4,4,5
"GULP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,6,2,2,4,2,3,2,2,6,1,1,2,4,2,2,2,2,2,4,2,5,4,2,2,2,2,3,1,2,4,2,2,3,3,3
"AC016590.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,2,2,4,2,2,2,2,3,2,2,1,6,2,2,2,6,2,3,2,4,4,2,2,4,4,4,1,2,3,3,2,4,4,5
"ATP5PO",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,6,2,2,4,2,3,2,2,2,2,2,3,4,2,2,2,3,2,4,2,4,4,2,2,3,3,2,2,2,2,3,2,4,2,3
"ZC3H12C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,2,2,4,2,2,2,1,3,2,2,1,6,2,2,2,3,2,2,1,3,4,2,1,6,2,2,2,1,3,3,2,4,3,6
"PLOD3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,1,2,6,2,2,2,6,2,2,2,5,2,4,2,3,4,2,2,4,4,4,1,2,2,4,2,4,3,3
"RMST",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,1,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,3,2,4,2,2,2,4,4,2,2,2,4,2,4,3,2
"AP000253.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,6,2,2,4,2,3,2,2,2,2,2,3,4,2,2,2,3,2,4,2,4,4,2,2,3,3,2,2,2,2,3,2,4,2,3
"DENND2C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,1,2,4,2,2,2,2,3,2,2,1,4,2,2,2,1,2,4,2,4,4,2,2,3,2,2,1,2,4,2,2,5,3,3
"SYNRG",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,3,2,3,4,2,4,2,2,2,1,2,3,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,1,2,3,2,4,3,2
"AL109659.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,1,2,4,2,2,2,2,5,2,2,1,4,2,2,2,3,2,2,2,6,4,2,1,3,2,3,1,2,3,2,2,3,3,3
"PRKCA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,2,6,2,3,6,2,6,2,2,3,3,2,3,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,5,4,3,3,2,4,3,2
"RPL23AP49",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,1,2,2,4,2,2,2,2,3,1,2,1,4,2,2,2,5,2,4,2,2,4,2,2,2,3,4,1,1,2,3,2,4,2,2
"MYO1B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,6,2,2,4,2,3,2,2,6,1,1,2,4,2,2,2,2,2,4,2,5,4,2,2,2,2,3,1,2,4,2,2,3,3,3
"GNA12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,6,2,2,2,4,2,3,1,2,4,2,2,3,6,2,2,2,4,2,4,2,6,4,2,2,4,4,4,3,2,2,4,2,4,3,2
"NEUROG2-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,4,2,4,2,2,2,2,2,2,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,2,2,3,2,3,2,2
"MTMR9LP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,1,2,4,2,2,2,2,2,2,2,1,4,2,2,2,3,2,2,2,6,4,2,1,3,2,3,1,2,3,2,2,2,2,3
"KXD1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,2,2,4,2,6,2,2,3,2,2,3,6,2,2,2,3,2,3,2,3,4,2,2,2,4,4,1,2,4,3,2,3,3,3
"KRT18",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,6,2,4,2,3,2,2,2,2,2,2,4,2,2,2,2,2,4,3,2,4,2,4,2,4,4,2,2,2,4,2,4,2,2
"CADM4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,2,2,4,2,2,2,2,3,2,2,1,6,2,2,2,3,2,3,2,4,4,2,2,4,4,4,1,2,3,3,2,4,4,5
"GLYATL1P4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,2,2,4,2,3,2,3,2,2,2,1,6,2,2,2,3,2,4,2,4,4,2,2,3,2,4,2,1,5,3,2,4,3,4
"ZNF615",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,2,2,4,2,2,2,2,3,2,2,1,6,2,2,2,4,2,3,2,6,4,2,2,4,4,4,1,2,3,6,2,4,3,5
"TPRKB",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,2,2,4,2,3,2,2,3,2,1,2,4,2,2,2,5,2,4,2,3,4,2,1,4,2,2,1,2,3,3,2,3,3,3
"HPSE",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,4,2,3,2,2,2,2,2,2,4,2,2,2,2,2,4,2,4,4,2,1,2,2,4,1,2,3,3,2,3,2,1
"TATDN3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,4,4,6,4,2,6,3,5,5,6,2,2,2,6,6,4,2,6,4,2,4,3,6,6,2,2,3,6,5,3,3,5,6,4,5,3,3
"PMS2P5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6,2,2,4,2,3,1,2,6,2,2,2,6,2,2,2,4,2,4,2,4,4,2,2,4,4,4,1,2,2,4,2,4,3,3
"ATP6V1F",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,1,2,4,2,2,2,6,2,2,2,5,2,6,2,3,4,2,2,4,4,4,1,2,3,4,2,4,3,3
"SLC39A6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,6,1,2,4,2,4,2,2,2,2,1,2,4,2,2,2,1,2,2,1,4,4,2,1,4,2,3,2,2,2,2,2,3,3,4
"RPL5P3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,6,1,2,4,2,2,2,2,2,3,2,2,4,2,2,2,4,2,4,2,2,4,2,2,2,2,2,1,2,3,2,2,2,2,2
