"","condition"
"sample104","A"
"sample42","A"
"sample78","A"
"sample14","A"
"sample54","A"
"sample79","A"
"sample110","A"
"sample48","A"
"sample28","A"
"sample1","A"
"sample21","A"
"sample6","A"
"sample34","A"
"sample68","A"
"sample15","A"
"sample103","A"
"sample96","A"
"sample47","A"
"sample52","A"
"sample25","A"
"sample214","B"
"sample152","B"
"sample188","B"
"sample124","B"
"sample164","B"
"sample189","B"
"sample220","B"
"sample158","B"
"sample138","B"
"sample111","B"
"sample131","B"
"sample116","B"
"sample144","B"
"sample178","B"
"sample125","B"
"sample213","B"
"sample206","B"
"sample157","B"
"sample162","B"
"sample135","B"
