"","condition"
"sample38","A"
"sample69","A"
"sample78","A"
"sample86","A"
"sample100","A"
"sample10","A"
"sample47","A"
"sample63","A"
"sample22","A"
"sample75","A"
"sample7","A"
"sample26","A"
"sample52","A"
"sample45","A"
"sample80","A"
"sample30","A"
"sample59","A"
"sample42","A"
"sample57","A"
"sample96","A"
"sample148","B"
"sample179","B"
"sample188","B"
"sample196","B"
"sample210","B"
"sample120","B"
"sample157","B"
"sample173","B"
"sample132","B"
"sample185","B"
"sample117","B"
"sample136","B"
"sample162","B"
"sample155","B"
"sample190","B"
"sample140","B"
"sample169","B"
"sample152","B"
"sample167","B"
"sample206","B"
