"","condition"
"sample105","A"
"sample21","A"
"sample68","A"
"sample83","A"
"sample75","A"
"sample33","A"
"sample58","A"
"sample102","A"
"sample86","A"
"sample73","A"
"sample26","A"
"sample91","A"
"sample47","A"
"sample97","A"
"sample14","A"
"sample42","A"
"sample84","A"
"sample103","A"
"sample66","A"
"sample5","A"
"sample29","A"
"sample23","A"
"sample59","A"
"sample79","A"
"sample67","A"
"sample61","A"
"sample106","A"
"sample9","A"
"sample60","A"
"sample41","A"
"sample6","A"
"sample28","A"
"sample10","A"
"sample50","A"
"sample45","A"
"sample71","A"
"sample65","A"
"sample93","A"
"sample53","A"
"sample38","A"
"sample57","A"
"sample82","A"
"sample104","A"
"sample96","A"
"sample90","A"
"sample4","A"
"sample76","A"
"sample89","A"
"sample11","A"
"sample63","A"
"sample27","A"
"sample52","A"
"sample44","A"
"sample77","A"
"sample35","A"
"sample40","A"
"sample110","A"
"sample7","A"
"sample87","A"
"sample43","A"
"sample215","B"
"sample131","B"
"sample178","B"
"sample193","B"
"sample185","B"
"sample143","B"
"sample168","B"
"sample212","B"
"sample196","B"
"sample183","B"
"sample136","B"
"sample201","B"
"sample157","B"
"sample207","B"
"sample124","B"
"sample152","B"
"sample194","B"
"sample213","B"
"sample176","B"
"sample115","B"
"sample139","B"
"sample133","B"
"sample169","B"
"sample189","B"
"sample177","B"
"sample171","B"
"sample216","B"
"sample119","B"
"sample170","B"
"sample151","B"
"sample116","B"
"sample138","B"
"sample120","B"
"sample160","B"
"sample155","B"
"sample181","B"
"sample175","B"
"sample203","B"
"sample163","B"
"sample148","B"
"sample167","B"
"sample192","B"
"sample214","B"
"sample206","B"
"sample200","B"
"sample114","B"
"sample186","B"
"sample199","B"
"sample121","B"
"sample173","B"
"sample137","B"
"sample162","B"
"sample154","B"
"sample187","B"
"sample145","B"
"sample150","B"
"sample220","B"
"sample117","B"
"sample197","B"
"sample153","B"
