"","sample103","sample110","sample25","sample30","sample86","sample57","sample12","sample60","sample73","sample85","sample9","sample27","sample4","sample18","sample65","sample20","sample59","sample40","sample34","sample26","sample55","sample2","sample24","sample71","sample41","sample43","sample35","sample49","sample19","sample69","sample62","sample28","sample50","sample6","sample108","sample78","sample83","sample22","sample82","sample37","sample213","sample220","sample135","sample140","sample196","sample167","sample122","sample170","sample183","sample195","sample119","sample137","sample114","sample128","sample175","sample130","sample169","sample150","sample144","sample136","sample165","sample112","sample134","sample181","sample151","sample153","sample145","sample159","sample129","sample179","sample172","sample138","sample160","sample116","sample218","sample188","sample193","sample132","sample192","sample147"
"EEF1A1P4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,4,2,3,2,2,3,3,2,2,3,2,2,4,4,2,2,2,4,2,1,2,3,2,4,1,2,4,2,2,4,4,2,3,4,6
"AC124242.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,4,6,2,2,2,1,3,2,2,1,3,2,1,3,2,1,2,2,4,2,1,2,1,1,2,1,3,5,2,2,6,2,1,2,1,2
"AC013643.3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,4,4,2,2,2,1,3,2,2,1,3,2,2,3,2,1,2,2,4,2,1,2,1,1,2,1,1,5,2,2,6,2,1,2,3,2
"LINC01554",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,4,6,2,4,2,2,3,3,2,2,4,3,2,2,3,2,2,2,6,2,1,3,2,2,4,1,6,4,2,2,6,4,2,2,2,2
"PER2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,5,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2,2,4,2,1,1,4,2,4,2,3,4,2,2,3,3,4,2,3,2
"HLA-DQA1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,6,2,3,2,2,2,4,2,2,3,2,2,3,3,4,2,2,4,2,2,1,5,2,4,2,4,4,2,2,3,4,3,3,6,5
"TXNDC16",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,4,2,2,3,4,2,2,3,2,2,2,2,3,2,2,6,2,1,2,5,1,3,1,3,4,2,2,4,4,2,2,6,2
"ATRIP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,6,2,2,2,2,2,3,2,1,3,2,2,2,2,2,2,2,6,2,1,2,4,2,4,1,3,4,2,1,4,4,2,3,4,3
"GOLGA5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,2,2,3,4,2,1,3,2,2,2,4,3,2,2,6,2,1,2,3,1,3,1,2,4,2,2,4,4,2,2,6,4
"PPP4R1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,4,2,4,2,2,2,2,2,2,4,2,2,4,3,4,2,2,4,2,2,1,5,1,2,2,2,4,2,2,3,4,2,2,3,2
