"","sample62","sample38","sample83","sample17","sample75","sample49","sample87","sample95","sample30","sample89","sample31","sample33","sample40","sample26","sample102","sample36","sample39","sample34","sample101","sample15","sample53","sample32","sample35","sample13","sample103","sample55","sample69","sample23","sample25","sample64","sample7","sample98","sample100","sample51","sample2","sample18","sample46","sample84","sample60","sample48","sample110","sample97","sample8","sample45","sample3","sample63","sample16","sample73","sample107","sample71","sample81","sample70","sample76","sample56","sample74","sample82","sample91","sample54","sample65","sample27","sample172","sample148","sample193","sample127","sample185","sample159","sample197","sample205","sample140","sample199","sample141","sample143","sample150","sample136","sample212","sample146","sample149","sample144","sample211","sample125","sample163","sample142","sample145","sample123","sample213","sample165","sample179","sample133","sample135","sample174","sample117","sample208","sample210","sample161","sample112","sample128","sample156","sample194","sample170","sample158","sample220","sample207","sample118","sample155","sample113","sample173","sample126","sample183","sample217","sample181","sample191","sample180","sample186","sample166","sample184","sample192","sample201","sample164","sample175","sample137"
"AL035413.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,4,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,1,1,3,2,2,2,1,3,2,3,2,2,2,1,3,2,4,3,2,2,3,3,2,1,2,1,3,2,2,2,4,3,3,2,1,1,3,3
"PPP1R12A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,4,2,2,2,2,2,2,2,2,2,4,3,2,2,3,2,3,2,3,2,2,2,1,4,4,5,2,4,2,2,3,4,2,4,2,2,3,5,2,2,2,1,2,2,3,3,4,5,3,4,2,2,3,4
"NUS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,4,1,4,1,2,2,2,2,3,2,2,2,2,4,2,2,4,1,2,2,2,2,1,2,2,2,3,2,2,4,2,2,4,3,6,2,2,2,6,4,2,1,2,1,4,2,2,2,4,2,2,2,2,1,3,6
"FOXI2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,1,4,2,2,2,2,3,4,3,3,2,3,3,2,2,2,2,2,2,2,2,1,2,1,4,3,4,2,2,2,3,4,3,2,4,2,2,5,2,2,2,2,1,2,2,2,4,4,3,3,3,1,2,3,2
"UBE2B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,4,2,4,2,2,2,2,2,2,2,1,2,5,3,2,2,2,1,2,1,4,2,1,2,1,2,2,5,3,4,2,2,3,4,4,4,2,2,4,4,2,2,2,2,4,2,2,4,4,4,4,2,2,2,4,3
"EIF4G3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,4,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,1,1,3,2,2,2,1,3,6,3,2,2,2,5,3,2,4,4,2,2,3,3,2,1,2,1,3,2,2,2,4,3,3,2,1,1,3,3
"TPST1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,6,2,2,2,2,3,4,2,2,5,4,4,2,2,4,2,3,2,4,2,2,3,2,4,4,4,1,6,2,2,4,4,5,4,2,2,5,5,2,2,2,2,4,2,2,5,4,4,5,4,2,1,3,5
"C5orf67",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,1,4,2,2,1,2,2,2,1,1,2,5,3,2,2,4,1,2,1,4,2,1,2,1,2,2,5,2,4,2,2,3,4,4,6,2,2,4,4,2,2,2,2,4,2,2,4,4,4,4,2,1,2,4,3
"NEK1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,4,2,2,2,2,2,2,3,2,2,3,1,2,2,2,2,3,2,2,2,2,3,1,4,4,3,2,2,2,1,4,3,4,4,2,2,4,4,2,2,2,2,3,2,2,3,4,3,3,3,2,1,3,2
"ROR1-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,4,2,2,2,2,2,3,3,2,2,5,3,2,2,3,2,6,2,3,2,2,4,2,2,6,3,2,2,2,2,3,2,6,4,2,2,6,3,2,2,2,1,3,2,2,2,4,3,3,3,1,2,3,3
