"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",109,399,295,223,469,25,213,618,284,169,951,111,500,99,980,146,568,186,269,560
"g2",4787,2993,1912,1224,2572,2993,2370,1452,829,3224,13914,2829,4204,2333,9181,4321,3722,3941,11628,10144
"g3",1708626,2749351,4095258,892839,3039554,849214,2212099,1424451,525878,1309340,3222954,1296210,1985699,2064661,1155332,279443,2632740,8261117,445524,1927594
"g4",2881,5853,3016,8838,4443,11190,1941,3011,3526,6627,5198,2957,7784,2500,3670,1822,1774,2737,3410,14040
"g5",6163,292,1370,45486,19740,1480,1,5,20567,3590,53,3203,129,39193,716,3807,1194,329,5999,4
"g6",1996,70,290,88,471,413,49,246,989,427,295,265,1586,27,408,325,824,3199,2279,32
"g7",36599,5176,62998,12634,46634,41371,19772,66189,26852,27767,51318,13704,14422,9921,37624,11606,10721,15716,47245,55316
"g8",91008,78923,77494,86643,65030,37729,69823,67410,54450,56991,128645,40412,65688,32600,81024,43436,73308,59399,68154,99620
"g9",108400,37548,155222,439965,336820,18138,19387,124493,162905,16973,209376,42559,281351,186780,95136,118446,50334,151352,107032,102450
"g10",28038,1615,3417,5882,1454,1017,3355,280,120,2638,195,2937,34,17,250,102,94,21310,78808,100415
"g11",139,43,0,0,167,0,77,0,146,20,78,313,34,210,24,3466,1038,40,232,2552
"g12",702,302,1014,943,17,37,35,187,227,190,1002,850,615,209,910,896,988,204,2000,828
"g13",319,28,0,361,3,119,5,4,52,0,821,37,8,0,18,72,485,0,73,0
"g14",1051,353,1738,318,337,140,54,3238,386,188,4101,271,971,256,548,284,784,118,584,795
"g15",8955,8568,15161,6717,1580,10354,24862,2741,2727,23538,14125,1435,5022,2684,22782,2076,12278,5238,11037,7456
"g16",120359,95976,150453,150381,118854,82516,53819,103863,107091,125812,345682,131086,370102,157254,296886,169479,110641,205470,424307,289437
"g17",89863,78371,149550,40473,68396,46283,122252,105748,50436,97234,250860,95397,106190,75616,48411,84560,116978,76526,61473,220626
"g18",31172,8028,13432,10857,12573,4164,16714,14963,10204,9942,21417,2686,12350,14926,14039,3530,20030,5196,6542,19715
"g19",144221,93974,353495,101206,159346,179891,96920,247821,69754,134660,196166,67283,239346,67484,69543,78081,173229,100310,149126,177294
"g20",84375,53817,89692,113023,138041,119986,82204,148275,85149,70127,608391,106811,324903,125684,423132,232454,241422,567475,661850,799332
"g21",55167,2524,13234,102645,10134,73761,3242,52442,6030,101568,64603,89818,378,28045,139881,10402,774,19345,106961,14585
"g22",194524,442511,171535,273031,243924,403862,87630,275257,302988,309383,551880,106330,262799,184622,194783,123549,340778,535294,274498,279821
"g23",41298,15818,40324,33004,61828,11507,32569,56576,25564,26292,94868,48697,53177,31573,35823,67871,114834,99492,106275,74367
"g24",512,1365,1279,1364,922,909,315,3434,2658,800,7124,1257,2051,1780,4943,722,4010,5200,1829,3030
"g25",234,272,268,365,607,195,532,460,57,293,358,77,311,138,490,133,240,518,103,198
"g26",39806,26378,49460,44563,26941,39878,31958,51917,33075,30439,140360,33914,108479,98621,105381,59379,64264,74338,109941,180442
"g27",105611,57682,106684,104255,86815,62027,46038,72738,38844,45965,69957,42174,46077,28696,36420,29930,29978,49283,110409,47273
"g28",21706,49546,36456,53506,36360,64848,37415,30054,39991,19776,22700,14932,101817,15324,21248,41782,99712,25180,114234,30713
"g29",15406,10783,9578,1598,2348,5503,2853,11376,1496,4691,10842,6334,14873,3112,2670,91,6380,6525,816,6582
"g30",110767,68536,214011,104824,57341,73275,48409,206491,41867,54526,189278,58924,122337,64715,99225,46363,148136,229968,84579,260742
"g31",12664,15590,3122,9647,3560,3137,7380,8547,5488,8869,16128,8141,19522,4130,18880,7038,13179,11865,6791,19095
"g32",295540,97091,205959,135754,309749,255711,107088,41804,7368,25846,151818,285353,17593,58043,67901,87778,261522,47370,93195,566652
"g33",96853,202827,20291,154717,217742,154432,51947,149912,40722,188010,84737,51385,339797,160374,93316,77101,161949,192105,1303450,78592
"g34",44622,1032,67985,33515,38945,24482,2374,72238,20312,21813,77391,9370,33996,19319,21095,2074,13515,71562,112913,20739
"g35",1154,3730,1539,699,1559,1887,1457,2294,1122,1819,1598,2189,749,1239,5028,2183,1950,1744,1702,8522
"g36",58918,14010,5,67852,77540,6015,66300,131391,6,128296,12768,2509,199,80841,4553,36166,3699,897,267195,12315
"g37",15583,18051,1384,0,1462,738,1407,7223,481,29597,588,7,7718,216,4,3931,64697,10528,0,34559
"g38",2083,1214,874,1205,2210,379,804,2205,1024,2208,5155,642,3673,272,3106,2095,1260,1032,5403,2832
