"","sample8","sample73","sample72","sample23","sample102","sample25","sample2","sample69","sample46","sample31","sample106","sample43","sample105","sample97","sample32","sample86","sample95","sample99","sample83","sample108","sample6","sample49","sample9","sample54","sample21","sample41","sample20","sample51","sample40","sample98","sample27","sample92","sample7","sample24","sample67","sample47","sample55","sample74","sample28","sample22","sample36","sample48","sample5","sample109","sample13","sample77","sample35","sample15","sample29","sample88","sample3","sample44","sample100","sample62","sample110","sample19","sample94","sample76","sample85","sample50","sample118","sample183","sample182","sample133","sample212","sample135","sample112","sample179","sample156","sample141","sample216","sample153","sample215","sample207","sample142","sample196","sample205","sample209","sample193","sample218","sample116","sample159","sample119","sample164","sample131","sample151","sample130","sample161","sample150","sample208","sample137","sample202","sample117","sample134","sample177","sample157","sample165","sample184","sample138","sample132","sample146","sample158","sample115","sample219","sample123","sample187","sample145","sample125","sample139","sample198","sample113","sample154","sample210","sample172","sample220","sample129","sample204","sample186","sample195","sample160"
"LINC01956",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,3,2,4,0,2,2,2,4,2,4,2,3,2,2,3,2,2,2,2,4,2,4,3,2,3,4,2,2,2,3,4,2,2,4,2,2,3,2,4,2,6,2,2,3,2,2,0,4,6,4,2,2
"ETNPPL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,4,2,4,1,2,2,2,4,1,4,3,4,2,1,2,1,2,2,2,2,2,3,3,2,4,4,2,2,2,3,4,2,2,5,3,4,2,2,3,2,2,1,2,1,2,2,2,2,4,4,2,3
"STAMBP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,5,2,3,2,2,3,2,4,1,2,2,2,4,2,4,2,3,2,2,3,1,2,3,2,4,4,4,4,2,5,4,0,3,2,3,4,2,4,4,2,4,2,2,0,2,4,2,2,3,2,3,2,4,6,4,2,2
"FCGR2C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,6,5,2,3,2,3,5,2,6,3,4,5,2,4,4,4,4,6,3,2,4,2,6,4,2,2,6,6,6,4,6,6,3,6,4,6,4,3,5,6,4,4,3,2,4,2,6,2,6,4,4,5,3,4,6,4,2,3
"ZNF835",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,3,2,2,2,2,3,2,4,2,2,2,2,6,2,3,2,3,2,3,3,1,2,2,2,5,2,4,4,2,4,6,2,3,2,3,3,2,2,2,6,4,1,2,3,2,6,2,2,4,2,6,2,4,4,4,2,2
"KCNA5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,4,3,2,2,2,1,3,2,4,2,2,2,2,4,2,4,2,4,3,2,3,2,4,1,2,4,4,5,3,0,4,4,2,4,2,3,4,3,2,4,3,4,2,2,3,2,5,3,2,3,1,2,2,5,6,4,2,2
"RPL36A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,1,2,1,2,4,2,6,0,2,2,2,4,2,4,3,3,1,1,1,1,2,2,2,2,4,4,2,3,3,4,2,2,2,2,3,2,4,4,4,4,1,2,4,2,6,2,2,2,3,2,2,4,6,3,2,2
"CREBZF",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,1,2,2,2,2,4,2,2,2,2,2,1,4,1,4,2,3,1,2,3,2,2,5,3,2,6,3,2,3,3,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,6,1,1,2,1,2,2,5,4,4,2,2
"STK35",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,3,4,2,2,2,3,2,4,2,3,0,2,4,2,3,1,5,2,1,3,2,2,1,2,6,4,4,6,3,2,6,2,4,2,3,2,1,2,4,4,4,2,2,5,2,4,2,4,4,2,3,2,3,6,5,2,2
"SEPSECS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,1,2,2,4,2,4,1,2,2,2,4,2,4,2,4,2,2,2,1,2,1,2,2,2,3,3,2,3,4,2,2,2,3,4,2,2,2,4,4,1,2,4,2,2,1,2,3,0,3,2,1,6,5,2,2
