"","condition"
"sample78","A"
"sample45","A"
"sample37","A"
"sample105","A"
"sample103","A"
"sample84","A"
"sample48","A"
"sample7","A"
"sample14","A"
"sample47","A"
"sample99","A"
"sample77","A"
"sample75","A"
"sample36","A"
"sample91","A"
"sample3","A"
"sample56","A"
"sample33","A"
"sample58","A"
"sample89","A"
"sample31","A"
"sample85","A"
"sample5","A"
"sample104","A"
"sample70","A"
"sample42","A"
"sample52","A"
"sample86","A"
"sample95","A"
"sample16","A"
"sample81","A"
"sample24","A"
"sample65","A"
"sample41","A"
"sample21","A"
"sample83","A"
"sample62","A"
"sample67","A"
"sample23","A"
"sample44","A"
"sample188","B"
"sample155","B"
"sample147","B"
"sample215","B"
"sample213","B"
"sample194","B"
"sample158","B"
"sample117","B"
"sample124","B"
"sample157","B"
"sample209","B"
"sample187","B"
"sample185","B"
"sample146","B"
"sample201","B"
"sample113","B"
"sample166","B"
"sample143","B"
"sample168","B"
"sample199","B"
"sample141","B"
"sample195","B"
"sample115","B"
"sample214","B"
"sample180","B"
"sample152","B"
"sample162","B"
"sample196","B"
"sample205","B"
"sample126","B"
"sample191","B"
"sample134","B"
"sample175","B"
"sample151","B"
"sample131","B"
"sample193","B"
"sample172","B"
"sample177","B"
"sample133","B"
"sample154","B"
