"","condition"
"sample77","A"
"sample27","A"
"sample61","A"
"sample41","A"
"sample53","A"
"sample59","A"
"sample31","A"
"sample18","A"
"sample104","A"
"sample93","A"
"sample78","A"
"sample12","A"
"sample42","A"
"sample15","A"
"sample7","A"
"sample49","A"
"sample105","A"
"sample89","A"
"sample35","A"
"sample50","A"
"sample187","B"
"sample137","B"
"sample171","B"
"sample151","B"
"sample163","B"
"sample169","B"
"sample141","B"
"sample128","B"
"sample214","B"
"sample203","B"
"sample188","B"
"sample122","B"
"sample152","B"
"sample125","B"
"sample117","B"
"sample159","B"
"sample215","B"
"sample199","B"
"sample145","B"
"sample160","B"
