"","sample58","sample104","sample27","sample71","sample34","sample60","sample81","sample88","sample13","sample56","sample168","sample214","sample137","sample181","sample144","sample170","sample191","sample198","sample123","sample166"
"ARHGAP4",497,1208,792,1387,739,1155,1358,306,509,977,1100,1176,1789,1387,779,691,754,1812,1512,619
"BCAT1",85,439,80,4407,232,237,1699,1938,248,2527,9680,552,2036,2624,522,2393,1476,307,1664,2209
"CLEC1A",243,511,212,371,222,362,414,777,198,722,201,117,156,272,109,51,188,72,238,97
"NR3C2",1841,1169,1501,915,1787,2168,1686,1847,1944,1662,613,70,496,1400,2304,56,520,93,209,1078
"PRMT5",1621,1167,1148,728,1898,1216,2182,901,1379,969,1178,279,1527,1724,1536,1152,1042,1528,2276,1807
"FAM200A",584,450,609,260,426,731,885,517,744,401,595,208,506,851,1277,434,653,264,890,337
"ZSCAN18",1702,2362,2381,752,1616,2001,2245,1165,2249,1312,967,115,2471,1261,775,666,1941,167,781,1468
"YBX1P1",46,64,64,102,40,15,63,47,27,81,56,28,32,58,52,56,23,32,86,44
"COL1A1",7341,105027,4471,357041,37092,65524,328151,17257,15070,162507,433855,83518,585681,603967,102912,303431,757734,186648,145685,2429818
"AC103810.2",2,7,4,5,22,27,48,12,48,1,0,5,34,23,11,6,4,10,1,4
"TUBB",18523,28316,25616,26992,27047,10841,60309,20122,21700,24063,42522,19330,44872,31432,69384,55662,40509,31695,41533,46277
"TALDO1",5409,11763,7014,10049,13709,4226,9867,11827,6126,11860,12708,6776,9671,7377,7949,7460,8443,5156,14122,21224
"ZNF532",2504,3061,4747,3360,2736,5040,7531,5518,4317,5824,2984,1568,4387,6735,5942,5859,3577,2125,3515,2784
"SNAPC5",662,1015,949,691,811,766,1318,958,874,1155,1374,529,928,1214,1396,324,896,474,1896,788
"COG3",2530,1568,1782,1178,2444,3104,2969,1998,2245,2008,2957,801,3152,3604,2340,1418,1584,1337,1739,1979
"YIPF7",3,0,1,0,0,6,3,2,6,1,13,0,5,2,2,1,3,0,0,2
"GNG2",497,1990,648,4610,669,1000,3823,15657,486,10473,2027,522,736,2376,284,450,1946,426,1521,835
"PVR",784,1276,1074,927,773,843,1714,677,1101,1240,3017,1150,1812,1053,3057,1474,787,1425,2346,761
"SPOCK1",257,899,62,3517,814,627,2713,2212,227,2575,5560,981,5204,2841,550,3416,5990,1595,899,7403
"TMEM139",331,583,573,7,277,178,187,132,345,115,161,526,32,523,1362,4,303,3,161,17
"FAM240C",27,121,12,19,31,20,22,147,9,67,5,2,26,82,6,1,7,5,20,16
"AL353743.2",19,12,31,22,10,71,32,25,26,63,8,1,20,40,21,12,14,10,12,4
"GDF11",252,345,338,430,353,307,1276,348,303,458,571,206,475,825,316,820,715,528,392,604
"AL596202.1",60,84,116,35,81,100,97,40,98,27,63,31,64,59,107,16,28,29,112,22
"AC011352.3",21,19,34,0,35,27,43,5,45,2,52,7,42,20,239,56,13,1,0,23
"LINC01273",52,95,34,23,9,30,36,24,15,30,7,7,1,4,17,9,3,0,3,1
"POLI",1293,1716,1627,1812,1478,3049,2042,4918,2271,3999,570,563,1471,3688,987,1560,618,1964,1599,1062
"AC245407.2",126,160,118,120,65,147,55,93,71,211,143,106,173,128,49,37,34,24,33,47
"SMNDC1",1407,1016,1584,1370,1150,1788,2572,2444,1695,1852,2344,712,1951,2598,2514,1755,1743,1279,3095,1360
"DLG5",6314,2305,3617,1417,3142,5269,9916,1565,4667,2437,2974,338,3882,8366,14275,13684,4003,15408,3851,2950
"AC060834.1",26,0,7,6,6,31,35,3,2,8,6,5,0,48,16,2,4,0,1,2
"PCDHB4",608,280,510,410,477,1004,902,569,846,614,349,55,280,860,183,65,388,286,121,315
"G2E3",757,379,1065,678,650,1316,1737,1448,1250,933,1597,419,1423,2108,987,2290,1232,1122,1791,1274
"FNDC11",19,38,25,7,36,42,24,8,44,6,15,15,24,42,37,30,27,16,80,33
"STRADB",552,926,558,1238,781,1013,1207,4529,772,3319,577,495,886,1229,552,1323,889,1197,1773,960
"NT5E",341,1402,445,5406,1554,688,2466,2412,1221,2558,2472,4206,1663,1900,752,2310,1462,519,1539,1230
"HECTD2",758,560,1179,722,705,1801,1514,918,1324,782,589,358,654,1803,853,646,1522,1118,765,1264
"MED17",310,294,379,144,264,342,452,235,353,198,279,201,275,434,326,244,155,132,262,189
"PHF20L1",1645,1060,1922,1534,3033,3043,3758,2912,2498,2813,6697,1598,2271,5988,3049,5508,2668,2957,7847,5820
"COPE",2316,3160,2320,1987,2228,1810,3552,1164,2166,2169,5232,3198,5271,3073,5275,1768,3486,3007,3930,2139
"TUNAR",38,74,57,0,0,5,149,6,158,5,4,1117,1,161,22,1,0,2,6,1
"AP000442.1",29,45,17,17,25,41,34,25,38,22,36,16,33,39,22,23,15,14,35,9
"RHOT2",2296,2576,2785,1449,2762,3170,3593,841,2212,2232,3129,2341,2908,4403,3265,1921,4415,1879,1749,3226
"AL356512.1",23,11,10,3,3,24,8,36,21,26,29,3,2,11,26,9,4,1,4,0
"VSIG1",8,25,19,5,11,55,41,4,24,9,20,39,13,82,16,122,42,21,102,8
"WDR74",1282,1128,1067,451,1224,929,1152,410,670,659,978,975,909,784,947,544,676,1127,2133,735
"AC073046.1",8,1,8,13,8,44,58,5,5,24,17,3,20,58,31,36,15,32,26,16
"AC008735.2",8,38,27,22,14,39,128,48,38,46,76,26,134,68,33,180,39,40,111,28
"PSD2",149,188,218,8,135,175,148,23,236,16,12,6,12,93,222,67,41,7,3,33
"C11orf54",768,827,807,793,530,1428,1268,1178,1287,1184,837,406,721,1371,797,776,575,282,1387,454
"TRIP6",4692,5013,5002,2016,3668,4011,5520,1719,3278,2504,5015,1684,4291,3161,6117,1052,2552,2138,4641,1307
"TMSB4XP4",7,23,11,40,18,16,30,32,14,31,22,37,189,41,9,18,13,14,78,24
"ZNF648",30,16,65,0,20,72,57,2,40,1,18,3,24,53,131,47,8,4,10,7
"ADRA2A",1326,2755,1708,2549,2398,3586,2294,11479,1230,7292,1642,543,689,2734,228,481,996,723,2759,3450
"ENPP7P4",6,13,16,5,3,23,10,8,24,10,2,4,21,15,6,21,3,18,5,5
"PSPC1",2313,1851,1926,1007,3010,2505,3603,1290,2245,1670,2518,1698,2951,2815,2567,1702,3266,1584,5410,3751
"TCIM",1946,1199,1064,521,844,8885,5270,1670,2786,1173,440,557,1451,20565,531,2353,1843,1927,2096,407
"KLK5",2560,3633,6028,2,2852,1986,4312,69,6003,0,11645,2109,289,1801,4275,66,191,13,0,143
"EXOSC7",1087,1497,1176,646,1269,958,1700,726,1112,951,1178,682,1940,1036,1096,317,931,586,2461,1183
"LINC02777",43,78,20,56,75,29,53,104,57,93,86,55,57,57,44,28,46,7,91,97
"AP001625.2",8,22,9,1,9,16,70,3,12,12,7,6,19,15,8,8,6,8,15,3
"BPNT1",1441,1103,1397,969,1908,1963,2663,1318,1789,1480,5650,2266,3953,3198,4395,7870,2899,1096,6200,2580
"CNRIP1",378,1668,451,2833,1035,569,1317,5780,433,4521,311,230,534,1081,276,308,960,251,377,779
"APH1B",1447,1548,1438,1525,1828,1869,2397,1803,2865,1452,1434,401,1085,2320,1207,633,1399,1491,1603,1644
"ERI3",2128,2862,2487,1503,2939,1926,3536,2295,2837,2605,4220,1336,3216,3000,4442,4439,2423,1816,3298,4641
"CRACDL",863,800,1225,328,1053,1324,938,411,1144,336,228,204,906,1374,713,578,1350,1582,742,1229
"CRIM1-DT",144,263,267,154,152,176,110,361,168,328,165,79,318,98,219,36,44,17,60,40
"ELF3-AS1",69,139,220,62,192,184,249,44,312,69,142,448,420,289,256,329,144,184,621,153
"SPDYE21",7,8,1,8,14,16,25,21,9,17,16,12,17,18,7,14,13,12,36,18
"ZNF430",657,331,852,376,730,1214,995,624,850,510,761,159,630,1308,1165,516,820,908,843,552
"UBAC2",3665,3813,3687,2491,4236,3254,5819,3619,4324,3221,7174,4437,9324,5158,6248,5664,2722,3008,4335,5366
"AP003108.2",9,10,3,6,11,42,30,31,15,25,23,27,32,37,9,25,15,5,41,12
"NR2E3",22,59,20,11,53,37,29,6,33,2,10,8,19,38,14,10,68,33,7,20
"CD38",79,122,39,418,125,135,477,424,36,514,238,939,343,576,220,96,75,37,3266,56
"ZNF507",1974,1198,2107,1305,1693,2869,2917,2388,2027,2194,1929,332,1635,2769,2001,1827,1156,2077,4844,1559
