"","condition"
"sample103","A"
"sample110","A"
"sample25","A"
"sample30","A"
"sample86","A"
"sample57","A"
"sample12","A"
"sample60","A"
"sample73","A"
"sample85","A"
"sample9","A"
"sample27","A"
"sample4","A"
"sample18","A"
"sample65","A"
"sample20","A"
"sample59","A"
"sample40","A"
"sample34","A"
"sample26","A"
"sample55","A"
"sample2","A"
"sample24","A"
"sample71","A"
"sample41","A"
"sample43","A"
"sample35","A"
"sample49","A"
"sample19","A"
"sample69","A"
"sample62","A"
"sample28","A"
"sample50","A"
"sample6","A"
"sample108","A"
"sample78","A"
"sample83","A"
"sample22","A"
"sample82","A"
"sample37","A"
"sample213","B"
"sample220","B"
"sample135","B"
"sample140","B"
"sample196","B"
"sample167","B"
"sample122","B"
"sample170","B"
"sample183","B"
"sample195","B"
"sample119","B"
"sample137","B"
"sample114","B"
"sample128","B"
"sample175","B"
"sample130","B"
"sample169","B"
"sample150","B"
"sample144","B"
"sample136","B"
"sample165","B"
"sample112","B"
"sample134","B"
"sample181","B"
"sample151","B"
"sample153","B"
"sample145","B"
"sample159","B"
"sample129","B"
"sample179","B"
"sample172","B"
"sample138","B"
"sample160","B"
"sample116","B"
"sample218","B"
"sample188","B"
"sample193","B"
"sample132","B"
"sample192","B"
"sample147","B"
