"","sample17","sample63","sample21","sample52","sample51","sample30","sample13","sample82","sample105","sample19","sample83","sample90","sample1","sample24","sample54","sample26","sample29","sample4","sample8","sample12","sample100","sample58","sample91","sample36","sample92","sample6","sample44","sample94","sample93","sample64","sample89","sample18","sample74","sample61","sample98","sample110","sample104","sample85","sample84","sample7","sample127","sample173","sample131","sample162","sample161","sample140","sample123","sample192","sample215","sample129","sample193","sample200","sample111","sample134","sample164","sample136","sample139","sample114","sample118","sample122","sample210","sample168","sample201","sample146","sample202","sample116","sample154","sample204","sample203","sample174","sample199","sample128","sample184","sample171","sample208","sample220","sample214","sample195","sample194","sample117"
"USP32P3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,4,1,2,3,2,3,4,1,3,4,2,6,1,2,2,1,4,2,1,5,3,0,4,3,1,3,2,2,2,3,3,3,6
"FAM135B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,5,5,3,1,2,5,3,4,4,3,6,2,6,2,2,6,1,0,2,2,6,6,3,4,6,2,4,6,4,2,4,6,3,5
"PPP5D1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,4,2,1,4,2,4,2,4,2,6,1,2,5,2,4,2,2,3,1,2,0,2,4,4,5,4,2,2,3,3,4,2,2,2,2,3
"ILF3-DT",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,2,2,5,4,2,2,2,4,2,6,1,2,6,2,6,2,2,3,2,2,2,2,4,4,6,6,2,2,3,3,4,2,3,2,2,6
"TFCP2L1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,2,4,2,3,5,4,0,3,6,2,3,2,2,4,2,2,2,2,5,6,3,3,2,2,3,3,4,2,2,2,3,3
"WASHC1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,4,2,3,1,4,4,5,2,2,6,2,3,2,1,4,1,2,2,0,3,3,2,2,2,2,3,4,3,2,2,1,3,6
"IMPG2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,0,2,4,2,4,2,5,6,6,2,1,5,2,4,2,2,2,2,2,2,2,3,6,2,4,2,2,3,4,4,2,4,1,3,4
"TMEM129",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,3,2,1,2,2,3,4,1,3,6,2,5,2,1,2,2,2,2,2,3,6,5,3,2,2,3,4,3,2,2,2,3,3
"AC006213.7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,2,1,4,2,3,2,4,2,6,1,2,5,2,6,2,2,3,1,0,2,2,4,4,5,4,2,2,3,3,4,2,2,4,5,6
"PDK4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,4,2,2,4,2,2,2,2,3,6,1,2,2,2,4,2,2,2,2,1,2,2,4,6,3,4,2,2,5,4,4,4,3,3,4,4
