"","sample14","sample105","sample83","sample107","sample74","sample3","sample85","sample92","sample40","sample22","sample80","sample57","sample102","sample20","sample53","sample19","sample62","sample65","sample101","sample99","sample75","sample89","sample66","sample59","sample71","sample16","sample41","sample90","sample103","sample30","sample34","sample60","sample46","sample21","sample47","sample77","sample8","sample23","sample12","sample72","sample32","sample28","sample7","sample36","sample87","sample5","sample4","sample69","sample25","sample43","sample24","sample42","sample110","sample88","sample6","sample11","sample27","sample15","sample9","sample38","sample124","sample215","sample193","sample217","sample184","sample113","sample195","sample202","sample150","sample132","sample190","sample167","sample212","sample130","sample163","sample129","sample172","sample175","sample211","sample209","sample185","sample199","sample176","sample169","sample181","sample126","sample151","sample200","sample213","sample140","sample144","sample170","sample156","sample131","sample157","sample187","sample118","sample133","sample122","sample182","sample142","sample138","sample117","sample146","sample197","sample115","sample114","sample179","sample135","sample153","sample134","sample152","sample220","sample198","sample116","sample121","sample137","sample125","sample119","sample148"
"C19orf73",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,2,2,2,4,2,2,6,2,2,3,4,6,4,2,3,4,2,2,2,2,2,3,4,4,2,3,4,3,2,3,2,5,3,2,2,2,4,3,1,6,2,2,2,2,2,6,3,2,2,2,4,5,2,3,1
"SMARCD2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,3,4,2,2,6,3,2,2,6,6,2,2,4,5,3,2,4,4,3,6,2,2,4,0,4,3,4,3,5,4,2,3,2,4,3,2,5,2,4,5,2,4,5,2,3,1,1,4,3,2,2,5,4,6,2,6,2
"LINC02538",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,3,0,1,4,2,2,3,3,4,3,2,5,4,1,2,1,2,1,2,3,2,2,3,6,4,2,2,2,4,3,1,6,2,4,3,2,4,3,2,1,2,1,4,2,2,1,2,4,2,2,3,2
"UACA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,2,2,2,2,4,3,2,4,3,3,3,2,4,3,2,2,2,2,2,1,2,3,2,3,2,3,2,3,2,3,2,2,4,2,4,2,2,5,3,2,2,1,2,4,2,2,1,2,4,2,2,3,2
"CEP95",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,0,3,3,2,2,6,2,2,2,6,3,1,2,4,3,3,2,4,4,3,6,2,2,1,1,4,3,4,3,4,4,2,3,2,4,3,2,5,2,4,5,2,4,5,2,3,1,1,4,3,2,2,5,4,6,2,2,2
"CAV1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,3,2,4,2,2,5,2,2,5,3,1,3,2,6,2,2,3,1,2,2,2,2,4,2,4,3,3,2,4,3,4,4,2,4,2,4,4,1,6,3,2,2,2,2,6,3,2,2,2,4,2,2,4,2
"AC090517.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,2,2,1,3,3,2,5,3,2,1,2,2,2,1,2,3,2,4,2,3,2,3,2,2,2,2,4,2,4,2,2,4,3,2,2,1,2,5,2,2,1,2,4,2,2,6,2
"CENPH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,2,2,0,2,2,6,2,4,2,2,4,4,2,4,4,1,2,3,2,2,1,3,4,2,2,1,3,2,3,2,4,2,1,3,1,4,2,2,4,3,2,1,1,1,6,1,2,2,2,4,3,1,3,2
"CDC6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,3,3,3,0,1,2,6,2,6,1,2,2,3,2,5,2,4,4,3,4,2,2,1,3,2,3,4,3,4,2,2,2,2,4,4,2,3,2,2,4,2,4,5,1,3,1,1,4,3,2,2,1,4,2,2,2,4
"RAMP3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,4,5,2,3,2,4,2,3,6,2,2,4,3,4,3,2,4,3,2,2,2,2,2,2,2,4,0,3,5,6,3,4,3,5,4,2,5,2,4,3,5,6,4,2,2,3,2,6,3,2,2,3,4,0,2,4,2
