"","sample52","sample9","sample47","sample1","sample87","sample5","sample24","sample13","sample46","sample18","sample162","sample119","sample157","sample111","sample197","sample115","sample134","sample123","sample156","sample128"
"PFKL",898,4944,10895,8074,6922,6982,5356,5817,8124,4369,4881,7085,9720,13907,7204,19431,7878,5227,8733,11539
"ELK3",7176,6816,10096,5074,4105,4463,7980,3830,4108,5778,6482,5847,2445,3113,3924,3136,2816,4136,3077,2714
"LINC01894",9,41,40,23,24,24,13,25,16,27,16,6,1,2,23,4,6,2,14,5
"C20orf202",6,22,37,14,21,16,24,19,9,25,13,59,10,15,7,50,10,18,14,11
"PDGFB",1703,5813,5799,2357,2285,2036,2667,2276,1783,3101,2385,2647,1356,3967,1419,7950,1175,1748,3254,3139
"SRPK3",4,35,62,29,15,76,26,29,52,12,47,88,313,422,57,62,37,33,692,510
"ABAT",1070,1277,1546,1700,513,831,1624,3026,1791,1045,13713,712,15003,972,12830,4328,7528,823,1688,1386
"AL450326.1",19,259,146,83,143,67,150,45,52,125,60,62,105,448,57,92,31,64,74,57
"NCSTN",7515,10103,9481,7591,6948,6462,10633,8070,7196,8961,12150,11591,17854,7422,13717,11415,15604,12381,9138,24645
"IGKV3-20",1095,316,1140,1852,55,7991,3763,923,1837,1834,3775,1029,350,15626,3770,192,542,13413,194,277
"ISL1",9,0,1,2,2,22,3,0,13,16,75,1,7,0,18,11,5,0,2,11
"IGHV2-70",1,23,118,82,2,192,137,38,121,73,160,34,9,399,59,22,16,238,2,30
"TRPV2",103,733,1261,744,667,568,428,241,557,774,347,779,469,369,256,287,1361,1526,790,532
"GMPR",394,311,451,663,230,665,356,504,561,245,463,1265,250,49,132,119,196,1122,288,442
"AC093675.1",40,39,90,33,24,52,57,44,53,56,31,58,22,9,20,24,27,69,35,27
"NAT9",306,574,1494,1113,769,1158,782,1264,1217,591,2192,816,1914,1372,1310,1593,1161,3447,1241,1378
"HTRA1",11078,13260,24969,22323,21864,11696,17800,6617,10254,17919,40419,29536,12844,13906,9350,5394,18293,7797,20159,19747
"ERCC3",2075,2991,3732,2506,2413,2746,3345,3109,2579,2007,3385,3397,3411,4401,2905,4062,2002,5847,1932,3107
"GLI1",52,137,235,231,125,110,90,54,131,176,78,186,20,131,444,85,91,63,59,22
"ARHGEF26-AS1",80,65,61,32,75,31,61,108,45,31,103,66,153,23,46,859,78,70,63,25
"CATSPERB",229,19,144,135,5,151,152,193,518,72,331,454,103,26,412,160,241,95,28,43
"PI4KA",1768,5069,6063,4834,3389,4593,4700,5688,5623,3957,10249,7136,6673,7245,6262,9246,3583,4587,5161,4591
"POLA1",1179,1547,1495,1233,892,1174,1593,1347,1053,999,2197,1315,5502,1914,1556,2130,1106,2003,1211,1607
"SV2C",63,17,64,15,18,24,69,58,306,41,8,14,8,6,33,5,11,7,12,31
"AL079343.1",22,40,19,36,17,8,20,18,4,8,5,45,4,0,14,4,6,0,0,0
"ZNF485",182,100,273,120,81,164,178,202,178,108,340,82,810,438,292,410,345,623,328,315
"PADI3",14,20,12,23,4,18,19,35,18,9,7,3,112,157,2,1,2,166,6,3
"ADPRM",953,559,677,429,498,565,636,481,477,397,544,364,297,169,695,368,377,419,237,326
"RPS15AP10",5,9,8,14,5,5,4,14,17,0,29,8,23,5,24,6,16,5,0,10
"RGS14",233,168,763,654,144,678,254,654,584,375,570,724,1110,110,1434,932,1005,1461,907,1227
"LETM2",115,104,180,137,72,97,135,163,116,91,128,219,717,42,111,369,54,278,146,100
"IGLV1-40",237,153,1769,774,29,2008,1175,463,1528,471,1432,752,209,3016,1556,164,220,4160,61,206
"EIF2B2",1586,989,1417,1074,1041,1015,1188,1161,845,828,1368,1088,985,1581,1188,1535,1613,1466,1348,1327
"C2CD4C",18,154,374,99,214,118,58,17,65,33,14,62,67,14,29,134,36,2,41,19
"MROCKI",31,20,25,19,11,17,29,25,17,11,113,111,45,6,38,13,14,59,17,21
"PTPRA",5243,7977,9292,6339,6568,5091,7881,6066,5193,5339,8947,7607,9084,3369,6269,11941,8231,9841,5118,9419
