"","condition"
"sample26","A"
"sample43","A"
"sample77","A"
"sample90","A"
"sample33","A"
"sample109","A"
"sample38","A"
"sample80","A"
"sample40","A"
"sample101","A"
"sample41","A"
"sample37","A"
"sample3","A"
"sample16","A"
"sample20","A"
"sample25","A"
"sample82","A"
"sample95","A"
"sample54","A"
"sample29","A"
"sample99","A"
"sample21","A"
"sample73","A"
"sample30","A"
"sample58","A"
"sample86","A"
"sample70","A"
"sample4","A"
"sample56","A"
"sample63","A"
"sample103","A"
"sample10","A"
"sample12","A"
"sample75","A"
"sample28","A"
"sample79","A"
"sample49","A"
"sample87","A"
"sample66","A"
"sample6","A"
"sample136","B"
"sample153","B"
"sample187","B"
"sample200","B"
"sample143","B"
"sample219","B"
"sample148","B"
"sample190","B"
"sample150","B"
"sample211","B"
"sample151","B"
"sample147","B"
"sample113","B"
"sample126","B"
"sample130","B"
"sample135","B"
"sample192","B"
"sample205","B"
"sample164","B"
"sample139","B"
"sample209","B"
"sample131","B"
"sample183","B"
"sample140","B"
"sample168","B"
"sample196","B"
"sample180","B"
"sample114","B"
"sample166","B"
"sample173","B"
"sample213","B"
"sample120","B"
"sample122","B"
"sample185","B"
"sample138","B"
"sample189","B"
"sample159","B"
"sample197","B"
"sample176","B"
"sample116","B"
