"","sample32","sample49","sample103","sample84","sample22","sample104","sample77","sample23","sample20","sample44","sample28","sample110","sample46","sample60","sample71","sample24","sample90","sample7","sample70","sample92","sample4","sample62","sample75","sample30","sample40","sample59","sample18","sample93","sample83","sample97","sample94","sample45","sample50","sample26","sample87","sample65","sample79","sample68","sample35","sample3","sample142","sample159","sample213","sample194","sample132","sample214","sample187","sample133","sample130","sample154","sample138","sample220","sample156","sample170","sample181","sample134","sample200","sample117","sample180","sample202","sample114","sample172","sample185","sample140","sample150","sample169","sample128","sample203","sample193","sample207","sample204","sample155","sample160","sample136","sample197","sample175","sample189","sample178","sample145","sample113"
"SYNPO",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,4,3,2,2,2,3,3,2,2,3,4,1,6,2,2,4,2,2,2,4,2,2,2,2,3,3,2,4,4,1,2,4,4,5,3,2,2
"ZNF678",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,4,6,2,2,4,6,4,3,5,6,2,6,4,3,5,4,2,6,3,4,2,2,5,3,4,4,5,5,3,4,6,5,3,5,6,6
"FGF10-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,2,2,2,3,4,4,2,3,4,2,6,3,2,4,2,2,4,4,2,2,2,2,4,4,2,4,4,2,6,4,4,5,3,5,1
"RTCB",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,1,3,3,2,2,3,2,2,4,2,4,2,1,2,4,2,2,2,1,4,2,2,6,6,2,5,4,2,3,2,3,3
"C1QC",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,2,2,2,2,2,3,2,4,4,2,4,3,6,2,0,2,3,3,2,3,2,1,3,3,2,6,3,1,3,4,3,2,3,1,2
"MCC",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,4,4,2,2,2,2,3,3,4,2,3,3,2,6,3,2,4,2,2,2,3,2,2,2,2,2,2,2,4,4,1,4,4,4,5,3,2,2
"MKNK2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,4,4,2,2,3,2,6,3,2,3,2,2,2,4,2,1,2,1,2,2,2,3,3,2,2,6,3,4,3,3,2
"DCST1-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,3,6,2,5,2,4,3,3,5,6,2,6,5,6,5,4,4,5,3,3,6,2,6,3,4,3,6,5,3,4,6,5,3,6,6,6
"AFAP1L2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,2,3,4,2,4,2,2,4,2,1,4,2,4,3,3,0,4,2,2,2,2,2,4,2,2,3,5,3,1,2,2,2
"RRM2P3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,2,1,2,4,2,2,3,2,4,3,2,4,3,2,4,0,2,3,4,2,3,2,2,4,2,2,4,5,2,2,4,4,3,2,3,2
"AC012313.3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,6,2,2,2,3,2,4,4,2,3,6,2,6,5,4,6,2,2,2,4,2,2,2,2,4,2,2,4,3,2,2,6,4,4,3,3,4
"AC027279.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,1,5,1,3,2,2,2,3,2,2,5,2,2,3,2,2,3,2,2,1,1,3,2,1,6,5,1,3,2,2,2,4,2,1
"AC118344.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,3,2,4,4,2,2,4,2,6,3,6,4,3,2,4,4,2,4,2,2,5,2,3,4,3,2,2,6,4,4,3,3,2
"IGHV1-12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,4,2,2,3,4,2,3,4,2,3,4,2,6,2,4,4,0,2,2,4,1,2,2,2,5,0,3,6,3,2,3,4,5,2,2,3,2
"RSPH14",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,3,3,1,2,1,1,3,2,3,3,2,3,4,2,4,2,2,4,4,2,2,2,1,5,2,2,5,6,2,3,4,2,3,2,4,2
"MINDY2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,2,1,2,3,4,2,3,2,2,4,2,2,3,2,2,3,3,2,2,2,1,2,1,2,6,4,2,3,4,4,4,3,2,2
"ERMARD",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,3,4,2,3,2,2,4,6,2,3,3,3,3,2,2,4,4,2,3,1,2,5,3,1,4,3,1,2,4,3,3,3,2,2
"LXN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,2,4,2,3,4,2,3,6,2,6,4,4,3,2,2,4,4,2,3,2,2,2,2,2,5,5,2,2,4,3,4,3,4,2
"AC107375.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,5,3,3,4,6,5,2,6,5,3,4,5,6,2,3,2,6,6,2,4,2,2,2,2,2,6,6,2,3,4,3,6,6,6,2
"AC137561.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,2,3,2,3,4,2,3,3,2,4,4,4,3,1,2,4,4,2,4,2,2,3,2,2,5,2,2,2,4,3,4,2,3,2
