"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",571,1042,732,351,309,626,87,524,312,79,429,236,31,413,394,272,124,163,220,228,4368,544,1467,1599,4928,1718,2984,149,587,722,1210,904,422,2178,433,820,1952,1612,1296,261
"g2",3705,858,2232,2782,2058,425,2506,1461,5440,1755,2044,3023,1834,2267,2014,2226,849,4323,1179,2268,8097,7946,3959,2827,5201,2694,11192,8330,2901,7888,3948,3400,261,13858,1267,3205,15320,2693,4514,2716
"g3",2582283,1349050,711537,2098841,2849482,866555,632074,2006567,1748627,2745078,4830887,3886266,940607,541921,534769,760982,2186615,1320248,1185637,1400795,1162824,1620190,1925011,3190524,2498350,699427,4667990,2382828,3760623,6050994,894646,1504022,1020329,1589111,1794926,2737274,1484370,1422179,2022383,790782
"g4",6429,1957,2329,1469,2887,3171,2752,1901,1492,2022,4169,4759,850,3393,6406,2855,1419,2094,2390,1570,2676,4276,1236,4983,18158,1024,7376,18004,8364,6290,10894,10721,1050,7044,8427,5478,3906,1758,10915,7866
"g5",6925,2,3553,212,89,7070,12574,24990,4,107432,56899,8190,6809,14303,66425,9011,7214,823,9230,2420,136,18629,3626,2079,13844,36,15584,289688,74,254,4328,38,1316,231,31805,11696,53296,34077,348,21618
"g6",211,163,1105,534,2861,299,253,859,94,2280,1113,929,328,1548,1095,106,308,538,626,1745,364,1388,3489,472,302,78,3490,2009,1155,1804,6248,492,1683,1871,905,1396,2704,865,1155,254
"g7",22983,92681,24698,25043,28258,30632,15841,35790,35259,26811,16578,23389,37798,33970,47374,54643,25015,24962,23973,22988,128799,38786,35158,70165,56737,73818,36800,23783,24222,83062,130402,99652,16600,104506,25522,83648,14161,30697,66485,16552
"g8",82303,71457,65978,59958,78710,59424,81416,47046,53455,36421,66431,38109,28251,50609,54784,81234,52453,82679,35437,40455,107243,139901,158718,126315,149198,126246,258648,165513,94925,183776,321890,142801,78991,176705,74796,176929,119304,102361,121736,53685
"g9",248525,368102,52104,105153,30747,122773,81639,296010,42917,118708,144356,115541,40604,48139,83502,366393,69792,54728,47988,193179,212261,177303,279156,169919,296188,143756,269942,37047,190693,197422,575968,128497,156014,499574,117861,215484,327312,203944,131733,213902
"g10",18,3471,10633,67,0,18964,5137,120,53795,1367,3408,3,18323,9904,24,2798,2143,23,9419,559,528,1777,1773,732,16178,60605,6504,17670,1280,1422,47770,3,2,3,375,38112,29,51,527,0
