"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",250,193,126,433,412,324,407,353,292,76,1818,226,583,113,851,531,918,264,474,458
"g2",2824,1490,418,2005,2982,2297,2641,264,3402,3654,22557,7980,6614,4477,6622,3519,4372,14601,3816,12878
"g3",3859631,1327627,992993,1983276,2494876,264084,1375295,2034174,781281,919589,2707127,252281,723762,1614875,2723776,949290,2080630,13750625,1331174,3897384
"g4",6162,1095,2739,1890,7092,5048,3091,3367,1476,2399,8434,4395,3294,4859,12890,2501,32824,11771,10035,4462
"g5",5,2575,1034,31919,8315,12242,4044,40249,7,29521,5143,133185,83515,6123,33354,33,28,133987,836,21294
"g6",562,844,512,143,169,41,795,150,84,781,374,116,231,404,302,207,472,5586,579,596
"g7",32287,33337,27234,44092,8485,13833,8237,12349,7599,22274,144981,23714,104214,21868,21538,26847,17028,40878,33206,11391
"g8",58844,58875,30511,49341,47053,41623,70289,60951,56335,64897,83061,64545,35436,35645,96110,50680,156280,60314,46283,45056
"g9",259520,155841,87066,30217,70906,71705,29340,97481,100998,47203,82308,218855,62810,13465,36638,73455,253850,146795,49326,59226
"g10",9892,1643,404,333,149,9824,4951,2146,56,24,1959,1447,193,246,23354,4779,54,2946,0,3716
"g11",146,3101,190,0,93,5,0,35,594,4,3,157,19,319,110,4,296,674,1256,101
"g12",865,47,294,405,127,894,350,316,286,17,192,44,626,394,232,99,236,174,458,314
"g13",1,7,3,627,3,390,905,65,0,0,22,111,0,0,0,5,3,0,0,8
"g14",743,253,152,213,12,462,3,838,201,890,1347,876,320,181,1704,846,536,964,1184,1131
"g15",9381,9540,4718,13184,6474,10865,4426,35132,5473,9529,35823,9486,22917,15562,4602,13309,37200,20564,9995,11358
"g16",105142,79426,85680,103298,88492,247276,87691,75011,118962,101036,166821,75881,78003,66286,187943,102262,72055,90624,62498,79734
"g17",85086,60610,76989,126958,65443,119154,155067,207105,72021,98063,505858,68768,95793,136506,61292,43637,403913,209490,102569,176050
"g18",13512,5054,5180,22966,6611,9056,17251,5774,10657,26658,4187,15619,27556,10289,8648,5070,30924,9756,18860,9308
"g19",275799,97325,149856,203247,204730,270481,155173,108801,125599,366709,441249,123183,230164,180466,71960,189942,382430,295889,151508,242870
"g20",129748,52439,107597,114182,53512,183761,95440,116433,105297,151540,241323,68790,108445,45602,209628,40316,222305,175580,139036,216969
"g21",25577,141777,83278,6431,366,7339,8356,58048,38088,385215,1867019,65112,73825,589,533575,16513,2380,415478,27738,3801
"g22",480327,210771,153752,163414,255065,205460,225198,241244,338466,200136,207647,73098,228701,126821,336319,71202,279100,357570,214160,193860
"g23",43715,21965,19659,29280,32042,66048,41877,35120,20503,21792,63273,25211,32150,27640,41442,30476,113640,101148,47639,24586
"g24",2250,713,805,683,1177,3054,2755,2117,273,3108,6435,1668,4150,2509,4550,1374,8328,14036,3449,5328
"g25",745,346,535,367,404,837,443,323,435,326,563,139,221,324,994,281,632,761,163,120
"g26",38228,32257,37709,26527,29022,44714,31774,42790,23693,34210,108855,27158,42277,14299,25985,21641,98710,42962,15655,37504
"g27",93767,70496,40980,94397,33725,84205,112999,103649,43423,97699,133380,97041,52259,53598,67449,54489,180344,109014,91910,96710
"g28",31234,13516,32710,47098,33482,20610,19140,73567,25646,44456,456876,119209,110886,70349,148743,216161,567738,913612,215094,66621
"g29",100,1382,6855,2023,274,6952,4449,16734,5381,6352,706,8990,7982,2364,17026,4807,6418,327,1542,18209
"g30",87353,51384,84401,63741,65781,136306,76309,123066,69253,104405,485770,47812,147030,91669,280718,45650,443860,395448,69257,242709
"g31",22500,2892,3382,3110,9825,5573,13644,3194,4922,11325,19491,5919,10798,3410,8050,6000,7047,40605,3631,3873
"g32",9563,58681,629835,28441,248474,56162,13780,148696,98891,82607,765805,46281,126142,70573,29022,42585,377418,646446,223563,159741
"g33",75472,35103,52942,87125,42566,61111,181131,38793,9135,91528,215330,114490,147195,187777,277984,106398,821637,540657,395590,394034
"g34",6397,6246,13954,43503,9422,2081,31547,6849,24523,36098,16440,56318,4950,2360,8520,11100,119286,53400,56218,43329
"g35",809,485,2846,472,642,2744,1127,1240,1120,4069,4563,2225,1337,494,4254,1590,4178,3762,3852,1632
"g36",113069,338350,3287,22598,23020,13635,89553,95066,116899,2458,17193,129458,20042,26901,36084,80012,85451,129161,251393,2024
"g37",2961,15072,8354,57,12125,1,1598,6981,65,129,5438,1340,13199,1,2,4312,4847,0,2,15488
"g38",1634,1006,2397,937,819,1733,509,1669,1423,416,1485,2859,1669,280,814,1320,441,2092,4740,1355
"g39",123504,87053,106701,88178,42561,336269,145215,144802,70473,67989,281352,204386,203757,81768,224716,218888,795102,255648,111858,91356
"g40",46905,105901,78693,181991,106100,191302,167922,144052,182658,112401,292415,532940,129428,189956,427560,65207,170604,876702,873021,394933
"g41",8729,5716,4881,5985,5159,6696,8375,2936,9797,3677,23983,18404,9420,5029,2084,2540,40377,48072,5725,1812
"g42",44486,27027,72137,63823,28427,27966,48992,58349,31664,23123,121461,57599,110221,37656,263650,93445,256068,280056,174213,296742
"g43",102974,18675,16698,149491,44018,20759,69006,12467,12907,18878,207855,42790,29498,44168,29818,17732,196530,101484,153970,103974
