"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",270,229,471,132,671,555,555,315,547,371,1914,1330,1004,753,448,152,114,462,548,1420
"g2",1207,2509,2997,5346,1613,1679,3523,901,1511,2698,10584,2397,5062,5886,11666,6318,17138,5642,2274,7808
"g3",2697691,1278964,1690899,444099,831558,1113867,809759,4697291,582704,3962373,2024701,784886,2177148,1614190,4290336,561340,1601888,3008842,2325491,5449998
"g4",2576,6555,2476,5182,3250,2775,1866,3589,4657,3742,5410,3189,17976,13523,7750,5875,16406,10329,8603,25592
"g5",1861,212,15289,6032,437,769,31086,26217,3364,20016,1790,57150,1481,3940,34856,16159,46948,1827,18440,19816
"g6",644,488,170,753,657,115,465,1103,841,125,16,32,802,2311,562,701,724,2387,722,610
"g7",7033,27582,74951,38158,32993,6467,25808,61242,9218,13528,110853,16523,47797,113345,6814,77738,33286,15681,29924,30755
"g8",40543,58692,92752,67038,44723,51066,61182,81140,38680,61029,162788,112657,102045,114037,128542,90101,176294,74485,100736,237548
"g9",145264,96986,38912,217187,195077,43841,26392,67776,40240,62552,110213,417223,214057,271825,191048,202674,486316,61820,119659,785970
"g10",4760,16562,4365,6251,1307,2262,9520,214,6227,622,480,2439,1434,27763,21850,68,432,18328,2198,164
"g11",97,33,1,1459,129,8,99,1,30,0,666,14,0,0,162,7,2,166,10,0
"g12",517,38,10,17,203,40,235,1237,29,1890,807,184,382,367,1370,355,1218,226,914,1247
"g13",0,16,270,0,237,225,17,1749,1,1,6,1101,0,2,108,2,84,15,67,2852
"g14",486,254,637,379,697,377,1337,265,336,231,624,89,409,752,356,714,1936,76,222,413
"g15",13617,7172,1130,16556,6261,10456,5155,3182,12457,3143,21695,11877,15918,8835,22380,3767,12196,8896,8906,9496
"g16",135134,111315,184886,127271,92991,95404,103744,92458,89049,122819,193131,176294,107519,193939,123045,167076,88656,158259,236936,210807
"g17",190138,76360,100973,122511,58546,91081,104212,70221,75965,71155,254488,109680,114023,201898,69185,149909,173305,82163,65220,255414
"g18",21145,17424,4566,24716,14760,8347,17883,19392,3837,6166,8306,25298,30890,26680,15613,11382,76618,12921,47453,37702
"g19",270850,194782,351813,262023,142560,79507,171398,234187,206624,130750,322203,132376,523496,314443,145268,367097,377105,148911,252044,534141
"g20",69107,60435,101770,170964,92852,97989,119058,63236,73188,30039,295356,241808,131425,198335,214922,141800,164268,179603,198474,240900
"g21",10757,80458,4876,90512,38585,40107,337103,12083,34850,101042,333323,36253,27109,29760,2793,669892,17819,285261,2504,130592
"g22",255861,193745,370907,239608,230480,317165,213563,465315,133174,145635,391509,92697,106922,226739,96707,37334,71082,340266,219969,338064
"g23",63122,18201,26873,36000,33200,21779,28427,56334,24435,32345,17381,29734,24944,46317,48827,28161,52410,53790,21626,28712
"g24",2315,1930,1541,3004,1586,813,653,2017,1961,1591,2256,2034,1815,3510,2030,2081,890,554,681,11013
"g25",915,138,362,530,265,137,354,515,256,243,303,257,295,323,204,140,201,215,76,926
"g26",16895,23009,24428,35221,35481,13921,20540,32732,18233,21723,83560,23010,26585,28663,34655,16596,51998,39174,19684,118754
"g27",63077,18677,50950,71902,43782,58980,105895,91573,36523,79303,140553,138662,91815,205190,178869,42633,67495,128519,134042,84958
"g28",23388,7240,36211,12802,33705,15097,77909,43973,11453,44912,210687,28049,39584,81675,88388,45276,190108,105292,104980,219314
"g29",312,1446,16159,680,1767,3850,8825,6096,411,563,36550,802,6920,20391,832,15450,17035,4752,6569,20028
"g30",116731,66697,39978,73261,68345,99090,52828,131664,72611,86252,417942,72434,40657,153214,302710,25254,65810,72834,47342,320493
"g31",6435,3755,10326,6029,10179,3778,17258,2984,7223,10481,66387,22537,8106,3827,10695,14471,21894,12940,20046,19686
"g32",149864,150276,50702,45604,167873,12609,103557,30502,135697,36778,53923,25863,126179,132242,718976,235236,373400,207252,767214,367224
"g33",147994,170727,291455,148036,61506,150714,174566,111108,37054,53934,400814,553609,649436,258220,137694,768917,463428,106944,407796,796518
"g34",37616,36923,13641,49036,18773,32612,5643,23948,7913,44726,67233,2323,1611,44332,61923,26297,20322,4686,26608,61443
