"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",106,360,266,52,1066,481,413,187,228,840,163,579,556,511,891,203,991,467,346,211,1392,339,533,660,1526,326,682,114,653,482,628,1015,154,986,856,26,476,501,460,281
"g2",3176,2651,3921,3080,2770,2011,4682,4247,1809,2854,2182,5639,1906,3095,4067,1145,1717,1760,2141,282,25620,8321,2444,8401,21889,4214,8162,4952,3078,31284,10900,5405,3124,18802,12483,922,10366,5479,11566,4058
"g3",2138786,1631958,3146981,2108609,1050056,336952,2409228,981361,798612,1130592,1766739,1727906,618683,1331012,964251,2475743,1526288,2033232,2461364,1720498,2634989,1737326,1436838,2616039,4366990,1706773,4728342,4963273,846608,5407482,7683470,2977922,1135327,4404975,2910680,2063895,6122048,2828653,5565105,5175425
"g4",260,5887,3697,4797,1901,2758,7501,3684,5184,2992,3963,3503,888,7621,7995,7084,11654,4244,3545,4654,2766,3989,3966,1520,2644,2825,5824,8026,7121,7910,8512,5380,5536,7757,6379,7184,7366,2945,6940,3237
"g5",0,9282,1394,30606,1968,6272,7,409,89585,10542,8923,31717,2003,961,24407,24916,13085,5106,4703,9848,2712,102,977,48582,29782,4987,166874,43925,0,35946,8,9641,3743,81,3597,58784,16912,8354,640,38005
"g6",253,347,601,175,216,69,940,324,1809,320,557,1317,318,538,772,272,857,903,675,315,478,598,1622,341,396,12,696,4057,105,2150,8134,3918,447,743,336,198,668,1056,6003,2001
"g7",52748,74492,54493,16727,29053,17714,46858,41553,9284,89361,21644,12004,17750,25890,21557,48230,20345,82541,21983,81286,102408,24774,7195,31706,13649,64151,27035,88871,60261,26745,32422,20955,7363,133254,84564,6119,25008,7137,95908,16513
"g8",56512,95138,86688,60521,33991,66868,55491,42307,66208,28263,26462,63512,69567,108097,35201,49414,63500,53572,78146,69865,136283,64403,55036,63866,102886,66188,152540,63663,49090,115666,145134,97845,69099,218018,60539,83732,93268,55847,144586,58656
"g9",196135,241309,234557,38530,70145,73261,21837,3084,169703,63759,35460,39699,151250,70678,65905,203650,123936,124236,135819,76408,104826,41673,27685,90063,129310,159146,740524,154164,93141,410644,203332,44312,234534,39122,223100,22995,82762,43357,173507,34280
"g10",1370,6465,4996,5725,1283,209,66,793,967,7,2223,0,13530,8443,62380,3023,3936,21624,3385,14,3090,22269,836,1411,3514,16,64298,34,2,4715,9798,4,595,51750,0,30882,42875,8502,55,2202
"g11",556,0,11,336,417,9,191,102,845,0,84,295,0,247,362,0,44,7,5,1,3,383,0,0,392,1,38,2,0,5,186,1,213,185,420,0,5,5,14,931
"g12",290,236,1075,77,156,572,502,110,607,508,15,233,287,160,65,915,207,820,91,1479,246,403,179,297,1028,4,320,44,332,1527,390,285,203,500,120,17,96,58,429,195
"g13",83,1055,1854,33,3,0,10,1124,0,8,0,67,112,9,442,206,273,41,18,38,402,2,23,1,60,0,3198,650,59,11,3938,3,2,0,701,15,30,1502,87,263
"g14",402,1008,445,311,301,464,261,1659,466,70,477,42,221,390,287,192,982,531,382,3,4023,175,549,719,626,137,1248,2150,816,629,2578,19,754,1550,302,939,308,415,1064,485
"g15",27431,10175,9261,494,1211,5394,16452,4579,4010,921,13806,20453,7084,6319,11432,2881,3029,8627,11690,5754,16760,3920,6567,1076,6456,7681,9724,5588,8629,23250,5720,5618,9674,2613,537,2698,6368,700,11217,1416
"g16",92100,157693,179959,134310,97842,142571,56592,81513,107897,142569,57836,192928,98559,197363,187093,61121,159484,119482,99139,179003,197013,109487,119796,166773,169035,166061,75814,234788,79473,324932,295584,180914,84751,358331,133200,102129,145199,65880,196578,194508
"g17",97997,102093,202662,102753,77602,102681,86979,142700,68282,69606,55021,174181,94047,152761,108662,73280,79436,46391,93537,101323,93988,105251,61286,48547,52610,76285,268918,88294,48064,207248,293182,61198,64970,112738,116492,75375,39465,55148,177441,80713
"g18",22470,16298,11774,7645,4935,6728,16093,18654,5390,6121,7437,22550,5358,7391,5191,21346,33990,8743,14335,24303,13506,25607,17834,10878,11050,9423,55738,64391,35937,19927,51952,42512,5443,4256,11001,40698,7276,52638,30525,27065
"g19",277651,282355,239073,142575,125087,108858,293714,87047,141258,106701,165367,345429,170473,153422,241064,199750,360539,278356,231737,230893,659898,277633,165886,384180,94965,455880,356921,566313,258624,494225,269904,234422,275114,295884,260188,260590,223219,196987,761532,284036
"g20",107887,113880,123076,60488,67423,105516,156474,49746,77836,71888,59809,121040,70964,135172,96687,93507,136492,84641,133223,62249,154044,70670,88342,119363,101610,69342,147026,160175,183462,209193,131350,75018,82007,94388,71044,74554,175798,83062,118044,115107
"g21",141327,55049,157262,179248,19455,14967,19795,14880,40353,9799,12302,28057,46418,2754,115049,38854,8934,46134,22696,1252,499412,12848,90288,25786,92131,24316,71694,46508,34533,55734,525076,523,1905,85940,40913,49906,161956,4268,154868,201626
"g22",218498,499874,142937,113389,131229,209204,198161,238716,273460,59526,130238,664418,317475,271354,342841,152806,165963,133328,246391,304011,78473,48401,73788,272162,278091,155199,333808,412692,123060,171224,150057,151598,86386,133172,190446,72022,216157,113461,156155,85072
"g23",42153,52662,59695,34983,29042,37748,34886,57743,54015,26317,27128,61088,30380,39840,69831,24971,36545,35227,58166,56330,98552,113190,65585,70736,68514,90767,452136,216735,115632,127366,205998,129407,107531,125022,85437,60613,163768,114669,169413,88904
"g24",1972,459,1926,1141,1932,821,2881,642,1891,2079,1534,963,2307,1680,311,1277,1591,2564,1143,3461,879,2355,925,3211,810,912,4104,1922,1238,5256,1502,2665,507,5115,3437,354,3704,1506,934,1540
"g25",456,374,445,252,436,53,558,628,115,349,397,279,190,326,189,763,461,450,222,713,3660,135,547,507,1912,690,1449,543,147,297,3208,1002,127,2655,607,307,970,990,940,952
"g26",47167,32773,45272,29074,18245,28943,25704,15989,31148,27279,29081,36606,26853,31025,39007,31268,39340,38564,37826,42286,124190,70754,50729,63253,49874,48404,164612,124386,40386,128484,100064,60724,51579,57828,92249,48091,41250,51781,175694,73834
"g27",98053,50575,74844,61796,69460,126057,83304,83293,31162,85734,70313,83671,51420,56111,166643,75272,157569,61396,55110,64454,165458,113738,47542,74867,56605,24122,72348,167555,132927,103490,268750,154437,57198,60996,134591,38826,44912,56099,277970,63613
"g28",25929,91014,69118,36351,30893,18214,55510,43039,52867,26957,64751,13804,20233,23606,27799,37052,63536,63031,8926,49814,30033,61697,37155,79592,78525,93808,136056,211256,35718,69912,86310,41093,34253,31304,62282,49802,173536,50581,94556,137192
"g29",8857,3499,7730,5239,12695,6999,7863,2239,5065,1036,6539,20790,6765,2899,4764,1281,717,1260,6235,4798,674,7777,9467,4589,108,12559,7158,16338,10016,16185,18544,890,621,17150,602,5904,9758,479,11788,6354
"g30",103438,114229,87108,58454,45129,45557,140810,79951,44069,124724,120106,94390,78879,123066,185157,78053,120268,115213,78772,112904,501554,256570,216295,107428,288138,113772,291776,462627,81219,458976,449748,186340,43779,166488,218535,61337,255667,59042,245450,170102
"g31",10628,4146,7680,2228,2966,2353,6882,5569,15261,3719,11102,9727,18174,11538,31741,26542,5351,1390,6535,12003,15234,1818,6463,7322,6258,2753,16875,20523,5501,20901,31618,8710,6443,7758,8075,3090,13724,4929,28698,4468
"g32",108696,50599,20170,61677,59566,59290,95075,139429,125682,16676,49776,138837,36644,148375,65387,50687,202965,99802,104472,41838,223770,441612,51373,74531,17514,99182,262133,95092,248496,435816,1167938,329643,41802,730358,88617,28632,210561,288067,49676,42836
"g33",147447,191604,170225,28974,45254,119262,106591,40215,71123,307115,86057,39239,74816,454286,225067,104446,264723,307094,22677,109993,289176,320154,61425,392748,366364,552979,360465,487356,452072,507152,363650,282817,108323,371487,54263,85693,1064430,98764,494240,362683
"g34",30729,31846,22590,21683,13528,25675,19276,3725,24941,13672,1056,30072,4069,49212,56516,45862,72511,30303,11953,135,90762,62311,9355,24474,13263,75724,53064,286245,87408,337158,68590,10455,35858,4708,77324,14544,19166,33154,31714,13242
"g35",3452,4935,1238,3076,1862,675,1667,1188,2994,2034,1929,1552,2243,3085,1559,1782,1300,1105,1631,2161,1950,594,1126,2121,2512,688,2118,2140,1987,2232,1690,1049,813,7494,1825,1352,604,682,1133,2369
"g36",31874,1369,26074,42440,17734,2281,550,16511,2296,19847,3400,267177,14083,26808,1177,84,34674,41553,237505,8721,41729,203172,144477,150407,248,10359,46860,2039,231528,74648,343310,2460,143985,335459,98278,125167,46816,3542,39024,22348
"g37",584,10122,1543,1668,712,501,120,9637,26750,155,95,2882,1075,735,218,8621,753,1680,0,13735,8580,293,10348,41,41398,18464,36591,1785,516,52840,13402,4871,3437,45,6838,21,33648,1443,1622,431
"g38",726,2969,3506,1152,630,1092,2122,1024,286,1432,855,4833,2431,1689,1911,1060,2057,427,2138,2660,4340,5645,2260,1527,5794,2785,4352,5832,3144,33635,8924,10847,227,5820,2537,2115,4815,3132,3573,7953
"g39",127301,259942,221729,62453,57596,161878,167363,86943,196016,108004,128855,204331,171518,123855,146247,103545,47514,82772,103071,108729,31815,151408,115905,184310,138318,112327,252406,35975,119334,263790,238376,83076,12695,208938,86782,76882,179320,147868,99452,111449
"g40",189869,75789,151216,227347,274124,46931,154721,234320,53812,163987,41644,87306,59853,310553,193091,163374,148109,126975,140987,106953,80555,420170,113897,308288,633310,115321,182919,312176,617241,619840,413860,597285,82949,536366,63797,75473,124818,65948,544033,463472
"g41",43831,6593,2423,2362,2607,14157,17990,34691,3753,7428,5658,3721,3253,645,7431,10450,1106,18784,6903,257,56865,13209,1921,11724,9730,5343,1703,3543,511,6683,16770,14082,15512,19999,22215,9515,5833,2549,5685,5393
"g42",88756,51465,66927,66267,29514,70545,31678,26897,162700,40868,42974,101695,31318,64671,51863,19214,39616,46218,55999,52130,250803,80932,35102,75688,39138,72021,287190,101325,57735,266010,103380,58353,23566,94328,63970,43959,61326,37624,152636,64971
"g43",77446,42631,39734,37690,19706,35301,24410,15629,38736,57520,44912,39456,63047,105743,103080,101744,60894,13122,28931,8765,231741,127531,55332,152365,115855,60458,131742,82956,212220,8649,107584,2401,97313,19158,70126,21694,38592,7332,529112,29837
