"","condition"
"sample32","A"
"sample71","A"
"sample28","A"
"sample10","A"
"sample48","A"
"sample67","A"
"sample103","A"
"sample63","A"
"sample34","A"
"sample21","A"
"sample49","A"
"sample75","A"
"sample50","A"
"sample38","A"
"sample73","A"
"sample3","A"
"sample56","A"
"sample27","A"
"sample22","A"
"sample98","A"
"sample142","B"
"sample181","B"
"sample138","B"
"sample120","B"
"sample158","B"
"sample177","B"
"sample213","B"
"sample173","B"
"sample144","B"
"sample131","B"
"sample159","B"
"sample185","B"
"sample160","B"
"sample148","B"
"sample183","B"
"sample113","B"
"sample166","B"
"sample137","B"
"sample132","B"
"sample208","B"
