"","condition"
"sample75","A"
"sample81","A"
"sample84","A"
"sample1","A"
"sample30","A"
"sample108","A"
"sample24","A"
"sample17","A"
"sample12","A"
"sample77","A"
"sample43","A"
"sample97","A"
"sample47","A"
"sample87","A"
"sample10","A"
"sample80","A"
"sample28","A"
"sample2","A"
"sample63","A"
"sample94","A"
"sample13","A"
"sample104","A"
"sample14","A"
"sample15","A"
"sample8","A"
"sample44","A"
"sample61","A"
"sample35","A"
"sample68","A"
"sample106","A"
"sample79","A"
"sample45","A"
"sample54","A"
"sample51","A"
"sample40","A"
"sample59","A"
"sample90","A"
"sample73","A"
"sample55","A"
"sample70","A"
"sample185","B"
"sample191","B"
"sample194","B"
"sample111","B"
"sample140","B"
"sample218","B"
"sample134","B"
"sample127","B"
"sample122","B"
"sample187","B"
"sample153","B"
"sample207","B"
"sample157","B"
"sample197","B"
"sample120","B"
"sample190","B"
"sample138","B"
"sample112","B"
"sample173","B"
"sample204","B"
"sample123","B"
"sample214","B"
"sample124","B"
"sample125","B"
"sample118","B"
"sample154","B"
"sample171","B"
"sample145","B"
"sample178","B"
"sample216","B"
"sample189","B"
"sample155","B"
"sample164","B"
"sample161","B"
"sample150","B"
"sample169","B"
"sample200","B"
"sample183","B"
"sample165","B"
"sample180","B"
