"","condition"
"sample32","A"
"sample49","A"
"sample103","A"
"sample84","A"
"sample22","A"
"sample104","A"
"sample77","A"
"sample23","A"
"sample20","A"
"sample44","A"
"sample28","A"
"sample110","A"
"sample46","A"
"sample60","A"
"sample71","A"
"sample24","A"
"sample90","A"
"sample7","A"
"sample70","A"
"sample92","A"
"sample4","A"
"sample62","A"
"sample75","A"
"sample30","A"
"sample40","A"
"sample59","A"
"sample18","A"
"sample93","A"
"sample83","A"
"sample97","A"
"sample94","A"
"sample45","A"
"sample50","A"
"sample26","A"
"sample87","A"
"sample65","A"
"sample79","A"
"sample68","A"
"sample35","A"
"sample3","A"
"sample142","B"
"sample159","B"
"sample213","B"
"sample194","B"
"sample132","B"
"sample214","B"
"sample187","B"
"sample133","B"
"sample130","B"
"sample154","B"
"sample138","B"
"sample220","B"
"sample156","B"
"sample170","B"
"sample181","B"
"sample134","B"
"sample200","B"
"sample117","B"
"sample180","B"
"sample202","B"
"sample114","B"
"sample172","B"
"sample185","B"
"sample140","B"
"sample150","B"
"sample169","B"
"sample128","B"
"sample203","B"
"sample193","B"
"sample207","B"
"sample204","B"
"sample155","B"
"sample160","B"
"sample136","B"
"sample197","B"
"sample175","B"
"sample189","B"
"sample178","B"
"sample145","B"
"sample113","B"
