"","sample105","sample108","sample6","sample24","sample29","sample61","sample100","sample91","sample48","sample23","sample215","sample218","sample116","sample134","sample139","sample171","sample210","sample201","sample158","sample133"
"WLS",12188,4750,5001,6189,4008,5361,5140,10841,14983,11150,3296,4588,3080,3825,2068,2208,4156,788,920,6226
"AF111169.3",11,9,3,20,26,36,14,23,4,27,3,14,5,6,6,1,2,2,17,17
"SP140L",1162,558,898,1011,803,743,864,1080,871,946,813,1435,777,935,864,758,506,2235,746,970
"AL592295.5",41,22,32,26,27,31,28,39,45,56,33,124,17,32,28,9,23,14,38,12
"DNAAF5",1887,1242,1485,1572,1033,1641,1278,2297,2132,2026,2036,3786,2031,2573,1296,2046,2486,3522,5202,2307
"LEFTY2",30,98,107,544,65,25,82,30,40,53,1,9,14,51,6,0,17,10,0,1
"DCXR",3083,1886,4901,3028,1505,2722,1899,5467,2488,3943,2848,5008,2983,4533,2543,2410,3965,2369,3697,2765
"H3C10",60,28,75,15,14,18,6,29,39,36,564,2540,520,274,290,1192,289,130,833,366
"RTEL1-TNFRSF6B",55,60,42,44,96,63,74,94,73,71,55,93,33,47,59,22,18,34,42,46
"CHEK1",241,167,251,175,140,252,183,432,192,329,338,2262,648,446,1288,2630,230,454,1627,1043
"PMS2CL",540,167,232,216,163,194,312,546,344,309,308,603,220,204,240,288,341,411,472,456
"DBF4B",504,309,379,360,173,227,269,589,417,551,211,558,263,325,479,248,267,679,268,354
"SESN3",6926,4717,4816,6848,5305,4100,3805,13553,7696,9854,1227,1139,2684,2662,16649,1703,4238,4678,1118,1110
"SLA",742,1357,1337,765,1546,432,930,712,1067,458,769,598,2522,1159,2797,489,698,184,2404,2447
"ANKS1B",684,226,200,331,100,346,278,1035,1004,543,342,1627,261,313,459,632,188,415,247,69
"PRKAR1B-AS1",16,13,53,17,50,25,63,16,22,21,15,26,50,48,37,10,11,4,74,102
"LNC-LBCS",59,14,27,43,17,39,34,50,46,77,16,73,20,167,146,2,10,11,12,63
"GOLGA8H",12,14,2,18,33,24,8,25,56,16,17,8,11,10,2,2,14,0,8,7
"RPS7P4",37,21,21,30,8,13,14,40,23,27,16,23,27,23,23,37,15,22,20,38
"AC104836.1",14,24,25,26,30,26,27,23,18,14,6,4,4,39,3,19,9,14,3,3
"RPSAP70",10,42,47,44,50,8,17,12,6,12,5,5,3,3,5,0,17,3,7,11
"RAD9A",870,657,702,605,355,614,566,936,861,1064,439,766,788,505,973,333,583,456,1450,641
"CCDC62",28,26,14,39,16,17,12,45,13,22,11,11,8,8,17,19,15,12,5,4
"GABRD",15,29,19,16,5,47,38,26,48,16,253,147,316,103,389,63,320,1156,366,29
"MINDY3",2290,1294,1556,2275,1288,1372,1348,2305,1757,2002,831,1470,1001,1192,1462,2773,914,2275,1138,499
"LRP11",149,94,78,131,163,109,64,132,71,176,64,144,54,64,94,95,112,148,155,91
"C4orf3",11482,9028,10799,14329,9190,6720,7308,13072,10078,11819,6074,16984,4954,7709,2856,13438,6043,6473,8612,5044
