"","condition"
"sample16","A"
"sample83","A"
"sample21","A"
"sample55","A"
"sample78","A"
"sample32","A"
"sample56","A"
"sample101","A"
"sample68","A"
"sample96","A"
"sample69","A"
"sample73","A"
"sample9","A"
"sample64","A"
"sample89","A"
"sample19","A"
"sample94","A"
"sample107","A"
"sample61","A"
"sample84","A"
"sample87","A"
"sample46","A"
"sample27","A"
"sample103","A"
"sample67","A"
"sample38","A"
"sample91","A"
"sample50","A"
"sample92","A"
"sample45","A"
"sample44","A"
"sample43","A"
"sample99","A"
"sample52","A"
"sample74","A"
"sample8","A"
"sample4","A"
"sample81","A"
"sample86","A"
"sample37","A"
"sample24","A"
"sample60","A"
"sample10","A"
"sample85","A"
"sample98","A"
"sample54","A"
"sample104","A"
"sample110","A"
"sample34","A"
"sample82","A"
"sample108","A"
"sample23","A"
"sample28","A"
"sample26","A"
"sample80","A"
"sample11","A"
"sample35","A"
"sample76","A"
"sample3","A"
"sample57","A"
"sample126","B"
"sample193","B"
"sample131","B"
"sample165","B"
"sample188","B"
"sample142","B"
"sample166","B"
"sample211","B"
"sample178","B"
"sample206","B"
"sample179","B"
"sample183","B"
"sample119","B"
"sample174","B"
"sample199","B"
"sample129","B"
"sample204","B"
"sample217","B"
"sample171","B"
"sample194","B"
"sample197","B"
"sample156","B"
"sample137","B"
"sample213","B"
"sample177","B"
"sample148","B"
"sample201","B"
"sample160","B"
"sample202","B"
"sample155","B"
"sample154","B"
"sample153","B"
"sample209","B"
"sample162","B"
"sample184","B"
"sample118","B"
"sample114","B"
"sample191","B"
"sample196","B"
"sample147","B"
"sample134","B"
"sample170","B"
"sample120","B"
"sample195","B"
"sample208","B"
"sample164","B"
"sample214","B"
"sample220","B"
"sample144","B"
"sample192","B"
"sample218","B"
"sample133","B"
"sample138","B"
"sample136","B"
"sample190","B"
"sample121","B"
"sample145","B"
"sample186","B"
"sample113","B"
"sample167","B"
